"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"28091",70,4,38,51,35,49,109,8
"490",68,15,38,36,25,28,84,2
"326522",66,3,73,31,26,24,88,6
"485",44,6,27,0,28,13,73,9
"326523",42,1,50,43,23,22,76,6
"489653",4,1,10,7,7,4,8,0
"2666100",39,1,30,27,32,19,75,9
"493",38,4,25,25,19,11,112,8
"488",36,5,50,33,25,19,102,7
"640030",32,2,29,18,22,15,163,5
"607711",28,3,37,28,20,17,80,12
"28449",26,4,11,26,15,10,35,1
"483",19,1,15,7,5,11,37,2
"484",11,4,24,9,21,9,13,3
"489",2,2,4,4,7,8,12,2
"2290923",1633,122,1342,1015,766,640,1775,211
"682798",954,80,846,592,595,455,1362,150
"63",634,63,469,369,339,369,929,65
"96942",13,2,14,13,15,13,175,4
"539",186,22,185,112,114,86,272,27
"2528037",72,2,41,58,29,12,106,6
"505",127,13,77,64,48,37,126,11
"502",108,9,100,82,55,47,160,14
"504",27,3,24,22,19,24,52,3
"153493",41,4,33,22,33,28,71,9
"1196094",30,3,32,21,37,16,109,9
"194196",24,3,33,30,21,17,72,3
"641147",11,1,13,13,13,4,26,4
"522306",1664,121,1398,1066,847,868,1822,177
"2591109",1391,115,911,842,664,522,1301,151
"1208921",4,0,1,2,0,2,15,1
"1208920",4,1,6,3,4,1,46,1
"233181",3,0,7,2,6,2,12,2
"1576550",3,0,4,8,0,2,9,1
"33056",2,1,5,5,3,1,8,0
"1208919",2,0,6,3,3,2,10,0
"1381133",2,0,0,0,0,0,0,0
"1755504",4024,38,403,1470,220,187,558,105
"1856685",1792,52,435,1817,250,217,629,99
"2725477",980,93,850,854,533,408,1083,147
"2320867",714,64,659,652,391,281,1044,147
"2731681",546,109,954,554,343,250,777,105
"2614442",535,43,470,344,272,204,776,94
"2653853",513,36,463,381,244,202,625,82
"1294143",487,38,396,356,242,180,1193,345
"2811422",461,43,410,312,222,206,572,74
"1930532",450,42,375,299,395,194,1339,90
"2748080",394,30,279,252,203,138,576,83
"2054914",339,24,303,224,167,127,361,123
"658630",319,23,328,220,152,121,336,57
"1028989",317,33,279,192,167,106,402,70
"2724470",286,35,276,176,150,118,353,53
"1931241",271,26,275,165,191,120,560,57
"1881017",270,220,303,143,182,216,438,53
"2729423",253,75,261,147,231,242,325,282
"2735906",251,25,201,190,651,96,444,62
"2706126",241,25,217,157,158,142,408,52
"1573704",239,27,261,193,151,103,288,42
"2518644",225,16,189,161,126,71,305,63
"2498848",216,16,278,159,133,85,278,33
"143813",212,21,244,141,104,78,288,40
"2726956",211,19,227,177,312,99,369,35
"2726989",209,18,212,158,128,119,331,56
"1573718",199,17,142,130,68,59,168,21
"2749999",189,27,197,140,113,104,244,61
"2049589",188,21,139,145,118,98,302,44
"1736226",184,52,232,112,158,75,343,218
"2320270",181,12,176,136,92,76,184,36
"2054919",178,17,176,105,75,66,217,30
"2774873",175,24,159,129,87,65,210,30
"1283291",174,18,167,112,82,78,222,36
"2201356",173,20,145,100,76,46,147,27
"2804761",171,19,137,112,92,66,212,34
"2730847",158,13,165,134,87,59,250,18
"1573719",135,19,154,93,73,48,176,26
"1649877",134,23,144,97,96,63,215,87
"1981174",133,10,120,93,82,63,325,22
"2073078",132,9,153,104,77,51,206,30
"2730848",130,12,112,90,55,33,139,21
"2823875",128,31,128,85,87,50,144,23
"2219057",121,16,112,84,56,44,146,21
"2052956",120,6,115,74,59,33,248,15
"658644",111,15,134,101,59,49,146,31
"1898684",103,10,71,68,371,55,167,28
"253237",96,8,73,64,188,24,176,18
"1611770",95,6,70,60,50,40,220,24
"1573712",93,11,99,81,70,50,169,14
"1207075",93,4,78,49,37,38,82,7
"1534110",92,20,140,62,48,27,137,14
"2590776",86,9,75,53,41,29,111,16
"2213057",84,7,85,67,208,242,134,296
"2662033",82,14,94,57,41,39,128,63
"2774459",82,9,90,64,53,43,131,17
"2025658",81,12,85,57,44,45,112,20
"2812000",80,11,88,44,47,39,103,14
"1259844",79,60,109,55,171,33,370,921
"1702250",75,11,69,61,47,28,122,4
"2587845",72,10,106,50,124,189,136,195
"2604941",65,1,32,32,35,33,115,14
"1573711",61,7,86,34,40,27,56,10
"1855380",59,8,55,43,22,17,63,13
"2479392",56,4,38,41,41,29,129,11
"2597770",54,7,28,27,22,18,56,38
"1758730",51,5,52,33,25,18,85,10
"1500686",51,4,50,35,23,17,42,6
"2559074",50,3,41,32,37,28,66,8
"2054915",50,2,32,34,24,14,39,6
"118613",49,9,80,49,48,24,50,12
"658629",48,3,47,26,22,17,54,6
"2018067",48,8,40,27,28,22,49,6
"1500687",45,7,56,28,30,18,59,15
"1573720",45,1,52,26,14,12,58,7
"1636610",45,3,26,32,28,23,164,37
"2067572",44,4,31,38,16,14,50,7
"2126069",37,2,35,26,22,17,52,8
"1827300",36,4,30,24,31,23,45,14
"2005388",35,3,45,27,24,19,54,12
"2605424",34,0,30,14,19,14,27,4
"1855331",33,0,46,13,1280,5,53,79
"676210",33,6,37,26,22,11,55,2
"1173283",31,1,20,17,16,11,17,1
"2730851",29,4,26,26,17,15,23,3
"2069256",29,5,9,12,13,9,35,171
"2045200",27,4,16,12,1155,12,21,69
"2169583",24,2,20,16,11,16,24,2
"1659194",23,4,29,18,11,10,46,6
"2083055",22,1,21,13,14,12,18,4
"76885",21,7,47,14,16,15,30,3
"2083054",20,2,18,23,13,4,17,5
"2777367",19,0,22,11,8,9,27,11
"2749807",18,0,25,18,12,9,38,6
"658643",17,1,11,9,10,4,4,2
"1173270",17,1,27,9,8,5,17,2
"658642",17,1,11,13,5,3,25,1
"1886807",16,3,16,7,3,5,19,9
"1415630",16,2,9,14,9,9,25,1
"69328",16,5,11,14,7,7,33,18
"2651048",16,4,16,12,8,4,41,68
"1173273",14,0,10,15,13,9,20,3
"2654238",14,2,19,9,8,9,21,7
"2662034",14,5,13,8,71,15,325,3026
"1173288",14,3,15,5,6,10,17,0
"658632",13,2,5,9,4,3,6,0
"2762896",13,6,30,5,1120,8,35,74
"1173280",12,0,10,3,4,1,10,2
"2083053",12,0,28,4,9,18,82,28
"658641",12,1,6,0,8,3,13,1
"2083052",12,2,20,6,23,3,57,127
"1173284",12,0,4,11,6,8,20,5
"147212",11,2,13,8,4,4,28,2
"2738843",9,1,18,16,7,4,24,3
"2587597",9,3,10,6,1,2,11,10
"2664899",7,2,10,8,5,6,15,4
"2083051",7,3,11,8,6,9,7,5
"1338689",6,2,6,4,8,0,12,23
"2545800",4,0,2,2,2,0,3,1
"306",4,0,4,2,6,0,4,3
"1495331",4,1,1,0,1,1,4,0
"2479393",2,4,3,2,1,3,6,6
"1761895",2,0,2,4,4,2,2,0
"2609418",1,0,2,4,4,2,8,0
"1523522",1,0,0,0,0,2,0,0
"287",2687,266,2756,1923,1696,1211,4819,773
"300",1841,149,1429,1321,2395,677,2451,351
"53412",1742,52,644,2244,366,270,853,132
"1232139",1554,301,1147,2213,618,358,1579,1818
"43263",1104,223,4027,778,836,884,7538,419
"627141",826,82,753,577,419,302,1003,127
"53408",509,46,490,337,238,183,614,75
"294",3170,452,3101,2110,1684,1180,4379,622
"380021",852,91,873,612,487,382,1153,161
"47878",467,48,550,312,203,186,525,87
"76758",422,50,398,255,223,188,561,93
"47883",298,36,368,213,193,169,523,69
"200451",262,23,248,190,140,99,309,33
"200450",253,23,273,186,155,101,352,45
"47879",233,63,156,168,1010,106,493,37
"46679",204,17,210,119,92,79,272,31
"183795",201,68,233,134,468,1277,13884,28
"76760",197,18,183,115,94,186,262,39
"29442",183,9,179,130,91,83,196,30
"78543",176,16,154,120,75,67,192,28
"651740",150,11,139,82,74,78,209,16
"129817",111,10,100,76,70,55,185,21
"169669",107,7,117,60,51,42,147,15
"75588",81,6,57,60,41,41,103,11
"76761",72,11,63,50,48,24,113,24
"75612",60,3,60,25,37,19,74,10
"303",4902,710,4587,3159,3193,1906,16680,34997
"47885",1085,177,1076,657,602,486,1372,197
"76759",636,76,587,387,355,269,864,549
"47880",496,50,542,339,284,189,840,94
"70775",270,34,287,192,185,114,500,711
"2217867",57,12,63,46,30,30,81,32
"78327",43,2,42,20,17,21,70,26
"578833",5435,463,5158,3558,5083,5689,9630,15974
"74829",760,72,742,577,490,449,4463,10364
"271420",277,25,212,208,194,198,454,71
"47886",68,7,73,40,36,24,95,20
"587753",2385,249,2400,1567,1165,908,2884,412
"86185",170,15,212,119,131,93,301,47
"296",119,11,111,87,61,50,161,18
"2604832",2629,48,579,2023,284,229,739,107
"251695",735,70,754,522,484,364,1331,195
"33069",247,20,197,170,131,90,424,44
"1190415",204,18,184,163,125,97,357,36
"36746",198,16,195,143,140,98,370,50
"53409",161,16,155,97,90,80,213,38
"251698",83,5,83,48,39,37,131,71
"50340",82,4,93,47,43,26,91,23
"251701",30,4,27,24,23,12,82,10
"2775504",10,2,10,20,7,3,31,0
"46257",5,0,4,2,2,1,7,0
"86840",4,0,2,2,0,1,1,0
"1392877",1632,93,1034,710,556,396,1180,197
"319939",1119,93,1070,878,464,412,1201,184
"237610",1079,103,991,752,538,451,1343,195
"1301098",195,15,195,122,85,61,185,40
"1245526",834,54,664,446,325,268,987,102
"384676",298,41,319,230,157,119,433,90
"43306",528,52,540,369,260,206,642,95
"157782",436,52,452,298,237,189,551,112
"2599595",432,49,444,311,216,152,555,72
"487184",396,28,292,218,255,163,725,60
"104087",389,38,444,223,183,136,469,52
"237609",377,32,328,251,184,190,490,96
"216142",329,32,308,232,158,119,420,63
"1499686",327,36,267,220,269,200,486,144
"472181",326,31,307,194,205,133,543,77
"364197",310,28,285,197,158,138,585,62
"157783",309,31,315,221,176,126,475,53
"198618",291,27,268,236,150,124,382,59
"86264",6,2,7,9,2,3,12,3
"198620",270,38,250,179,162,75,428,40
"553151",253,20,177,162,190,144,498,40
"515393",251,28,241,203,151,90,320,54
"1395516",64,35,117,54,80,23,113,11
"797277",241,25,193,172,186,132,406,75
"95300",230,19,214,173,126,72,391,40
"702115",226,38,271,193,139,106,425,44
"437900",218,11,191,153,135,73,460,38
"1691904",217,14,182,130,601,89,300,44
"219572",211,16,183,122,82,82,249,41
"86265",207,44,187,109,116,90,259,23
"1148509",198,24,187,142,91,61,219,22
"359110",196,17,196,119,96,66,306,25
"1853130",193,26,198,131,88,67,199,35
"191390",189,27,190,145,110,78,235,40
"395598",183,21,194,128,92,81,220,30
"741155",182,17,120,132,626,65,208,49
"1434072",178,25,166,141,108,78,334,47
"244566",171,22,162,119,69,61,207,28
"321846",153,13,122,106,67,44,163,42
"46677",153,21,195,125,81,75,252,35
"1274359",149,8,92,119,547,44,203,39
"1421430",148,14,180,134,110,82,234,25
"2505979",144,35,126,88,98,66,156,16
"47884",142,9,128,102,92,75,268,29
"554344",133,9,96,95,341,55,238,42
"163011",133,18,675,86,91,57,209,28
"158627",130,20,105,88,82,56,194,24
"2774460",127,7,113,89,57,40,160,31
"2774461",109,9,106,58,56,21,214,19
"2502979",108,11,91,68,88,37,200,33
"1788301",105,4,84,60,67,47,190,25
"122355",96,9,134,93,61,54,165,6
"1628086",87,16,81,53,55,38,140,18
"53407",82,6,103,56,44,31,113,17
"1306993",63,5,45,26,27,19,65,35
"2565368",62,52,115,29,59,24,77,11
"1615674",42,1,39,21,23,13,62,8
"1785145",31,5,30,16,16,23,50,3
"2681983",23,4,25,10,16,7,32,5
"1583341",15,5,18,14,8,7,16,5
"2219225",8,0,12,5,45,4,246,1649
"1302376",8,3,6,11,4,6,17,2
"470150",3,1,6,4,3,4,4,261
"353",2664,100,1120,1051,556,447,1215,179
"69964",746,72,642,492,358,289,647,117
"354",726,73,626,495,361,252,780,108
"1510150",445,73,262,180,367,165,5082,39
"1697053",53,3,40,39,33,20,93,6
"2213226",12,1,12,13,6,14,31,8
"2785331",9,0,23,9,8,8,42,2
"1879049",95,6,84,79,63,41,185,23
"2563897",28,3,17,18,15,10,43,6
"2798861",21,0,26,5,9,10,31,3
"2004646",18,1,2,7,4,3,26,1
"2714110",18,3,14,9,14,4,25,3
"2004647",16,1,16,4,5,2,11,0
"1407071",15,0,8,9,9,5,26,8
"2601122",11,1,11,10,10,1,18,4
"1646498",10,1,16,7,7,5,44,1
"1808001",9,1,12,8,13,7,30,5
"1608473",8,1,11,4,10,5,14,4
"1758189",8,1,16,3,12,10,36,3
"2079596",7,0,3,4,3,0,4,1
"1636603",6,0,2,2,7,0,24,1
"2545797",6,0,5,5,2,3,14,0
"1827285",5,0,7,0,1,3,17,0
"2609668",4,2,6,10,0,4,10,1
"2725684",4,0,2,0,1,3,3,1
"2004644",3,1,6,1,2,3,8,1
"2743575",2,1,1,1,1,0,3,0
"470",53,14,41,46,34,20,151,21
"48296",24,81,20,19,43,7,47,10
"471",19,9,23,8,10,8,41,2
"1530123",19,8,36,18,15,12,40,3
"106654",10,4,12,8,14,7,28,1
"1785128",4,19,12,11,7,3,22,0
"756892",74,8,70,43,91,41,189,23
"1789224",62,2,16,32,13,6,53,3
"108981",44,3,41,25,34,17,156,12
"29430",35,1,24,13,13,11,60,5
"40214",31,1,29,11,15,17,0,11
"981334",2,0,2,0,1,0,5,1
"487316",26,2,18,48,14,4,59,3
"106648",25,15,17,16,7,14,82,3
"1046625",1,0,3,1,0,0,1,2
"134534",21,0,5,11,13,3,35,4
"202954",18,0,16,10,11,7,57,3
"70348",18,1,10,8,2,4,39,4
"1197884",16,2,5,10,9,2,39,0
"1879050",16,0,23,11,6,3,63,3
"62977",15,3,22,7,10,5,30,5
"70346",15,0,12,7,16,2,18,4
"108980",15,2,27,12,20,10,68,6
"2006115",14,2,10,3,9,3,36,3
"1871111",14,2,6,7,7,3,15,2
"2715163",11,1,11,5,8,3,35,1
"40215",10,1,17,14,14,74,113,5
"202956",10,2,5,8,14,6,19,1
"2136182",9,2,18,8,3,4,22,4
"436717",8,3,5,9,2,2,18,1
"106649",8,1,7,6,3,4,8,1
"2662362",7,3,11,4,4,5,30,0
"2715164",7,2,9,10,6,8,25,1
"2004650",2,1,5,3,12,2,5,0
"1324350",1,2,10,4,9,0,18,0
"1699621",21,3,18,10,12,8,37,2
"1028416",19,4,26,21,8,12,37,5
"1699623",16,2,12,1,4,3,26,2
"1720344",10,2,13,8,4,4,27,1
"1699622",10,0,8,2,2,3,9,0
"2772254",9,3,9,6,10,4,25,2
"571800",8,0,9,5,5,1,16,3
"349106",7,0,1,3,6,0,11,2
"1699624",4,0,5,5,4,2,15,2
"56811",4,1,0,3,1,0,1,1
"2733866",3,2,6,2,5,4,21,1
"2203895",2,1,2,2,1,0,11,0
"1028419",1,0,0,0,0,0,0,0
"256326",48,3,31,32,19,17,33,5
"45610",21,2,16,15,17,24,58,5
"259536",18,2,13,8,12,3,19,2
"330922",8,0,4,5,8,5,18,0
"34062",95,5,62,56,40,30,105,11
"476",21,3,20,11,6,2,53,2
"480",20,0,8,0,0,5,103,1
"34061",18,5,17,11,21,14,70,4
"386891",18,2,23,14,9,7,40,2
"478",8,0,9,10,11,4,31,2
"29433",6,1,2,3,3,1,4,2
"2283318",62,3,42,43,33,27,100,4
"453783",7746,924,8438,3279,5911,18486,6768,21875
"2290922",1754,236,1860,1029,1477,1508,3552,1085
"2762611",1005,117,1184,504,1017,1126,2730,1241
"2781021",290,34,295,183,212,199,552,205
"2781022",252,29,263,171,218,206,549,226
"2714936",169,23,153,129,125,93,370,77
"2781024",140,15,158,108,150,126,426,150
"2781023",114,19,152,78,125,87,320,109
"69",4043,485,4390,2232,3411,3634,9089,3152
"2763317",3798,651,4481,1900,4010,4077,8889,3568
"2795387",1888,212,2051,879,2362,3364,3588,2845
"84531",1526,199,1648,928,1401,1321,3729,1155
"435897",1476,198,1563,888,1238,1379,3514,1121
"1605891",1351,212,1614,718,1532,1453,3963,1494
"1324796",1305,223,1418,659,1260,1022,9430,1528
"262324",1197,138,1200,680,996,1024,2511,805
"2591633",1142,147,1332,618,1160,1205,2983,1189
"2698682",860,109,940,439,912,788,2992,918
"40324",3921,483,4156,2440,3359,2627,8522,1945
"2072414",308,29,319,169,222,225,547,160
"2072413",282,22,309,178,226,207,569,125
"2072405",144,19,179,110,115,95,294,56
"2072407",125,5,96,60,77,65,189,35
"2072412",89,18,137,71,83,75,192,46
"2072406",83,12,104,33,61,60,163,28
"2072409",43,3,39,22,32,28,56,18
"2072408",29,3,41,23,26,12,72,11
"1904944",508,62,630,317,458,370,1187,328
"2770322",461,45,467,258,433,335,945,281
"2691571",360,24,352,181,261,219,603,161
"2742129",200,40,210,128,175,135,349,132
"2303750",105,379,160,48,89,68,212,49
"2040586",98,10,100,54,110,158,174,47
"2005046",89,8,120,66,112,69,300,51
"2282124",27,3,24,27,33,18,76,18
"2682487",25,0,24,7,17,11,54,16
"2775920",25,4,30,13,19,29,49,27
"1827305",18,18,32,19,32,33,62,13
"216778",1603,179,1529,945,1415,1157,3320,966
"128780",929,113,1049,565,1146,705,2851,1382
"2045451",48,19,27,25,31,18,85,14
"83617",1,0,0,0,1,3,2,3
"149696",223,23,208,151,181,174,523,118
"359385",119,17,122,78,104,78,239,48
"340",88,10,117,63,91,83,342,52
"92826",79,8,60,32,72,43,127,15
"2724122",162,16,145,90,131,93,276,73
"2724123",159,12,161,92,108,97,253,74
"2724121",158,19,186,123,138,106,257,74
"2775162",15,2,30,14,12,9,57,16
"2776703",3,0,4,1,2,1,1,0
"152263",234,11,290,165,227,159,463,139
"134875",189,21,247,118,166,124,308,85
"487909",60,4,66,35,45,42,104,17
"56458",807,97,930,472,831,608,1908,516
"64187",194,22,148,93,120,86,241,42
"129394",75,8,65,49,47,76,114,35
"56464",595,66,534,332,555,374,1201,343
"346",589,77,602,343,395,366,943,215
"380358",3,1,3,1,1,1,1,1
"56455",469,52,477,317,418,270,906,251
"195709",99,6,98,70,68,70,188,47
"69929",77,9,65,40,54,43,272,21
"925775",52,9,60,38,54,51,115,19
"56453",331,36,320,217,288,229,731,185
"48664",325,46,414,200,229,229,783,163
"487904",84,4,111,63,90,65,199,32
"2754056",41,1,34,23,52,25,93,24
"707209",5,2,2,2,1,0,14,7
"454958",10,4,11,9,13,7,44,14
"325776",6,0,6,8,2,3,6,3
"487849",3,0,7,2,2,1,4,0
"1219375",244,25,274,174,192,144,429,85
"1982678",198,25,180,116,114,109,343,61
"1101443",24,1,15,19,8,9,20,4
"1304892",2,0,2,2,2,1,0,0
"2259622",150,21,128,126,128,109,303,77
"359387",15,0,24,9,16,5,22,11
"207721",14,0,16,9,5,10,19,0
"189396",6,2,22,7,4,4,37,8
"316273",1,0,0,0,1,0,0,0
"92828",74,7,83,57,59,74,229,36
"317013",4,0,3,2,1,1,4,24
"442694",15,4,8,12,6,13,47,4
"2799326",1299,153,1261,695,1246,875,3374,1267
"1896164",1049,108,1110,629,7483,779,3174,1318
"2508168",1004,114,966,590,961,675,2594,974
"2799325",983,134,1003,570,908,633,2358,915
"2761107",913,100,962,547,883,670,2455,894
"1176533",1268,145,1298,738,1249,916,3248,1214
"2006110",1222,114,1084,601,1014,733,2825,807
"2565782",1000,104,942,536,956,812,2340,808
"743721",1306,107,1231,718,3548,957,3195,1388
"128785",2181,592,1976,1297,20652,27917,35363,7864
"1045855",795,91,828,455,894,651,2448,641
"2202149",1135,187,1195,563,1180,1006,5169,1039
"2771436",1037,137,952,554,5380,3954,8817,3278
"2714945",706,112,636,294,715,634,2782,612
"215691",1258,152,1380,671,2097,1205,9951,1207
"1463158",1026,134,971,558,1072,754,3638,834
"370777",3430,376,2542,1220,5899,1520,18924,1019
"2511995",823,64,716,572,561,408,1855,194
"698414",3,0,2,2,0,1,13,0
"1401256",3,0,5,2,2,0,0,0
"644357",2,0,0,4,2,1,6,0
"671135",2,1,5,2,1,2,1,1
"1444770",86,5,70,43,51,53,124,36
"445710",1337,129,1357,820,847,642,35893,319
"2763498",728,78,652,467,443,432,1635,219
"2501295",278,19,280,207,213,197,724,93
"1217721",843,52,731,524,502,422,1866,212
"1849581",409,38,376,283,283,276,1118,105
"666685",1405,130,1295,848,881,646,6620,424
"2778082",1112,123,1171,693,851,513,4433,347
"582702",746,72,783,517,527,384,2305,238
"1300342",2677,213,2398,1697,1760,1240,4685,727
"2589080",940,80,1006,652,641,482,1891,260
"1440763",905,85,908,590,536,450,1695,201
"2010829",1263,104,1109,832,805,578,2968,338
"2021234",839,77,604,617,406,406,1425,114
"767434",479,39,420,294,290,249,1010,107
"550",553,64,505,344,572,345,1620,89
"158836",201,21,200,120,138,76,324,40
"69218",125,13,121,71,62,60,153,18
"61645",106,9,101,66,59,84,138,22
"1812935",92,9,105,45,52,56,153,31
"2494701",65,6,61,26,36,20,78,8
"208224",45,3,34,28,29,15,73,5
"299767",30,1,34,26,24,12,60,52
"2071710",30,4,27,20,9,13,15,3
"2757714",23,0,31,20,6,16,39,11
"2724468",145,11,120,78,73,35,138,14
"2596949",127,11,134,65,50,43,158,24
"1914861",115,12,103,66,57,41,159,15
"2742676",51,2,53,46,20,27,62,6
"2742639",50,5,31,18,11,21,82,5
"399742",47,8,58,24,32,25,64,8
"2742619",24,0,24,9,9,7,42,7
"1166130",21,1,6,10,7,6,10,0
"2705458",13,1,12,10,6,8,28,1
"2500132",11,1,18,7,11,6,5,3
"1560339",9,1,28,11,7,11,8,2
"648691",5,1,0,1,0,1,2,0
"2565914",4,0,3,4,3,2,1,1
"1868135",3,0,1,1,1,4,10,3
"1827481",2,0,1,1,0,0,4,0
"2742673",1,0,2,0,1,0,1,1
"2742656",1,0,0,0,0,1,0,1
"2747372",1,0,0,1,0,0,1,1
"2051905",1,0,0,0,0,0,0,0
"881260",93,13,42,57,37,25,138,9
"2478464",63,5,52,29,12,27,59,13
"885040",36,2,38,23,16,11,62,12
"539813",3,0,3,4,2,3,5,0
"72407",19,1,12,12,6,4,13,1
"39831",5,0,2,1,3,3,4,0
"1328373",1,0,0,0,0,0,2,0
"1365186",1,0,0,0,0,0,0,0
"1420012",1,0,1,0,0,0,0,0
"548",328,24,290,211,140,116,477,44
"2681387",22,1,20,12,5,9,15,3
"2787706",7,0,4,5,3,0,5,0
"2675726",6,3,3,3,3,3,6,0
"2697371",4,0,3,5,3,4,0,0
"2015795",2,0,1,0,1,1,1,1
"2267618",2,0,0,0,0,0,1,2
"2675710",1,0,0,1,4,4,1,0
"571",208,17,195,116,119,92,368,43
"1134687",202,12,163,136,111,74,0,35
"1667327",9,1,9,5,4,2,11,1
"244366",102,9,0,0,0,0,121,15
"2026240",47,1,51,27,27,10,93,9
"2153354",43,5,41,23,21,21,49,2
"2489010",38,2,45,32,16,13,64,6
"2058152",21,1,26,11,15,12,63,11
"546",204,16,205,129,96,86,428,44
"67827",28,1,27,14,16,12,51,2
"1639133",16,6,10,14,7,9,30,71
"2816438",13,0,8,7,4,1,18,2
"57706",12,0,8,5,12,2,17,3
"133448",10,2,6,4,11,7,15,0
"1573676",61,7,56,41,34,25,95,9
"2742624",55,7,54,40,30,18,58,7
"2546350",23,2,19,18,14,12,31,5
"2781952",17,0,22,19,5,8,15,5
"1702170",7,0,0,0,2,2,20,1
"2742627",6,0,2,5,1,2,5,0
"1703250",3,0,0,1,2,2,3,0
"1920110",3,0,4,3,2,0,21,2
"2742675",3,0,0,1,0,0,1,0
"2742667",3,0,2,3,1,0,2,2
"2742626",2,0,0,0,1,1,0,0
"2742657",1,0,1,2,0,1,3,0
"2742625",1,0,1,3,2,1,0,2
"2742668",1,0,0,2,1,0,6,0
"2697370",1,0,0,1,0,0,2,1
"2742678",1,0,0,0,0,0,1,0
"637910",112,9,94,58,51,45,159,23
"67824",75,2,45,51,22,24,74,6
"1261127",50,3,42,35,28,29,66,10
"545",38,4,33,19,21,11,45,4
"2562449",37,2,32,23,29,14,115,10
"2653932",31,4,41,22,31,13,66,8
"1748967",6,0,4,6,2,3,11,2
"1563222",5,0,5,4,5,5,16,2
"1138308",18,1,11,13,8,4,12,1
"413498",146,14,151,88,61,64,159,13
"1074000",121,16,100,70,50,46,125,16
"1073999",102,9,102,54,37,43,144,14
"1159491",1,0,0,0,0,0,0,0
"1159613",24,3,19,10,12,8,24,3
"1906275",13,1,15,13,11,9,30,6
"2725560",79,9,61,48,44,33,97,19
"2492396",65,6,61,39,28,28,60,13
"2067958",48,7,41,48,19,17,104,6
"1300165",20,3,15,12,13,5,17,3
"1235834",14,3,9,8,6,7,16,4
"551989",57,4,54,30,28,27,58,9
"1177180",1,0,6,3,1,3,2,0
"497725",41,4,34,21,20,19,44,5
"1646340",41,8,45,35,16,45,59,7
"2714951",82,7,100,52,38,28,83,20
"2815358",78,5,75,46,51,27,83,12
"2282310",21,0,22,10,10,11,16,3
"2282309",19,3,21,12,13,5,17,2
"2681308",14,0,17,17,11,9,25,3
"2681309",9,1,3,1,2,4,15,3
"1920114",7,0,4,4,3,5,3,0
"2681307",7,3,21,12,7,5,19,2
"83655",183,15,203,124,79,69,265,25
"2822132",10,0,3,9,5,0,2,1
"83334",7,0,3,3,6,1,5,2
"696406",3,0,0,0,0,0,0,0
"2233553",3,0,0,0,0,0,0,0
"930406",3,0,0,0,0,1,0,0
"585034",2,0,1,0,1,0,1,0
"409438",1,1,2,1,1,0,0,0
"2048778",1,0,0,0,0,0,0,0
"2048781",1,0,0,0,0,0,0,0
"1392858",1,1,0,0,0,0,0,0
"2763104",1,0,0,0,0,0,0,0
"1045010",1,0,1,0,0,0,0,0
"244319",1,0,0,0,0,0,0,0
"1078034",1,0,0,0,1,0,1,0
"2810408",1,0,1,0,0,0,0,0
"2810404",1,0,0,0,0,0,0,0
"208962",63,6,60,30,27,35,69,10
"564",61,5,56,33,17,10,77,11
"1499973",32,4,26,18,12,16,42,4
"2044467",14,0,21,14,7,5,39,3
"575",84,6,87,48,49,25,100,8
"577",83,6,77,59,36,23,116,10
"54291",68,5,0,0,34,0,0,8
"1259973",22,1,17,8,13,12,16,4
"2259647",3,0,0,0,2,1,1,0
"61647",419,31,387,295,227,198,522,86
"701347",19,0,32,21,25,20,50,5
"59201",139,8,125,96,76,50,266,33
"59202",22,2,26,21,19,13,46,1
"59208",8,0,8,2,2,9,25,3
"59204",4,1,4,2,3,4,2,1
"59205",4,1,1,3,3,1,3,1
"59203",3,0,5,0,2,1,24,0
"41527",3,0,10,1,2,6,10,0
"1197719",2,1,1,2,0,0,0,0
"158822",331,26,268,193,147,128,415,52
"2545798",90,7,81,45,63,34,128,13
"158823",76,9,76,63,42,31,128,19
"61646",144,11,140,105,60,55,186,18
"2153385",37,1,20,18,21,13,28,4
"69220",29,2,22,16,14,11,49,2
"61648",76,9,54,47,26,28,89,9
"2774055",71,6,65,50,61,40,129,18
"51288",32,2,22,20,14,9,23,8
"566",142,17,118,80,62,53,244,27
"2579935",137,10,148,78,89,44,192,21
"158877",113,7,82,62,51,47,153,17
"1851514",107,9,89,61,53,41,114,16
"2479367",57,7,60,31,39,21,83,9
"82977",35,3,46,26,36,20,79,6
"146507",34,5,39,41,24,10,77,19
"84564",20,2,26,17,17,2,74,1
"1906659",11,0,7,3,7,5,11,2
"1906661",8,1,1,4,1,1,10,1
"1906657",7,1,7,4,9,7,26,4
"1682492",5,0,0,2,3,0,7,1
"472825",4,0,1,2,1,1,8,0
"199891",3,0,1,0,3,2,11,0
"1906660",1,0,3,0,0,0,4,2
"565",93,16,119,77,58,42,149,10
"1972431",64,2,60,34,19,19,96,4
"395631",13,0,4,5,1,6,8,2
"1756993",8,0,8,1,1,8,8,1
"563",87,4,110,67,59,42,152,13
