"","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report"
"2493681",433,59,660,2825,461,625,327,345,686,532,346
"2744523",527,82,562,2533,442,538,316,446,788,542,361
"2744516",456,84,682,2459,491,656,380,327,679,472,333
"1854057",373,74,445,1765,337,418,244,340,487,412,278
"2744522",423,81,544,2310,464,439,251,298,796,417,334
"2483403",330,48,547,2274,376,459,221,216,483,409,216
"2744517",321,45,493,1741,380,462,288,259,472,396,212
"2493674",257,40,395,1376,335,570,337,228,375,391,188
"2493670",237,48,381,1412,343,539,329,182,346,345,174
"2744515",112,23,131,635,89,149,82,90,179,117,88
"278153",95,23,144,519,118,91,80,100,176,122,75
"2744520",58,17,78,407,79,82,59,41,82,69,46
"2744519",69,4,30,224,33,38,30,45,64,60,34
"2483402",48,5,65,174,36,54,33,33,67,43,34
"1670800",1706,257,2857,9483,1881,1960,1128,1428,2821,1659,1500
"1082933",833,125,1184,5334,936,1062,626,633,1338,949,651
"935548",479,73,698,2847,535,644,372,347,746,522,343
"935546",61,15,106,334,72,77,64,45,96,84,62
"682633",452,77,519,1440,330,350,245,352,568,466,291
"278148",148,27,179,657,126,188,91,96,159,172,70
"754035",621,105,969,3559,731,792,452,445,917,713,450
"536019",607,83,866,3513,718,920,572,476,903,696,467
"1777866",511,71,673,3031,587,687,396,347,805,563,344
"763057",51,7,93,315,71,57,42,56,69,96,36
"266835",119,19,147,628,128,144,114,100,160,121,81
"2725666",49,8,70,860,53,60,46,26,53,55,32
"2774562",244,56,302,4500,210,275,158,184,469,271,191
"374606",1093,210,1753,21367,1160,1351,744,891,2293,1216,924
"2666139",127,26,191,1926,221,144,90,102,683,142,107
"83263",161,27,181,2260,118,174,111,123,306,166,106
"266779",1571,2602,8303,4396,2292,1345,1004,2893,1146,993,689
"2599600",1492,231,2413,7210,1566,1842,1013,1204,2276,1690,1238
"1756988",697,85,1288,4065,793,907,541,558,1076,830,618
"1852022",1352,157,1575,3716,1297,1598,973,970,1364,1509,818
"1620421",521,73,627,2102,570,681,419,467,609,610,346
"411684",485,66,621,2002,457,614,387,402,553,511,315
"2742145",918,100,1220,2968,877,1104,725,680,973,945,676
"1867719",480,76,681,2480,483,654,387,389,626,637,389
"2718938",281,29,363,1411,274,344,230,194,348,327,201
"2712698",355,48,510,1138,379,478,323,294,395,436,232
"2305987",38,4,46,79,25,31,23,21,22,30,22
"2613769",6819,1207,8185,40086,6100,11020,5893,5112,8784,8082,5956
"384",3652,579,3599,13769,3013,4685,2804,2678,3419,3993,2470
"29449",1030,304,1013,3886,887,1421,869,738,1043,1126,1056
"348824",667,107,705,2656,556,986,572,521,670,807,494
"396",612,121,631,2401,512,732,528,395,491,646,378
"1312183",610,101,820,2622,633,1006,728,494,645,789,498
"379684",639,115,963,4533,662,1245,560,527,857,812,701
"1138189",508,101,501,2065,442,680,392,349,501,600,417
"56730",476,84,407,1618,388,631,326,457,463,530,371
"1138194",463,89,467,1573,376,602,334,343,393,498,322
"293958",401,56,506,2110,432,668,386,277,476,479,318
"1138190",366,86,365,1406,299,468,334,271,330,400,263
"398",401,55,501,2131,358,856,357,322,481,465,339
"1368430",397,52,487,3850,357,566,287,281,669,442,495
"451876",322,52,1261,0,564,591,249,243,2828,372,540
"240521",384,72,427,2669,337,545,280,262,511,434,353
"2583231",264,40,266,800,203,313,215,170,212,268,176
"1335061",360,42,702,2041,243,518,235,251,567,330,491
"1538158",220,47,211,882,161,309,157,196,206,212,135
"2267833",221,36,293,1351,218,356,164,160,340,231,199
"648995",185,74,609,1458,340,245,144,128,248,209,214
"1538159",89,12,93,378,79,125,68,45,72,93,57
"2081791",40,12,56,195,50,77,36,41,58,56,47
"448181",5,2,15,221,2,8,0,9,15,5,7
"1183400",2506,1451,2590,26597,1884,3391,1612,1539,3181,2648,1921
"373",784,116,894,4166,710,1140,562,554,874,916,638
"2632611",726,129,906,7914,660,1062,571,519,1221,873,767
"359",378,85,432,2214,352,553,291,277,439,426,293
"28099",295,60,440,1499,290,445,241,238,314,392,274
"160699",263,50,374,1636,224,399,211,220,321,338,273
"1183412",3,0,5,103,3,5,1,4,7,3,9
"399",1485,340,1843,37853,1403,5342,1533,1119,1848,2335,2395
"2629175",1159,263,1822,6961,1134,2892,1088,997,1528,1880,1619
"1125847",96,8,144,1078,101,180,91,86,298,114,131
"663276",3882,922,3410,11563,2779,4750,2641,3061,3456,5142,3636
"382",7639,2118,4442,28478,3758,6081,2431,5434,16814,7539,48209
"2613772",1800,359,2445,16763,1556,2440,1336,1341,3625,1998,1514
"194963",1073,679,994,3252,707,1211,724,889,965,1232,1054
"110321",1065,166,970,4102,754,1176,629,678,1280,1215,2094
"106592",2251,626,1934,8068,1476,2354,1378,1263,2084,2051,1543
"375549",1299,155,1312,4250,997,1787,1055,1123,1279,1685,1551
"2633371",1004,148,857,3450,637,1042,588,531,815,846,518
"1752398",969,124,885,3358,793,1239,645,694,996,1181,786
"716925",841,102,931,2714,723,1066,595,727,825,1047,720
"879274",1519,239,2219,65723,1221,2220,979,1054,13010,1610,1296
"2715959",1150,191,2003,17656,1133,1678,891,871,3405,1438,952
"2795690",2037,240,2346,6538,1756,2916,1693,1531,2040,2322,1240
"2341112",809,123,1329,3790,850,1094,674,682,997,1033,637
"1969821",806,113,1092,4186,725,1187,718,703,1007,1013,741
"1273132",5,1,17,30,10,9,15,3,11,14,6
"1174529",1,0,0,0,0,0,0,2,0,3,0
"658172",5,0,3,9,3,7,4,104,2,6,3
"34020",20,3,13,67,2,11,11,9,25,39,34
"1261131",6,1,10,12,5,6,3,1,2,5,7
"426117",2757,399,2501,3637,2499,3002,2274,2274,1905,3214,1780
"2202828",1569,212,1598,2413,1533,1885,1268,1297,1138,1997,949
"2603276",1157,181,1092,1847,1088,1321,918,919,843,1393,715
"2202826",1201,177,1035,1781,988,1308,941,962,735,1461,728
"925818",491,76,514,813,440,559,368,372,335,660,285
"2067957",393,77,393,497,305,428,281,298,294,475,250
"1479019",227,44,232,315,202,236,197,170,164,299,120
"739141",87,13,100,147,78,100,77,65,75,128,59
"2696060",0,0,0,0,0,1,2,0,0,0,0
"460265",2417,365,2395,3477,2677,2801,2434,2035,1597,3064,1542
"270351",2320,332,2057,3574,2102,2686,1866,1740,1706,2802,1401
"2202825",1839,293,1760,2657,1609,2001,1407,1544,1324,2192,1176
"2051553",1397,168,1108,1763,1110,1371,956,1013,804,1492,742
"2202827",1362,175,1077,1697,1175,1393,986,969,900,1536,688
"908290",1239,188,1149,2005,1035,1416,956,959,858,1516,767
"269660",1151,163,1127,2066,1017,1343,882,894,806,1334,698
"1775910",1035,158,974,1547,948,1077,814,785,973,1206,619
"426355",288,87,310,422,267,321,225,184,193,315,165
"418223",192,31,144,311,141,203,153,124,107,200,97
"693986",58,5,51,89,52,78,70,42,38,68,41
"2807101",5210,2117,2384,10233,2840,5073,2642,5957,2647,9068,9550
"2082949",1807,528,1571,4867,2092,2873,1440,1862,1410,3147,2697
"1882682",4641,2081,2362,8961,3025,4571,2664,4758,2649,7565,7527
"2651334",2418,513,1936,5143,2165,2894,1811,2084,1635,3508,3283
"441620",328,53,469,800,351,368,277,229,227,386,188
"272630",555,223,523,1097,428,630,406,423,387,631,311
"440085",186,68,202,311,183,208,140,161,145,250,113
"419610",200,77,148,265,133,173,144,124,122,238,116
"29429",38,10,43,81,36,54,39,48,30,57,27
"674703",8036,917,8725,9916,10221,29461,11716,5728,6016,7909,3278
"444923",11,1,7,3,5,5,4,2,4,5,5
"1736675",2125,962,4373,46960,2212,4153,1718,1637,6300,3013,3524
"2801335",781,297,1919,12191,794,1104,552,688,3895,960,1547
"2657486",744,158,1807,9890,799,1095,641,566,2281,1013,1035
"2499144",720,94,1271,5117,725,896,521,577,1283,922,764
"2083786",599,115,1770,13009,545,784,432,434,1764,668,808
"2774137",653,146,1643,7538,726,961,492,487,1547,835,841
"2664417",374,64,647,2367,417,580,298,298,628,506,391
"2759954",254,42,550,2311,239,390,210,192,506,340,245
"400770",1056,229,2886,32258,934,1336,651,800,5549,1162,1284
"582899",1006,98,856,4235,712,1168,819,627,1105,977,475
"670307",915,114,936,2656,827,1105,993,545,795,1171,453
"1029756",1885,196,1325,8982,947,1803,1201,996,1455,1235,815
"717785",974,92,830,2725,689,1940,762,778,713,871,441
"2233851",1975,198,1918,3713,1662,2515,1606,1423,1492,2064,1034
"1079",1641,165,1638,3089,1368,2076,1388,1290,1216,1820,894
"1384459",917,77,813,2191,579,1019,772,648,776,821,448
"2170729",907,79,753,2318,584,1000,651,585,760,730,377
"2742204",1350,127,1221,2830,1018,1462,1134,967,1163,1170,662
"2820278",1278,157,1360,3422,1100,1725,1104,980,1116,1555,798
"648757",1013,131,1039,2289,836,1223,800,654,791,1018,577
"1447062",1109,168,2030,7159,1219,1667,876,830,1834,1464,1142
"1082931",0,0,1,0,0,0,0,0,0,0,1
"1608628",451,54,387,1520,312,527,357,354,631,420,279
"1219035",431,44,557,1355,400,588,324,304,360,478,289
"1335043",398,59,701,3037,451,661,312,250,743,540,403
"454601",160,16,137,382,85,169,103,86,98,125,66
"331696",3547,395,6320,12484,5400,11560,5047,2886,3509,6267,1852
"2562284",2787,318,5359,27059,3695,19402,10738,2216,8838,3970,1445
"2709380",2165,391,2244,5473,1914,3010,1814,2343,1888,2505,1165
"639283",2173,261,2023,22514,1631,2722,1597,1814,4484,2263,1321
"1850374",1548,203,1651,4333,1322,1896,1228,1305,1389,1731,878
"1745854",1293,151,1269,3362,1085,1504,994,956,1050,1415,670
"2528964",2281,267,2109,6960,1859,2873,1758,1727,1775,2564,1244
"438753",1626,180,1631,3878,1375,2076,1353,1207,1348,1839,987
"2789216",1548,196,1704,4417,1381,2299,1323,1232,1319,1983,964
"2712222",4000,389,2633,49218,1918,4135,2773,2145,3534,2916,1187
"1235591",3440,332,3185,14226,2455,4616,2463,2746,4704,2952,1554
"1482074",1502,160,1699,4113,1338,1846,1186,1156,1423,1573,965
"573658",17,4,19,57,12,20,17,9,31,33,18
"134",1007,101,1048,2167,929,1267,861,754,866,1139,542
"173366",1020,154,1058,2010,867,1228,849,752,739,1100,583
"655015",988,78,1024,1834,950,1224,862,772,729,1135,519
"391905",925,100,923,1647,771,1154,871,852,712,1093,420
"187303",603,59,654,1208,623,768,544,432,444,716,329
"595536",1337,153,1325,2344,1189,1779,1116,989,1008,1504,666
"2699395",1189,108,1127,1985,1095,1343,923,793,808,1290,640
"1349819",1375,171,1617,3748,1275,1631,1082,1045,1249,1546,794
"2758041",1126,143,1341,3007,1026,1396,850,877,1182,1231,720
"2816454",950,115,1099,2782,783,1145,700,773,957,1052,588
"1638161",0,0,5,3,9,6,2,1,2,7,1
"1701758",1209,150,1447,3093,1052,1419,852,848,1107,1275,788
"686597",337,59,501,1644,335,465,264,284,366,412,284
"1122214",630,79,827,2325,637,877,540,511,626,779,487
"1486262",623,70,777,2437,605,789,521,442,620,708,429
"2583532",388,49,450,1721,364,477,278,252,359,481,280
"538381",1961,229,2129,4688,1658,2310,1442,1458,1754,2027,1140
"1881061",1060,96,1223,2515,908,1137,798,752,916,1037,589
"2021862",553,70,586,1509,456,703,461,433,496,625,354
"2590016",294,30,300,724,254,326,220,197,204,279,134
"2587861",230,32,275,655,224,283,185,203,217,304,165
"2587854",86,16,84,171,78,82,56,60,59,83,44
"1674922",53,9,57,207,30,70,48,42,54,45,33
"244592",261,32,342,883,271,326,211,182,289,292,168
"187304",89,14,77,227,51,76,54,58,84,86,37
"1402210",197,51,299,1340,173,256,136,139,214,214,150
"911045",164,14,169,448,127,188,137,99,163,166,115
"1702325",2005,238,3065,4809,1873,2404,1488,1531,1650,2337,1241
"444444",1171,139,1444,2725,910,1323,830,880,928,1204,720
"395965",989,100,955,2083,882,1201,794,674,801,1028,489
"227605",831,94,881,1858,770,1090,695,581,615,940,486
"569860",814,79,962,1931,855,1127,722,611,604,938,436
"31994",453,45,518,1101,405,534,376,385,332,598,272
"402881",1227,112,1182,2813,989,1471,909,895,894,1382,595
"1712261",756,84,802,1625,655,993,604,577,665,866,395
"1458461",309,25,379,799,298,455,266,244,266,326,183
"94625",555,57,835,9555,1234,505,345,292,796,448,246
"2632610",226,35,268,1480,260,268,163,164,278,276,144
"271865",168,44,215,882,140,219,131,113,214,188,115
"529",146,18,159,1585,108,173,95,88,474,109,140
"419475",86,419,123,384,63,92,62,74,65,80,46
"571256",96,515,105,321,44,79,47,81,68,74,56
"1218315",16,6,8,133,12,18,9,7,61,12,8
"29459",22,2,12,53,11,21,19,10,12,18,5
"235",1,0,3,6,2,4,7,2,6,7,2
"236",10,2,4,8,2,3,3,0,2,6,6
"29461",10,0,7,35,9,4,1,8,3,6,2
"120577",2,0,2,2,3,1,2,1,5,1,0
"36855",1,1,0,3,1,0,0,0,0,0,1
"120576",4,0,0,13,1,3,3,2,1,1,2
"444163",0,0,0,2,0,1,0,0,1,0,0
"239106",82,9,63,403,57,92,44,42,97,56,38
"2304600",1454,171,1558,3496,1191,1781,1205,1103,1313,1548,798
"1798205",333,27,321,773,255,371,251,237,244,330,189
"2528642",962,85,967,1923,829,1208,845,688,740,1032,527
"1686310",100,12,95,383,76,130,87,59,129,108,48
"2759660",28,1,29,100,21,26,12,14,15,24,9
"515256",2,0,0,3,2,1,1,0,1,4,0
"1933904",5,2,1,6,2,5,7,2,3,2,4
"1933910",0,0,0,0,0,0,0,0,0,0,0
"40933",3,0,2,12,0,7,2,0,1,3,0
"2267275",9,0,5,16,5,8,1,2,10,6,4
"1094489",14,1,10,28,6,25,13,7,4,14,7
"52764",5,2,5,8,0,11,2,1,10,3,4
"634504",10,1,4,26,8,3,7,4,4,6,4
"1225179",0,0,0,0,0,2,1,1,0,0,0
"687861",1,0,10,34,4,7,7,2,5,8,0
"774",6,2,5,28,5,15,6,2,13,6,4
"1095900",3,0,1,16,2,4,1,2,4,7,2
"1318743",5,1,14,25,9,8,4,4,7,10,5
"1094491",8,2,4,12,5,7,7,5,4,4,1
"38323",4,0,7,16,1,3,7,0,2,12,0
"85701",3,0,3,21,2,8,5,4,3,11,0
"696125",1,0,5,31,2,0,3,2,1,7,0
"2133959",3,0,0,16,2,3,2,2,3,2,0
"807",2,0,3,13,1,3,4,2,1,7,1
"2764186",4129,587,9389,3965,11344,6315,5424,6006,5284,8933,2920
"2714944",3998,606,8077,3852,9041,5628,4886,5669,4842,9171,2799
"2681549",2287,292,3049,4610,2566,2986,1896,2392,2243,3293,1727
"2714942",2929,559,3785,2549,3820,3195,2873,4174,3239,5446,1823
"2714943",3059,520,5170,3193,5427,3996,3424,4172,3516,6482,2207
"2653203",1811,241,2586,4572,2137,2592,1657,1834,1881,2870,1265
"745310",1787,220,2311,4278,2039,2572,1607,1803,2004,2696,1434
"1327635",1682,221,2398,3772,1865,3048,1636,1542,1919,2635,1184
"2735134",1625,189,2117,3120,1780,2041,1365,1413,1405,2368,1088
"2698679",1644,205,2276,3352,2177,2563,1565,1791,1718,2656,1101
"1938607",1510,211,2327,3185,1693,2756,1523,1272,1791,2466,1163
"2492837",1436,161,1701,3228,1598,1846,1198,1394,1527,2028,1107
"2596913",1458,199,1995,2887,1694,1966,1447,1402,1338,2246,937
"2711156",1329,178,1685,2956,1489,1746,1140,1318,1302,1782,952
"1523415",1253,173,1884,2775,1607,1987,1268,1226,1231,2096,842
"2219696",1273,165,1738,3453,1516,1758,1199,1230,1248,2002,881
"2599297",1309,149,2270,3130,1322,1863,1040,1172,1256,1887,898
"2565555",964,116,1321,2032,1191,1383,954,988,934,1430,692
"1030157",893,138,1114,2808,1019,1206,743,910,922,1259,668
"2759526",949,130,1374,1989,1090,1318,874,934,861,1445,622
"1517554",931,125,1221,2043,1105,1294,841,854,881,1392,626
"1390395",884,109,1035,1940,872,1145,729,807,840,1270,595
"1517551",830,108,1093,1865,980,1165,741,747,728,1263,559
"1961362",477,57,704,1342,602,720,473,485,466,776,339
"2319844",417,46,583,1046,492,557,374,395,413,650,292
"304378",199,41,260,659,190,265,162,168,196,237,239
"1628059",24,5,50,139,37,33,25,17,16,28,21
"849864",1,0,4,11,4,1,4,1,5,0,0
"1381597",6,1,6,125,5,5,4,3,69,5,46
"28214",1,1,0,22,2,3,1,2,0,0,2
"90322",0,0,0,1,1,2,0,0,0,0,0
"386874",5853,1139,10466,7318,10382,8759,8277,8252,5587,20113,3793
"1176646",5319,1023,9069,6884,9459,7921,7279,7414,5399,17223,3564
"1045317",5840,873,9597,4474,11367,8057,6929,8108,5877,13255,3528
"363835",4496,677,6829,4444,7176,5630,4719,6125,4855,8837,3016
"2071607",4260,576,4599,3533,4674,4155,3550,5180,4305,6633,2452
"2594473",4071,494,3337,2500,3276,3179,2904,4998,3829,5351,1861
"392499",432,59,440,1471,408,527,300,317,428,563,263
"653931",2205,293,2898,5216,2558,3251,2060,1997,2233,3269,1477
"1123269",2043,328,2570,5205,2207,2907,1744,2089,2090,2960,1517
"93064",2385,254,3185,4402,1780,2333,1374,1522,1779,2391,1166
"1609977",1489,166,2087,3376,1641,2659,1438,1297,1425,2279,1000
"1549858",1362,198,1830,2904,1707,2157,1313,1368,1392,2105,956
"1560345",1298,171,1838,3224,1616,1908,1240,1213,1347,1979,961
"1813879",1225,132,1739,2721,1596,1919,1262,1206,1223,1935,779
"424800",948,137,1317,1897,1134,1296,848,925,968,1516,679
"13689",932,114,1266,2844,1036,1336,811,882,901,1349,664
"621456",56,1,41,236,45,54,43,31,36,59,35
"2698828",484,62,710,1241,577,656,461,527,511,827,379
"2789327",5191,606,4784,84773,1547,2336,1323,1134,9845,1935,3464
"627192",1246,189,1552,3521,1309,1825,1108,1138,1275,1743,873
"1315974",842,242,1081,11714,722,905,595,643,1089,954,757
"2676077",717,164,914,4671,698,856,536,565,898,934,452
"2082188",722,170,875,4440,592,829,533,570,850,888,536
"1843368",652,149,789,3484,614,746,443,488,763,717,388
"1855519",953,683,1382,10108,859,986,611,603,1427,962,584
"2072936",667,121,810,2347,754,880,597,622,748,1027,503
"2733867",508,117,704,3564,539,599,435,448,652,677,359
"407020",593,276,782,6075,510,593,412,388,799,668,316
"2565554",149,31,214,606,170,219,139,119,161,229,95
"484429",124,14,163,890,106,172,74,70,120,133,81
"520734",139,15,203,1504,104,125,62,69,227,100,94
"2185111",13,1,13,107,7,24,12,4,11,15,14
"13690",1464,287,1655,8935,1128,1595,1070,1106,1505,1535,1101
"135719",775,123,1031,4434,787,960,669,612,879,946,528
"120107",772,164,1005,5109,796,1005,636,604,929,932,532
"690566",772,190,842,7104,587,776,546,615,849,836,410
"1673076",634,106,765,4476,553,771,483,492,717,744,429
"452662",666,127,823,5234,594,732,515,515,737,847,420
"1332080",648,146,889,4637,598,749,528,479,800,836,390
"76947",772,364,988,7310,547,703,465,435,1030,645,405
"1208342",162,19,159,1045,104,139,73,128,132,140,92
"1054037",137,49,146,1229,135,197,94,78,128,171,95
"861109",11,4,22,32,14,15,9,18,19,9,9
"56193",4,1,5,32,1,4,2,3,5,3,6
"595605",0,0,0,194,0,1,1,0,0,1,0
"1357916",1297,320,1453,21483,1155,1395,901,1088,1538,1614,815
"1874061",865,131,970,10139,731,916,643,682,970,919,459
"2486273",1111,335,1172,15000,973,1304,780,956,1175,1368,636
"2565556",1707,303,1775,53041,983,1303,760,1178,6018,1238,607
"292913",950,130,1181,21442,1029,1145,810,866,2015,1363,614
"1914525",932,146,1115,11815,845,975,611,664,1195,1058,594
"1866325",92,18,159,1604,79,83,53,41,213,105,69
"1913578",46,6,59,151,50,57,45,40,54,56,14
"33050",1863,353,2230,33838,1853,2134,1423,1592,2270,2344,1450
"2448440",870,121,1216,14299,903,1059,740,759,1197,1162,1506
"2054227",978,165,1215,18732,1039,1173,762,823,1247,1281,602
"1515612",961,208,1112,14440,838,1008,649,721,1208,1072,536
"317655",788,117,949,9778,760,888,571,735,1095,1002,506
"267128",476,76,677,6150,607,639,415,417,601,734,342
"2675225",1622,249,1978,3404,1615,2039,1389,1439,1376,1941,1082
"2571749",1167,136,1551,3114,1239,1704,996,1014,1155,1416,986
"1609758",1055,166,1283,2451,1025,1319,792,773,852,1308,681
"1016987",694,213,911,5433,720,991,562,530,1460,892,1702
"2780074",722,170,934,7220,784,1150,688,579,719,874,3724
"702113",523,76,503,1465,375,550,320,351,695,540,710
"164608",277,36,312,695,212,342,197,210,224,346,278
"158500",1400,468,1674,3277,1262,1722,1097,1036,1322,1569,1003
"279238",1018,153,1409,2642,1180,2112,857,900,1010,1477,894
"1176536",807,107,992,1818,808,1067,658,699,692,1076,617
"1088721",430,53,524,1227,352,550,312,278,372,457,391
"2762748",1479,191,2374,13004,1786,2286,1345,1469,1565,2350,1091
"2711215",1073,133,1634,2375,1252,1517,900,1049,1124,1567,731
"941907",3261,490,4398,6372,3459,4125,2646,3928,3989,4329,3004
"2584094",394,54,532,960,444,528,379,372,355,605,276
"2077182",405,53,585,1020,478,601,371,364,462,566,315
"1806885",364,41,441,752,371,444,309,343,324,437,209
"2725558",134,33,184,390,154,173,126,128,152,179,78
