"","X0n7bM2TOMPOOA100365.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"348824",1151,857,703,443,530,485,461,490,623,492,352
"396",1086,909,617,354,442,384,412,404,441,507,343
"1312183",1004,849,636,391,482,449,495,519,561,507,416
"379684",921,990,614,751,639,471,371,538,621,486,375
"1138189",722,683,482,315,385,361,297,391,426,388,403
"56730",717,855,512,274,449,374,286,456,498,404,238
"1138194",676,595,467,263,329,338,246,292,352,299,299
"293958",666,599,475,305,314,321,281,330,385,348,209
"1138190",660,501,358,216,296,251,243,265,297,284,248
"398",615,556,380,295,330,237,290,288,373,370,234
"1368430",584,582,367,357,301,261,209,272,327,329,227
"451876",548,454,326,357,428,226,187,247,274,445,760
"240521",494,502,318,319,290,241,223,254,337,260,205
"2583231",401,396,241,132,186,184,161,186,207,190,123
"1335061",368,378,238,1032,338,255,157,234,355,221,187
"1538158",365,298,199,124,176,147,130,160,162,167,127
"2267833",333,293,238,199,224,165,134,146,225,191,127
"648995",242,336,183,236,378,127,109,134,128,144,251
"1538159",108,109,78,50,61,44,52,43,77,56,52
"2081791",101,89,58,27,31,40,39,43,48,41,25
"448181",3,21,3,25,15,0,4,4,5,11,6
"1183400",3249,5564,2116,1815,11036,1439,1341,1626,1863,1574,1209
"373",1138,1038,848,603,573,603,443,577,648,558,380
"2632611",1010,1007,590,625,990,532,463,506,721,530,309
"359",684,528,348,285,317,272,238,282,318,238,181
"28099",416,422,284,256,251,166,170,240,258,255,149
"160699",383,390,248,310,241,188,175,202,241,202,159
"1183412",1,3,1,6,5,3,0,0,2,8,7
"399",2125,2182,1395,1765,1316,980,1017,1151,1229,994,1091
"2629175",1701,1852,1010,2703,1139,811,803,869,1160,925,745
"1125847",160,167,84,382,82,67,64,75,94,69,64
"663276",6087,7435,3747,2443,3565,3169,2065,3232,3567,2855,2034
"382",4028,16399,2519,0,7869,4769,2964,4244,6561,7106,5061
"2613772",2787,2570,1716,3462,1592,1347,1001,1290,1580,1234,984
"194963",2681,5925,2355,634,836,839,558,798,1144,744,537
"110321",1140,1573,695,1496,800,738,483,623,767,699,559
"106592",4501,4626,3392,1570,1427,1425,999,1358,1538,1138,907
"375549",1655,1642,1104,825,1131,1025,795,1101,1234,870,707
"2633371",1308,1152,1253,1182,566,626,416,531,655,517,356
"1752398",1141,1144,812,565,796,745,518,883,827,703,488
"716925",1031,1057,659,608,680,734,472,832,764,651,451
"879274",2375,2097,1330,5511,3680,1050,773,932,1145,907,769
"2715959",1698,1819,1098,5723,1153,824,724,833,948,806,621
"2795690",3237,2785,2064,1305,1547,1418,1315,1436,1760,1380,1050
"2341112",1366,1366,834,668,703,602,450,631,745,693,470
"1969821",1144,1161,751,631,653,586,532,596,827,565,419
"1273132",26,6,9,3,11,9,4,9,8,12,8
"1174529",1,0,3,0,0,0,0,3,1,4,0
"658172",10,5,2,1,2,4,3,2,5,1,1
"34020",7,4,5,2,3,16,4,2,3,22,5
"1261131",7,14,8,0,2,2,0,1,0,2,2
"426117",3668,4337,2689,635,2001,1852,2192,2531,2740,1891,1105
"2202828",2180,2424,1504,417,1170,1071,1215,1332,1525,1066,656
"2603276",1551,1760,1051,292,857,788,843,996,1052,780,468
"2202826",1549,1793,1055,268,911,789,921,1049,1183,809,463
"925818",742,732,481,131,404,319,335,413,434,369,209
"2067957",463,513,364,109,254,247,238,345,351,250,158
"1479019",297,302,207,36,183,142,170,208,269,159,89
"739141",113,156,88,24,66,60,86,79,99,66,44
"2696060",1,0,0,0,0,0,0,1,0,0,0
"460265",3457,4114,2544,606,1928,1639,8641,2243,2417,1719,930
"270351",3235,3650,2307,613,1693,1551,1734,2116,2192,1476,899
"2202825",2511,2868,1766,487,1381,1325,1341,1603,1842,1228,787
"2051553",1707,1927,1114,284,941,824,953,1109,1153,802,520
"2202827",1626,1942,1023,298,963,832,925,1065,1180,839,520
"908290",1590,1922,1153,313,986,867,966,1082,1202,827,484
"269660",1443,1706,1072,292,869,775,881,973,1092,768,467
"1775910",1424,1649,918,270,799,736,770,939,970,678,388
"426355",331,402,254,54,196,203,214,258,245,169,114
"418223",256,221,162,30,138,134,130,140,147,93,50
"693986",77,112,60,15,37,49,51,43,58,43,15
"2807101",5813,16406,6697,3359,5961,3874,3957,7285,6901,4602,1534
"2082949",2311,4063,1977,2314,1807,1352,1855,1897,1977,1598,920
"1882682",6226,16607,6605,2716,5320,3518,3948,5270,5545,3910,1472
"2651334",3209,4923,2542,1414,2368,1831,2129,2351,2532,1998,1081
"441620",433,451,293,129,307,234,290,271,302,218,140
"272630",685,880,518,136,391,376,416,402,554,359,231
"440085",274,306,205,66,149,127,137,190,226,127,56
"419610",198,246,162,45,137,141,106,148,165,120,73
"29429",67,66,40,12,33,23,36,29,58,30,19
"674703",22740,9164,14259,1025,4355,5497,7544,4974,6648,5350,6340
"444923",6,7,5,2,4,5,3,7,7,5,3
"1736675",3923,4489,2416,3176,1980,1605,1289,1587,1895,2113,2901
"2801335",1192,1467,844,2048,805,554,415,554,739,729,883
"2657486",1156,1159,787,1769,767,548,510,619,743,638,700
"2499144",978,1053,588,989,594,526,337,497,618,599,545
"2083786",963,770,523,1865,618,422,280,391,557,521,527
"2774137",928,966,548,1548,609,454,405,406,623,657,584
"2664417",506,478,318,401,330,300,220,265,343,370,341
"2759954",426,389,264,487,237,211,164,195,260,222,205
"400770",1409,1742,826,5256,1094,735,516,720,922,946,1055
"582899",1699,1161,1140,334,567,652,572,615,703,799,511
"670307",1361,912,907,264,543,636,591,579,609,1730,464
"1029756",3132,2066,2277,532,927,1144,676,971,1158,799,650
"717785",1662,1081,1055,280,468,614,486,554,686,1109,545
"2233851",3009,2470,1955,536,1254,1305,1165,1309,1574,1278,917
"1079",2632,2146,1743,453,1137,1204,1083,1155,1382,1074,780
"1384459",1368,1051,831,372,509,637,464,544,674,523,378
"2170729",1320,996,723,373,496,614,437,501,677,435,348
"2742204",2012,1542,1256,548,829,976,698,886,1036,768,543
"2820278",2002,1681,1278,411,949,878,935,981,1165,870,677
"648757",1523,1114,1065,307,658,724,568,709,856,592,430
"1447062",1386,1473,931,1243,827,789,692,803,885,1132,1034
"1082931",1,0,0,0,0,0,0,0,0,0,0
"1608628",754,587,502,310,301,303,244,317,380,267,178
"1219035",551,492,383,174,277,284,300,246,401,312,263
"1335043",522,503,337,559,317,293,254,280,349,386,363
"454601",178,139,135,59,84,83,89,92,91,93,73
"331696",7823,4444,4933,955,2385,2391,3263,2438,2960,3650,4927
"2562284",5897,3756,3566,1630,1985,1829,3284,1808,2300,3381,4933
"2709380",3731,3256,2410,698,1603,1467,1399,1769,2012,1421,1096
"639283",3675,2810,1954,1111,1524,1448,1286,1434,2048,1277,913
"1850374",2384,2007,1512,507,1140,1049,1005,1192,1410,1022,725
"1745854",1825,1597,1196,399,902,837,762,936,1112,839,610
"2528964",3436,2826,2132,646,1581,1517,1361,1690,2049,1573,948
"438753",2443,2063,1630,560,1145,1086,1018,1258,1449,1014,753
"2789216",2386,2223,1638,593,1165,1120,1043,1190,1407,1191,806
"2712222",7105,3562,4473,692,1775,2828,1982,2104,2407,1691,1410
"1235591",6772,3933,3627,1173,2074,2350,1519,1785,2795,1950,1683
"1482074",2216,1961,1417,575,1087,1052,924,1083,1366,985,771
"573658",19,23,22,6,8,23,11,11,23,13,7
"134",1471,1171,951,294,657,666,720,736,868,642,547
"173366",1463,1139,1084,272,668,732,706,719,921,679,512
"655015",1432,1284,1006,290,676,727,679,726,840,656,460
"391905",1304,1177,922,266,651,716,614,732,914,650,450
"187303",820,692,562,179,404,416,406,422,568,368,285
"595536",1946,1651,1164,331,941,1003,894,927,1145,855,614
"2699395",1555,1304,1021,302,781,745,757,797,942,690,518
"1349819",1831,1908,1187,646,941,915,839,949,1200,941,658
"2758041",1467,1488,1018,545,824,826,647,770,975,773,521
"2816454",1351,1351,944,456,742,680,551,676,867,690,444
"1638161",4,5,5,3,3,3,4,2,6,1,5
"1701758",1627,1607,1008,583,900,830,814,874,1012,843,533
"686597",499,551,315,208,277,238,215,264,342,227,198
"1122214",951,908,590,360,497,467,434,523,626,494,341
"1486262",915,842,629,362,470,442,375,453,522,409,330
"2583532",503,430,300,208,308,253,207,284,302,283,198
"538381",2623,2579,1694,771,1418,1293,1125,1264,1716,1289,818
"1881061",1541,1251,1021,438,748,735,558,711,872,678,463
"2021862",900,709,533,243,422,420,342,354,479,393,247
"2590016",380,327,258,91,196,186,176,212,254,182,123
"2587861",370,300,289,106,166,184,138,150,207,163,103
"2587854",94,90,61,26,67,52,46,61,68,65,28
"1674922",66,66,57,18,40,27,44,46,51,33,29
"244592",454,417,297,144,196,203,167,194,268,182,142
"187304",112,124,79,30,68,66,58,58,70,54,39
"1402210",284,393,162,165,164,139,134,143,201,227,138
"911045",257,205,162,57,95,110,115,105,136,100,78
"1702325",2763,2770,1710,757,2316,1560,1335,1493,2386,1435,895
"444444",1598,1585,1064,388,1091,846,669,856,1211,743,456
"395965",1382,1127,934,278,645,669,688,666,795,629,465
"227605",1235,1041,826,240,560,562,550,618,698,516,439
"569860",1378,992,886,224,558,623,532,560,707,594,462
"31994",662,545,432,155,316,316,311,336,404,356,235
"402881",1539,1248,1080,407,809,859,695,712,963,820,610
"1712261",1060,878,695,245,541,606,482,522,691,528,382
"1458461",494,393,330,101,271,287,232,268,325,262,162
"94625",505,729,342,1941,426,383,326,318,390,795,529
"2632610",303,272,184,150,150,136,121,177,158,186,132
"271865",224,238,165,116,110,107,89,100,147,135,90
"529",165,188,115,423,89,76,80,87,121,119,68
"419475",95,107,71,52,44,52,50,39,66,54,28
"571256",90,104,54,47,48,61,33,68,65,56,44
"1218315",31,13,10,82,9,8,18,4,11,8,2
"29459",22,23,13,5,14,22,12,17,23,9,8
"235",10,3,2,0,4,2,6,3,0,3,0
"236",6,7,7,1,5,6,0,6,4,6,3
"29461",4,7,6,1,16,7,5,15,11,1,2
"120577",4,2,4,0,0,2,0,2,2,1,1
"36855",1,1,1,0,1,0,0,0,1,2,1
"120576",1,0,1,4,2,1,2,1,1,1,2
"444163",1,1,3,1,1,0,0,1,1,0,0
"239106",90,91,63,60,43,45,39,42,73,45,47
"2304600",2218,1714,1374,549,993,1036,831,1045,1159,954,615
"1798205",416,348,303,123,182,214,173,232,268,205,158
"2528642",1355,1217,919,267,611,598,613,730,902,649,404
"1686310",118,94,65,49,59,64,57,54,68,54,47
"2759660",25,26,15,9,17,9,11,13,16,12,7
"515256",6,7,6,0,0,1,2,0,1,1,0
"1933904",6,5,5,4,0,5,4,3,3,4,3
"1933910",1,0,0,0,0,0,0,0,0,4,0
"40933",3,8,5,1,3,6,0,1,2,2,0
"2267275",15,5,6,1,2,4,3,6,5,6,0
"1094489",15,13,15,6,6,8,10,12,10,7,4
"52764",12,5,6,1,1,1,3,4,3,6,3
"634504",11,7,5,0,5,4,3,13,4,1,2
"1225179",1,0,1,0,0,1,1,0,0,1,0
"687861",10,5,3,1,5,7,4,2,9,5,3
"774",10,9,10,2,8,4,2,5,7,1,3
"1095900",7,5,2,0,1,2,4,4,0,4,3
"1318743",7,4,7,5,6,2,5,10,5,4,1
"1094491",6,7,6,0,3,2,5,6,4,4,2
"38323",6,5,5,0,0,0,4,5,1,3,0
"85701",4,8,6,2,2,6,3,2,3,5,2
"696125",3,3,2,0,2,1,2,0,5,3,3
"2133959",3,2,1,0,1,0,1,1,1,2,1
"807",1,5,1,1,1,2,1,2,1,1,0
"2764186",2401,5717,1938,1161,2745,4154,3816,3045,7384,5264,4609
"2714944",2318,5649,1816,1134,2498,3909,4184,3066,7033,5102,4246
"2681549",2161,2900,1524,991,1752,1855,1672,1824,3092,2237,1532
"2714942",2093,4843,1504,747,2129,2808,2146,2212,5018,3181,2480
"2714943",1941,4260,1446,998,1935,2975,3167,2321,5280,3852,2964
"2653203",1859,2214,1214,816,1342,1483,1483,1327,2348,2152,1520
"745310",1660,2210,1113,925,1464,1526,1421,1368,2303,1776,1354
"1327635",1543,2031,1041,753,1140,1397,1541,1147,1963,1703,1535
"2735134",1494,1822,1092,554,1126,1256,1162,1146,1888,1538,1141
"2698679",1494,2119,1072,732,1292,1338,1441,1167,2212,1745,1358
"1938607",1436,1803,1020,679,1118,1190,1365,1018,1706,1517,1321
"2492837",1412,1707,992,561,1055,1149,1089,1051,1768,1231,1017
"2596913",1409,1770,972,528,1115,1188,1175,1106,1849,1684,1139
"2711156",1330,1607,895,591,995,1008,957,983,1584,1279,926
"1523415",1330,1591,912,455,887,942,1091,944,1493,1362,1061
"2219696",1236,1577,872,449,919,1025,1057,919,1458,1429,1012
"2599297",1227,1521,736,599,1027,965,900,888,1558,1283,1068
"2565555",984,1203,654,391,744,784,817,823,1238,1071,682
"1030157",941,1083,610,418,729,735,690,646,1172,950,709
"2759526",935,1124,650,393,695,788,716,690,1182,1013,736
"1517554",900,1132,628,363,685,749,765,710,1091,1004,712
"1390395",821,997,556,337,662,701,573,584,1013,884,590
"1517551",808,922,578,316,597,704,612,579,960,866,667
"1961362",510,582,352,204,367,385,411,354,585,554,337
"2319844",439,505,338,173,282,359,324,283,513,401,315
"304378",349,245,210,112,148,145,167,137,208,157,128
"1628059",25,17,12,5,20,15,32,23,26,18,9
"849864",14,1,4,0,0,1,3,0,0,2,1
"1381597",13,7,22,9,1,4,11,4,2,15,129
"28214",2,3,0,0,0,1,1,1,2,2,1
"90322",2,1,2,0,0,0,0,0,0,0,0
"386874",6649,10515,3430,1884,3863,5618,5825,7375,10366,8719,8590
"1176646",3351,9525,2696,1652,3539,5167,5114,5589,9494,7146,6340
"1045317",3152,8606,2511,1356,3314,5676,7107,4654,10617,6359,5747
"363835",2893,6254,2135,1307,3194,4221,4093,3386,8037,5090,4116
"2071607",2710,5396,1930,1041,3113,4038,2826,2927,6801,4144,3102
"2594473",2539,4583,1562,868,3279,3744,2016,2750,6601,3513,2694
"392499",380,526,292,131,297,347,301,304,449,329,262
"653931",2216,2789,1592,937,1609,1697,1797,1598,2691,2330,1599
"1123269",2110,2606,1476,884,1650,1578,1600,1578,2633,1994,1380
"93064",1586,2067,966,811,1635,1380,1179,1114,2017,1666,1666
"1609977",1453,1718,1015,541,1102,1066,1288,1009,1683,1535,1218
"1549858",1423,1760,992,499,1075,1108,1209,1031,1814,1692,1047
"1560345",1385,1578,898,518,976,1018,1073,971,1550,1499,1024
"1813879",1197,1485,776,466,947,1006,1093,885,1470,1570,989
"424800",1037,1191,680,340,665,777,740,777,1142,1108,773
"13689",1035,1199,711,412,759,737,827,680,1079,987,710
"621456",57,54,42,13,27,30,26,23,53,29,12
"2698828",575,614,388,207,401,439,371,385,668,534,370
"2789327",2856,2478,1404,1363,2057,2683,1816,1402,1384,745,825
"627192",1355,1476,952,554,921,886,869,850,1422,1057,806
"1315974",759,1118,539,402,573,672,607,583,833,716,554
"2676077",740,925,478,328,512,527,488,508,745,607,584
"2082188",738,863,495,335,478,448,533,417,747,541,529
"1843368",695,812,517,277,419,436,428,405,626,544,386
"1855519",695,1730,487,577,537,703,727,569,723,871,987
"2072936",666,879,495,299,458,521,529,448,764,611,472
"2733867",646,703,416,262,359,407,402,314,572,430,323
"407020",501,1409,306,321,327,424,491,369,515,449,454
"2565554",194,208,135,60,149,118,122,110,137,107,85
"484429",101,90,56,66,70,101,337,65,82,109,66
"520734",91,92,52,121,66,85,90,67,87,80,107
"2185111",16,12,12,4,10,14,12,9,6,12,12
"13690",1688,1750,1183,620,1027,1066,918,1039,1445,1133,792
"135719",808,1000,518,388,555,533,541,514,885,655,517
"120107",756,861,511,408,548,582,580,480,807,698,549
"690566",682,956,456,313,435,526,491,450,720,612,486
"1673076",628,740,421,266,399,469,462,438,625,463,338
"452662",614,757,412,324,445,485,430,404,663,979,469
"1332080",580,701,423,377,431,445,500,399,618,471,411
"76947",522,1260,337,408,370,528,566,384,558,443,502
"1208342",120,130,79,65,125,112,175,109,154,106,68
"1054037",97,174,79,47,76,107,265,104,105,94,172
"861109",9,8,8,3,6,5,11,7,19,23,3
"56193",4,3,2,1,0,4,8,9,3,7,2
"595605",1,1,1,0,0,0,1,3,0,0,0
"1357916",1708,2347,947,777,1090,871,759,782,1313,947,1030
"1874061",1490,1024,580,730,797,641,487,505,876,662,759
"2486273",1261,1500,772,721,876,813,719,737,1159,790,877
"2565556",1027,3192,709,5359,2810,999,627,683,1118,1008,1726
"292913",965,1186,643,1209,833,749,703,688,1076,915,879
"1914525",914,1050,551,852,960,812,616,532,896,736,829
"1866325",94,103,69,205,85,60,51,55,53,72,60
"1913578",49,65,46,11,27,38,37,41,42,36,24
"33050",2064,2490,1327,1488,1648,1504,1237,1274,1991,1554,1710
"2448440",1206,1050,591,638,736,721,639,580,970,757,783
"2054227",1006,1307,647,774,839,746,625,648,1083,814,934
"1515612",876,1148,550,1020,941,710,593,556,908,859,1041
"317655",766,978,496,737,835,628,512,486,877,716,707
"267128",505,565,318,353,451,347,416,311,539,403,384
"2675225",2337,2179,1370,579,1211,1222,1060,1021,1839,1306,1254
"2571749",1841,1357,1185,614,794,896,833,761,1176,935,739
"1609758",1538,1079,1051,447,746,788,765,694,932,855,600
"1016987",1067,754,621,330,457,466,527,471,696,523,479
"2780074",1015,871,655,349,491,477,489,451,772,610,473
"702113",607,475,396,198,287,358,471,292,488,330,250
"164608",438,279,240,113,168,221,203,174,269,169,142
"158500",2304,1437,1542,713,964,1007,1102,934,1359,1011,779
"279238",1438,1331,997,455,779,803,822,697,1143,852,729
"1176536",1298,948,853,388,549,607,527,493,928,652,511
"1088721",681,492,386,171,298,342,358,292,389,307,277
"2762748",1467,1808,971,941,1177,1212,1257,1104,1917,1655,1216
"2711215",1122,1245,798,451,771,830,795,673,1236,1174,756
"941907",2353,4154,1868,2122,2762,2801,2177,2321,5129,3535,2286
"2584094",484,546,299,170,329,338,315,330,508,401,279
"2077182",425,497,323,211,319,394,276,285,507,372,298
"1806885",381,403,248,147,262,309,235,243,421,287,164
"2725558",177,156,115,54,105,109,95,88,159,130,92
"392610",307,328,206,120,163,244,179,187,313,253,176
"2026624",1317,1683,953,550,973,1094,894,1011,1646,1188,891
"2724527",419,481,293,166,252,319,304,305,461,350,263
"1850238",1680,1930,1231,671,1219,1285,1072,1118,1897,1553,1048
"1842535",362,366,233,133,181,210,201,223,342,259,202
"1550728",239,284,184,111,195,206,161,203,296,202,168
"1921510",1040,1139,695,504,767,827,817,666,1218,946,751
"1634516",1026,984,640,374,580,582,555,538,839,765,566
"2762729",767,794,487,364,537,583,540,535,947,688,541
"2806553",199,193,148,56,100,114,96,118,163,140,101
"120045",37,38,34,24,13,12,18,12,16,19,15
"120044",22,53,16,9,16,23,14,15,26,14,13
"2633097",5070,4710,3172,1903,2627,3041,2663,2427,4446,3195,2667
"39960",1812,1727,1002,657,996,1015,979,817,1401,1085,905
