"","iYASM2TOMPOOA050195.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report"
"375549",1055,1642,1551,795,1025,825,1655,1131,707,1299,155
"2633371",588,1152,518,416,626,1182,1308,566,356,1004,148
"1752398",645,1144,786,518,745,565,1141,796,488,969,124
"716925",595,1057,720,472,734,608,1031,680,451,841,102
"879274",979,2097,1296,773,1050,5511,2375,3680,769,1519,239
"2715959",891,1819,952,724,824,5723,1698,1153,621,1150,191
"2795690",1693,2785,1240,1315,1418,1305,3237,1547,1050,2037,240
"2341112",674,1366,637,450,602,668,1366,703,470,809,123
"1969821",718,1161,741,532,586,631,1144,653,419,806,113
"1273132",15,6,6,4,9,3,26,11,8,5,1
"1174529",0,0,0,0,0,0,1,0,0,1,0
"658172",4,5,3,3,4,1,10,2,1,5,0
"34020",11,4,34,4,16,2,7,3,5,20,3
"1261131",3,14,7,0,2,0,7,2,2,6,1
"426117",2274,4337,1780,2192,1852,635,3668,2001,1105,2757,399
"2202828",1268,2424,949,1215,1071,417,2180,1170,656,1569,212
"2603276",918,1760,715,843,788,292,1551,857,468,1157,181
"2202826",941,1793,728,921,789,268,1549,911,463,1201,177
"925818",368,732,285,335,319,131,742,404,209,491,76
"2067957",281,513,250,238,247,109,463,254,158,393,77
"1479019",197,302,120,170,142,36,297,183,89,227,44
"739141",77,156,59,86,60,24,113,66,44,87,13
"2696060",2,0,0,0,0,0,1,0,0,0,0
"460265",2434,4114,1542,8641,1639,606,3457,1928,930,2417,365
"270351",1866,3650,1401,1734,1551,613,3235,1693,899,2320,332
"2202825",1407,2868,1176,1341,1325,487,2511,1381,787,1839,293
"2051553",956,1927,742,953,824,284,1707,941,520,1397,168
"2202827",986,1942,688,925,832,298,1626,963,520,1362,175
"908290",956,1922,767,966,867,313,1590,986,484,1239,188
"269660",882,1706,698,881,775,292,1443,869,467,1151,163
"1775910",814,1649,619,770,736,270,1424,799,388,1035,158
"426355",225,402,165,214,203,54,331,196,114,288,87
"418223",153,221,97,130,134,30,256,138,50,192,31
"693986",70,112,41,51,49,15,77,37,15,58,5
"2807101",2642,16406,9550,3957,3874,3359,5813,5961,1534,5210,2117
"2082949",1440,4063,2697,1855,1352,2314,2311,1807,920,1807,528
"1882682",2664,16607,7527,3948,3518,2716,6226,5320,1472,4641,2081
"2651334",1811,4923,3283,2129,1831,1414,3209,2368,1081,2418,513
"441620",277,451,188,290,234,129,433,307,140,328,53
"272630",406,880,311,416,376,136,685,391,231,555,223
"440085",140,306,113,137,127,66,274,149,56,186,68
"419610",144,246,116,106,141,45,198,137,73,200,77
"29429",39,66,27,36,23,12,67,33,19,38,10
"674703",11716,9164,3278,7544,5497,1025,22740,4355,6340,8036,917
"444923",4,7,5,3,5,2,6,4,3,11,1
"1736675",1718,4489,3524,1289,1605,3176,3923,1980,2901,2125,962
"2801335",552,1467,1547,415,554,2048,1192,805,883,781,297
"2657486",641,1159,1035,510,548,1769,1156,767,700,744,158
"2499144",521,1053,764,337,526,989,978,594,545,720,94
"2083786",432,770,808,280,422,1865,963,618,527,599,115
"2774137",492,966,841,405,454,1548,928,609,584,653,146
"2664417",298,478,391,220,300,401,506,330,341,374,64
"2759954",210,389,245,164,211,487,426,237,205,254,42
"400770",651,1742,1284,516,735,5256,1409,1094,1055,1056,229
"582899",819,1161,475,572,652,334,1699,567,511,1006,98
"670307",993,912,453,591,636,264,1361,543,464,915,114
"1029756",1201,2066,815,676,1144,532,3132,927,650,1885,196
"717785",762,1081,441,486,614,280,1662,468,545,974,92
"2233851",1606,2470,1034,1165,1305,536,3009,1254,917,1975,198
"1079",1388,2146,894,1083,1204,453,2632,1137,780,1641,165
"1384459",772,1051,448,464,637,372,1368,509,378,917,77
"2170729",651,996,377,437,614,373,1320,496,348,907,79
"2742204",1134,1542,662,698,976,548,2012,829,543,1350,127
"2820278",1104,1681,798,935,878,411,2002,949,677,1278,157
"648757",800,1114,577,568,724,307,1523,658,430,1013,131
"1447062",876,1473,1142,692,789,1243,1386,827,1034,1109,168
"1082931",0,0,1,0,0,0,1,0,0,0,0
"1608628",357,587,279,244,303,310,754,301,178,451,54
"1219035",324,492,289,300,284,174,551,277,263,431,44
"1335043",312,503,403,254,293,559,522,317,363,398,59
"454601",103,139,66,89,83,59,178,84,73,160,16
"331696",5047,4444,1852,3263,2391,955,7823,2385,4927,3547,395
"2562284",10738,3756,1445,3284,1829,1630,5897,1985,4933,2787,318
"2709380",1814,3256,1165,1399,1467,698,3731,1603,1096,2165,391
"639283",1597,2810,1321,1286,1448,1111,3675,1524,913,2173,261
"1850374",1228,2007,878,1005,1049,507,2384,1140,725,1548,203
"1745854",994,1597,670,762,837,399,1825,902,610,1293,151
"2528964",1758,2826,1244,1361,1517,646,3436,1581,948,2281,267
"438753",1353,2063,987,1018,1086,560,2443,1145,753,1626,180
"2789216",1323,2223,964,1043,1120,593,2386,1165,806,1548,196
"2712222",2773,3562,1187,1982,2828,692,7105,1775,1410,4000,389
"1235591",2463,3933,1554,1519,2350,1173,6772,2074,1683,3440,332
"1482074",1186,1961,965,924,1052,575,2216,1087,771,1502,160
"573658",17,23,18,11,23,6,19,8,7,17,4
"134",861,1171,542,720,666,294,1471,657,547,1007,101
"173366",849,1139,583,706,732,272,1463,668,512,1020,154
"655015",862,1284,519,679,727,290,1432,676,460,988,78
"391905",871,1177,420,614,716,266,1304,651,450,925,100
"187303",544,692,329,406,416,179,820,404,285,603,59
"595536",1116,1651,666,894,1003,331,1946,941,614,1337,153
"2699395",923,1304,640,757,745,302,1555,781,518,1189,108
"1349819",1082,1908,794,839,915,646,1831,941,658,1375,171
"2758041",850,1488,720,647,826,545,1467,824,521,1126,143
"2816454",700,1351,588,551,680,456,1351,742,444,950,115
"1638161",2,5,1,4,3,3,4,3,5,0,0
"1701758",852,1607,788,814,830,583,1627,900,533,1209,150
"686597",264,551,284,215,238,208,499,277,198,337,59
"1122214",540,908,487,434,467,360,951,497,341,630,79
"1486262",521,842,429,375,442,362,915,470,330,623,70
"2583532",278,430,280,207,253,208,503,308,198,388,49
"538381",1442,2579,1140,1125,1293,771,2623,1418,818,1961,229
"1881061",798,1251,589,558,735,438,1541,748,463,1060,96
"2021862",461,709,354,342,420,243,900,422,247,553,70
"2590016",220,327,134,176,186,91,380,196,123,294,30
"2587861",185,300,165,138,184,106,370,166,103,230,32
"2587854",56,90,44,46,52,26,94,67,28,86,16
"1674922",48,66,33,44,27,18,66,40,29,53,9
"244592",211,417,168,167,203,144,454,196,142,261,32
"187304",54,124,37,58,66,30,112,68,39,89,14
"1402210",136,393,150,134,139,165,284,164,138,197,51
"911045",137,205,115,115,110,57,257,95,78,164,14
"1702325",1488,2770,1241,1335,1560,757,2763,2316,895,2005,238
"444444",830,1585,720,669,846,388,1598,1091,456,1171,139
"395965",794,1127,489,688,669,278,1382,645,465,989,100
"227605",695,1041,486,550,562,240,1235,560,439,831,94
"569860",722,992,436,532,623,224,1378,558,462,814,79
"31994",376,545,272,311,316,155,662,316,235,453,45
"402881",909,1248,595,695,859,407,1539,809,610,1227,112
"1712261",604,878,395,482,606,245,1060,541,382,756,84
"1458461",266,393,183,232,287,101,494,271,162,309,25
"94625",345,729,246,326,383,1941,505,426,529,555,57
"2632610",163,272,144,121,136,150,303,150,132,226,35
"271865",131,238,115,89,107,116,224,110,90,168,44
"529",95,188,140,80,76,423,165,89,68,146,18
"419475",62,107,46,50,52,52,95,44,28,86,419
"571256",47,104,56,33,61,47,90,48,44,96,515
"1218315",9,13,8,18,8,82,31,9,2,16,6
"29459",19,23,5,12,22,5,22,14,8,22,2
"235",7,3,2,6,2,0,10,4,0,1,0
"236",3,7,6,0,6,1,6,5,3,10,2
"29461",1,7,2,5,7,1,4,16,2,10,0
"120577",2,2,0,0,2,0,4,0,1,2,0
"36855",0,1,1,0,0,0,1,1,1,1,1
"120576",3,0,2,2,1,4,1,2,2,4,0
"444163",0,1,0,0,0,1,1,1,0,0,0
"239106",44,91,38,39,45,60,90,43,47,82,9
"2304600",1205,1714,798,831,1036,549,2218,993,615,1454,171
"1798205",251,348,189,173,214,123,416,182,158,333,27
"2528642",845,1217,527,613,598,267,1355,611,404,962,85
"1686310",87,94,48,57,64,49,118,59,47,100,12
"2759660",12,26,9,11,9,9,25,17,7,28,1
"515256",1,7,0,2,1,0,6,0,0,2,0
"1933904",7,5,4,4,5,4,6,0,3,5,2
"1933910",0,0,0,0,0,0,1,0,0,0,0
"40933",2,8,0,0,6,1,3,3,0,3,0
"2267275",1,5,4,3,4,1,15,2,0,9,0
"1094489",13,13,7,10,8,6,15,6,4,14,1
"52764",2,5,4,3,1,1,12,1,3,5,2
"634504",7,7,4,3,4,0,11,5,2,10,1
"1225179",1,0,0,1,1,0,1,0,0,0,0
"687861",7,5,0,4,7,1,10,5,3,1,0
"774",6,9,4,2,4,2,10,8,3,6,2
"1095900",1,5,2,4,2,0,7,1,3,3,0
"1318743",4,4,5,5,2,5,7,6,1,5,1
"1094491",7,7,1,5,2,0,6,3,2,8,2
"38323",7,5,0,4,0,0,6,0,0,4,0
"85701",5,8,0,3,6,2,4,2,2,3,0
"696125",3,3,0,2,1,0,3,2,3,1,0
"2133959",2,2,0,1,0,0,3,1,1,3,0
"807",4,5,1,1,2,1,1,1,0,2,0
"2764186",5424,5717,2920,3816,4154,1161,2401,2745,4609,4129,587
"2714944",4886,5649,2799,4184,3909,1134,2318,2498,4246,3998,606
"2681549",1896,2900,1727,1672,1855,991,2161,1752,1532,2287,292
"2714942",2873,4843,1823,2146,2808,747,2093,2129,2480,2929,559
"2714943",3424,4260,2207,3167,2975,998,1941,1935,2964,3059,520
"2653203",1657,2214,1265,1483,1483,816,1859,1342,1520,1811,241
"745310",1607,2210,1434,1421,1526,925,1660,1464,1354,1787,220
"1327635",1636,2031,1184,1541,1397,753,1543,1140,1535,1682,221
"2735134",1365,1822,1088,1162,1256,554,1494,1126,1141,1625,189
"2698679",1565,2119,1101,1441,1338,732,1494,1292,1358,1644,205
"1938607",1523,1803,1163,1365,1190,679,1436,1118,1321,1510,211
"2492837",1198,1707,1107,1089,1149,561,1412,1055,1017,1436,161
"2596913",1447,1770,937,1175,1188,528,1409,1115,1139,1458,199
"2711156",1140,1607,952,957,1008,591,1330,995,926,1329,178
"1523415",1268,1591,842,1091,942,455,1330,887,1061,1253,173
"2219696",1199,1577,881,1057,1025,449,1236,919,1012,1273,165
"2599297",1040,1521,898,900,965,599,1227,1027,1068,1309,149
"2565555",954,1203,692,817,784,391,984,744,682,964,116
"1030157",743,1083,668,690,735,418,941,729,709,893,138
"2759526",874,1124,622,716,788,393,935,695,736,949,130
"1517554",841,1132,626,765,749,363,900,685,712,931,125
"1390395",729,997,595,573,701,337,821,662,590,884,109
"1517551",741,922,559,612,704,316,808,597,667,830,108
"1961362",473,582,339,411,385,204,510,367,337,477,57
"2319844",374,505,292,324,359,173,439,282,315,417,46
"304378",162,245,239,167,145,112,349,148,128,199,41
"1628059",25,17,21,32,15,5,25,20,9,24,5
"849864",4,1,0,3,1,0,14,0,1,1,0
"1381597",4,7,46,11,4,9,13,1,129,6,1
"28214",1,3,2,1,1,0,2,0,1,1,1
"90322",0,1,0,0,0,0,2,0,0,0,0
"386874",8277,10515,3793,5825,5618,1884,6649,3863,8590,5853,1139
"1176646",7279,9525,3564,5114,5167,1652,3351,3539,6340,5319,1023
"1045317",6929,8606,3528,7107,5676,1356,3152,3314,5747,5840,873
"363835",4719,6254,3016,4093,4221,1307,2893,3194,4116,4496,677
"2071607",3550,5396,2452,2826,4038,1041,2710,3113,3102,4260,576
"2594473",2904,4583,1861,2016,3744,868,2539,3279,2694,4071,494
"392499",300,526,263,301,347,131,380,297,262,432,59
"653931",2060,2789,1477,1797,1697,937,2216,1609,1599,2205,293
"1123269",1744,2606,1517,1600,1578,884,2110,1650,1380,2043,328
"93064",1374,2067,1166,1179,1380,811,1586,1635,1666,2385,254
"1609977",1438,1718,1000,1288,1066,541,1453,1102,1218,1489,166
"1549858",1313,1760,956,1209,1108,499,1423,1075,1047,1362,198
"1560345",1240,1578,961,1073,1018,518,1385,976,1024,1298,171
"1813879",1262,1485,779,1093,1006,466,1197,947,989,1225,132
"424800",848,1191,679,740,777,340,1037,665,773,948,137
"13689",811,1199,664,827,737,412,1035,759,710,932,114
"621456",43,54,35,26,30,13,57,27,12,56,1
"2698828",461,614,379,371,439,207,575,401,370,484,62
"2789327",1323,2478,3464,1816,2683,1363,2856,2057,825,5191,606
"627192",1108,1476,873,869,886,554,1355,921,806,1246,189
"1315974",595,1118,757,607,672,402,759,573,554,842,242
"2676077",536,925,452,488,527,328,740,512,584,717,164
"2082188",533,863,536,533,448,335,738,478,529,722,170
"1843368",443,812,388,428,436,277,695,419,386,652,149
"1855519",611,1730,584,727,703,577,695,537,987,953,683
"2072936",597,879,503,529,521,299,666,458,472,667,121
"2733867",435,703,359,402,407,262,646,359,323,508,117
"407020",412,1409,316,491,424,321,501,327,454,593,276
"2565554",139,208,95,122,118,60,194,149,85,149,31
"484429",74,90,81,337,101,66,101,70,66,124,14
"520734",62,92,94,90,85,121,91,66,107,139,15
"2185111",12,12,14,12,14,4,16,10,12,13,1
"13690",1070,1750,1101,918,1066,620,1688,1027,792,1464,287
"135719",669,1000,528,541,533,388,808,555,517,775,123
"120107",636,861,532,580,582,408,756,548,549,772,164
"690566",546,956,410,491,526,313,682,435,486,772,190
"1673076",483,740,429,462,469,266,628,399,338,634,106
"452662",515,757,420,430,485,324,614,445,469,666,127
"1332080",528,701,390,500,445,377,580,431,411,648,146
"76947",465,1260,405,566,528,408,522,370,502,772,364
"1208342",73,130,92,175,112,65,120,125,68,162,19
"1054037",94,174,95,265,107,47,97,76,172,137,49
"861109",9,8,9,11,5,3,9,6,3,11,4
"56193",2,3,6,8,4,1,4,0,2,4,1
"595605",1,1,0,1,0,0,1,0,0,0,0
"1357916",901,2347,815,759,871,777,1708,1090,1030,1297,320
"1874061",643,1024,459,487,641,730,1490,797,759,865,131
"2486273",780,1500,636,719,813,721,1261,876,877,1111,335
"2565556",760,3192,607,627,999,5359,1027,2810,1726,1707,303
"292913",810,1186,614,703,749,1209,965,833,879,950,130
"1914525",611,1050,594,616,812,852,914,960,829,932,146
"1866325",53,103,69,51,60,205,94,85,60,92,18
"1913578",45,65,14,37,38,11,49,27,24,46,6
"33050",1423,2490,1450,1237,1504,1488,2064,1648,1710,1863,353
"2448440",740,1050,1506,639,721,638,1206,736,783,870,121
"2054227",762,1307,602,625,746,774,1006,839,934,978,165
"1515612",649,1148,536,593,710,1020,876,941,1041,961,208
"317655",571,978,506,512,628,737,766,835,707,788,117
"267128",415,565,342,416,347,353,505,451,384,476,76
"2675225",1389,2179,1082,1060,1222,579,2337,1211,1254,1622,249
"2571749",996,1357,986,833,896,614,1841,794,739,1167,136
"1609758",792,1079,681,765,788,447,1538,746,600,1055,166
"1016987",562,754,1702,527,466,330,1067,457,479,694,213
"2780074",688,871,3724,489,477,349,1015,491,473,722,170
"702113",320,475,710,471,358,198,607,287,250,523,76
"164608",197,279,278,203,221,113,438,168,142,277,36
"158500",1097,1437,1003,1102,1007,713,2304,964,779,1400,468
"279238",857,1331,894,822,803,455,1438,779,729,1018,153
"1176536",658,948,617,527,607,388,1298,549,511,807,107
"1088721",312,492,391,358,342,171,681,298,277,430,53
"2762748",1345,1808,1091,1257,1212,941,1467,1177,1216,1479,191
"2711215",900,1245,731,795,830,451,1122,771,756,1073,133
"941907",2646,4154,3004,2177,2801,2122,2353,2762,2286,3261,490
"2584094",379,546,276,315,338,170,484,329,279,394,54
"2077182",371,497,315,276,394,211,425,319,298,405,53
"1806885",309,403,209,235,309,147,381,262,164,364,41
"2725558",126,156,78,95,109,54,177,105,92,134,33
"392610",227,328,307,179,244,120,307,163,176,319,41
"2026624",1145,1683,986,894,1094,550,1317,973,891,1368,173
"2724527",332,481,263,304,319,166,419,252,263,389,51
"1850238",1366,1930,1100,1072,1285,671,1680,1219,1048,1600,194
"1842535",229,366,283,201,210,133,362,181,202,281,53
"1550728",238,284,407,161,206,111,239,195,168,240,19
"1921510",856,1139,722,817,827,504,1040,767,751,1032,124
"1634516",609,984,535,555,582,374,1026,580,566,781,97
"2762729",587,794,530,540,583,364,767,537,541,731,84
"2806553",125,193,99,96,114,56,199,100,101,165,17
"120045",9,38,27,18,12,24,37,13,15,15,0
"120044",21,53,20,14,23,9,22,16,13,23,2
"2633097",3386,4710,2714,2663,3041,1903,5070,2627,2667,3768,420
"39960",1191,1727,904,979,1015,657,1812,996,905,1306,149
"2739433",527,703,432,459,448,328,809,419,434,595,82
"1112",472,721,397,346,452,219,784,343,362,547,71
"2182384",456,638,412,363,406,289,713,365,375,539,74
"2683265",2492,3768,2234,2030,2367,1399,3899,2039,1993,2946,363
