"","X9JUZM2TOMPOOB100355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"1404367",224,1271,1692,3257,3897,1304,780,813,656,1356,1975
"1404864",159,979,1204,2561,2430,1040,753,739,676,1252,1487
"858423",189,978,1230,2573,2519,1099,819,786,645,1310,1280
"1325090",263,1468,1568,5234,2717,1377,1036,840,731,1486,1697
"83627",161,897,957,2502,2018,1060,837,752,665,1356,1199
"1325115",213,1128,1731,2517,5393,1842,790,745,628,1372,1721
"1325095",148,800,915,2325,2056,1012,723,723,578,1229,1238
"1404768",144,671,1002,1758,2858,800,516,531,436,840,1142
"244734",112,675,847,4139,1476,681,502,490,564,865,913
"931866",63,181,201,537,470,243,153,130,134,258,242
"1275962",1,12,35,100,17,14,7,28,23,29,19
"1867715",756,2709,1487,10143,2710,1506,1615,1594,1315,2341,1849
"2020412",422,2242,983,6887,1956,1089,1139,1044,1000,1870,1450
"2599640",406,2693,1159,5008,2328,1386,1524,1508,1292,2252,1745
"1842539",287,1582,1104,4036,2300,1337,1438,1352,1112,1926,1708
"2015316",424,2166,1020,5952,2210,1291,1160,1189,1201,1858,1737
"1792307",224,1187,840,3155,1520,1059,1041,1084,841,1543,1322
"1526658",272,1385,972,3969,2092,1193,1284,1240,1082,1879,1505
"316058",208,1290,872,4542,2354,1510,1152,1101,1211,1951,1717
"316055",173,1134,753,4173,2027,1387,960,1032,1028,1605,1504
"316056",215,1222,882,4478,2046,1377,985,971,1059,1762,1590
"652103",31,238,179,1064,440,221,221,198,181,371,367
"395960",35,208,180,780,390,229,214,216,164,300,260
"2592814",10,21,24,120,39,40,42,29,27,50,42
"2592817",4,7,9,62,21,18,3,10,7,18,24
"2592815",1,21,15,30,37,25,22,22,16,30,21
"2592816",2,5,4,9,6,1,7,6,4,5,9
"943830",166,1130,653,4461,1849,1096,890,800,984,1454,1300
"1882747",225,869,539,3199,1553,1077,866,743,697,1442,1069
"504832",0,26,36,123,13,19,11,18,26,13,7
"1333996",242,1688,1073,4269,3240,2050,1348,1397,1298,2144,2257
"323097",412,4658,8529,44838,1866,1317,1239,824,2888,1318,1957
"323098",419,2310,14284,63896,1415,920,719,738,1190,1252,1276
"675281",332,3669,1972,13529,2904,1756,1718,1773,1749,2348,3688
"2584466",281,3704,1402,17587,2557,1150,957,1200,1743,1813,3571
"2108445",228,2876,1149,11218,1337,652,644,902,885,1029,1883
"2082387",178,1977,878,8908,1865,777,661,801,992,1123,1769
"2493672",132,1383,658,4921,1185,710,702,680,1333,1003,1246
"2493673",155,1354,622,4942,1460,878,787,834,1472,1301,1385
"2493676",141,1467,663,5479,1307,792,644,653,1165,973,1372
"2493668",160,1204,593,4151,905,583,666,702,727,784,939
"2777475",217,1508,667,6353,3683,1653,1005,726,6131,1808,1884
"2493680",382,1330,666,4601,1296,767,1152,672,1272,2039,1355
"2493675",134,1218,545,4351,1057,586,583,650,797,835,1197
"2744518",161,1363,629,5048,1189,640,670,687,902,932,1286
"2744521",146,1275,635,4039,840,573,733,788,744,910,986
"2493669",150,1315,578,4857,1229,709,728,640,1246,1049,1185
"2654248",141,1234,621,5794,977,570,613,631,695,863,1209
"2493677",122,1060,517,3471,858,539,522,548,573,748,878
"2493679",83,920,406,3481,829,419,412,429,566,604,905
"2493678",77,749,383,3592,724,431,355,402,483,575,826
"2493671",77,690,324,2864,1027,692,379,362,1507,663,816
"2654249",70,935,384,3333,484,274,254,322,372,450,692
"2483404",73,738,348,3032,665,440,384,372,487,594,783
"2493681",59,686,346,2825,625,327,356,345,447,532,660
"2744523",82,788,361,2533,538,316,415,446,318,542,562
"2744516",84,679,333,2459,656,380,347,327,413,472,682
"1854057",74,487,278,1765,418,244,373,340,392,412,445
"2744522",81,796,334,2310,439,251,268,298,274,417,544
"2483403",48,483,216,2274,459,221,255,216,319,409,547
"2744517",45,472,212,1741,462,288,253,259,325,396,493
"2493674",40,375,188,1376,570,337,243,228,743,391,395
"2493670",48,346,174,1412,539,329,210,182,677,345,381
"2744515",23,179,88,635,149,82,83,90,105,117,131
"278153",23,176,75,519,91,80,87,100,92,122,144
"2744520",17,82,46,407,82,59,39,41,59,69,78
"2744519",4,64,34,224,38,30,77,45,47,60,30
"2483402",5,67,34,174,54,33,35,33,43,43,65
"1670800",257,2821,1500,9483,1960,1128,1110,1428,1265,1659,2857
"1082933",125,1338,651,5334,1062,626,608,633,718,949,1184
"935548",73,746,343,2847,644,372,339,347,384,522,698
"935546",15,96,62,334,77,64,62,45,43,84,106
"682633",77,568,291,1440,350,245,353,352,311,466,519
"278148",27,159,70,657,188,91,97,96,94,172,179
"754035",105,917,450,3559,792,452,503,445,558,713,969
"536019",83,903,467,3513,920,572,441,476,575,696,866
"1777866",71,805,344,3031,687,396,376,347,461,563,673
"763057",7,69,36,315,57,42,45,56,67,96,93
"266835",19,160,81,628,144,114,76,100,102,121,147
"2725666",8,53,32,860,60,46,40,26,80,55,70
"2774562",56,469,191,4500,275,158,191,184,158,271,302
"374606",210,2293,924,21367,1351,744,757,891,894,1216,1753
"2666139",26,683,107,1926,144,90,98,102,117,142,191
"83263",27,306,106,2260,174,111,124,123,125,166,181
"266779",2602,1146,689,4396,1345,1004,4604,2893,16274,993,8303
"2599600",231,2276,1238,7210,1842,1013,1039,1204,1130,1690,2413
"1756988",85,1076,618,4065,907,541,483,558,621,830,1288
"1852022",157,1364,818,3716,1598,973,936,970,941,1509,1575
"1620421",73,609,346,2102,681,419,404,467,405,610,627
"411684",66,553,315,2002,614,387,330,402,314,511,621
"2742145",100,973,676,2968,1104,725,582,680,615,945,1220
"1867719",76,626,389,2480,654,387,459,389,450,637,681
"2718938",29,348,201,1411,344,230,218,194,182,327,363
"2712698",48,395,232,1138,478,323,255,294,322,436,510
"2305987",4,22,22,79,31,23,19,21,17,30,46
"2613769",1207,8784,5956,40086,11020,5893,4923,5112,6018,8082,8185
"384",579,3419,2470,13769,4685,2804,2863,2678,2598,3993,3599
"29449",304,1043,1056,3886,1421,869,813,738,935,1126,1013
"348824",107,670,494,2656,986,572,490,521,492,807,705
"396",121,491,378,2401,732,528,404,395,507,646,631
"1312183",101,645,498,2622,1006,728,519,494,507,789,820
"379684",115,857,701,4533,1245,560,538,527,486,812,963
"1138189",101,501,417,2065,680,392,391,349,388,600,501
"56730",84,463,371,1618,631,326,456,457,404,530,407
"1138194",89,393,322,1573,602,334,292,343,299,498,467
"293958",56,476,318,2110,668,386,330,277,348,479,506
"1138190",86,330,263,1406,468,334,265,271,284,400,365
"398",55,481,339,2131,856,357,288,322,370,465,501
"1368430",52,669,495,3850,566,287,272,281,329,442,487
"451876",52,2828,540,0,591,249,247,243,445,372,1261
"240521",72,511,353,2669,545,280,254,262,260,434,427
"2583231",40,212,176,800,313,215,186,170,190,268,266
"1335061",42,567,491,2041,518,235,234,251,221,330,702
"1538158",47,206,135,882,309,157,160,196,167,212,211
"2267833",36,340,199,1351,356,164,146,160,191,231,293
"648995",74,248,214,1458,245,144,134,128,144,209,609
"1538159",12,72,57,378,125,68,43,45,56,93,93
"2081791",12,58,47,195,77,36,43,41,41,56,56
"448181",2,15,7,221,8,0,4,9,11,5,15
"1183400",1451,3181,1921,26597,3391,1612,1626,1539,1574,2648,2590
"373",116,874,638,4166,1140,562,577,554,558,916,894
"2632611",129,1221,767,7914,1062,571,506,519,530,873,906
"359",85,439,293,2214,553,291,282,277,238,426,432
"28099",60,314,274,1499,445,241,240,238,255,392,440
"160699",50,321,273,1636,399,211,202,220,202,338,374
"1183412",0,7,9,103,5,1,0,4,8,3,5
"399",340,1848,2395,37853,5342,1533,1151,1119,994,2335,1843
"2629175",263,1528,1619,6961,2892,1088,869,997,925,1880,1822
"1125847",8,298,131,1078,180,91,75,86,69,114,144
"663276",922,3456,3636,11563,4750,2641,3232,3061,2855,5142,3410
"382",2118,16814,48209,28478,6081,2431,4244,5434,7106,7539,4442
"2613772",359,3625,1514,16763,2440,1336,1290,1341,1234,1998,2445
"194963",679,965,1054,3252,1211,724,798,889,744,1232,994
"110321",166,1280,2094,4102,1176,629,623,678,699,1215,970
"106592",626,2084,1543,8068,2354,1378,1358,1263,1138,2051,1934
"375549",155,1279,1551,4250,1787,1055,1101,1123,870,1685,1312
"2633371",148,815,518,3450,1042,588,531,531,517,846,857
"1752398",124,996,786,3358,1239,645,883,694,703,1181,885
"716925",102,825,720,2714,1066,595,832,727,651,1047,931
"879274",239,13010,1296,65723,2220,979,932,1054,907,1610,2219
"2715959",191,3405,952,17656,1678,891,833,871,806,1438,2003
"2795690",240,2040,1240,6538,2916,1693,1436,1531,1380,2322,2346
"2341112",123,997,637,3790,1094,674,631,682,693,1033,1329
"1969821",113,1007,741,4186,1187,718,596,703,565,1013,1092
"1273132",1,11,6,30,9,15,9,3,12,14,17
"1174529",0,0,0,0,0,0,3,2,4,3,0
"658172",0,2,3,9,7,4,2,104,1,6,3
"34020",3,25,34,67,11,11,2,9,22,39,13
"1261131",1,2,7,12,6,3,1,1,2,5,10
"426117",399,1905,1780,3637,3002,2274,2531,2274,1891,3214,2501
"2202828",212,1138,949,2413,1885,1268,1332,1297,1066,1997,1598
"2603276",181,843,715,1847,1321,918,996,919,780,1393,1092
"2202826",177,735,728,1781,1308,941,1049,962,809,1461,1035
"925818",76,335,285,813,559,368,413,372,369,660,514
"2067957",77,294,250,497,428,281,345,298,250,475,393
"1479019",44,164,120,315,236,197,208,170,159,299,232
"739141",13,75,59,147,100,77,79,65,66,128,100
"2696060",0,0,0,0,1,2,1,0,0,0,0
"460265",365,1597,1542,3477,2801,2434,2243,2035,1719,3064,2395
"270351",332,1706,1401,3574,2686,1866,2116,1740,1476,2802,2057
"2202825",293,1324,1176,2657,2001,1407,1603,1544,1228,2192,1760
"2051553",168,804,742,1763,1371,956,1109,1013,802,1492,1108
"2202827",175,900,688,1697,1393,986,1065,969,839,1536,1077
"908290",188,858,767,2005,1416,956,1082,959,827,1516,1149
"269660",163,806,698,2066,1343,882,973,894,768,1334,1127
"1775910",158,973,619,1547,1077,814,939,785,678,1206,974
"426355",87,193,165,422,321,225,258,184,169,315,310
"418223",31,107,97,311,203,153,140,124,93,200,144
"693986",5,38,41,89,78,70,43,42,43,68,51
"2807101",2117,2647,9550,10233,5073,2642,7285,5957,4602,9068,2384
"2082949",528,1410,2697,4867,2873,1440,1897,1862,1598,3147,1571
"1882682",2081,2649,7527,8961,4571,2664,5270,4758,3910,7565,2362
"2651334",513,1635,3283,5143,2894,1811,2351,2084,1998,3508,1936
"441620",53,227,188,800,368,277,271,229,218,386,469
"272630",223,387,311,1097,630,406,402,423,359,631,523
"440085",68,145,113,311,208,140,190,161,127,250,202
"419610",77,122,116,265,173,144,148,124,120,238,148
"29429",10,30,27,81,54,39,29,48,30,57,43
"674703",917,6016,3278,9916,29461,11716,4974,5728,5350,7909,8725
"444923",1,4,5,3,5,4,7,2,5,5,7
"1736675",962,6300,3524,46960,4153,1718,1587,1637,2113,3013,4373
"2801335",297,3895,1547,12191,1104,552,554,688,729,960,1919
"2657486",158,2281,1035,9890,1095,641,619,566,638,1013,1807
"2499144",94,1283,764,5117,896,521,497,577,599,922,1271
"2083786",115,1764,808,13009,784,432,391,434,521,668,1770
"2774137",146,1547,841,7538,961,492,406,487,657,835,1643
"2664417",64,628,391,2367,580,298,265,298,370,506,647
"2759954",42,506,245,2311,390,210,195,192,222,340,550
"400770",229,5549,1284,32258,1336,651,720,800,946,1162,2886
"582899",98,1105,475,4235,1168,819,615,627,799,977,856
"670307",114,795,453,2656,1105,993,579,545,1730,1171,936
"1029756",196,1455,815,8982,1803,1201,971,996,799,1235,1325
"717785",92,713,441,2725,1940,762,554,778,1109,871,830
"2233851",198,1492,1034,3713,2515,1606,1309,1423,1278,2064,1918
"1079",165,1216,894,3089,2076,1388,1155,1290,1074,1820,1638
"1384459",77,776,448,2191,1019,772,544,648,523,821,813
"2170729",79,760,377,2318,1000,651,501,585,435,730,753
"2742204",127,1163,662,2830,1462,1134,886,967,768,1170,1221
"2820278",157,1116,798,3422,1725,1104,981,980,870,1555,1360
"648757",131,791,577,2289,1223,800,709,654,592,1018,1039
"1447062",168,1834,1142,7159,1667,876,803,830,1132,1464,2030
"1082931",0,0,1,0,0,0,0,0,0,0,1
"1608628",54,631,279,1520,527,357,317,354,267,420,387
"1219035",44,360,289,1355,588,324,246,304,312,478,557
"1335043",59,743,403,3037,661,312,280,250,386,540,701
"454601",16,98,66,382,169,103,92,86,93,125,137
"331696",395,3509,1852,12484,11560,5047,2438,2886,3650,6267,6320
"2562284",318,8838,1445,27059,19402,10738,1808,2216,3381,3970,5359
"2709380",391,1888,1165,5473,3010,1814,1769,2343,1421,2505,2244
"639283",261,4484,1321,22514,2722,1597,1434,1814,1277,2263,2023
"1850374",203,1389,878,4333,1896,1228,1192,1305,1022,1731,1651
"1745854",151,1050,670,3362,1504,994,936,956,839,1415,1269
"2528964",267,1775,1244,6960,2873,1758,1690,1727,1573,2564,2109
"438753",180,1348,987,3878,2076,1353,1258,1207,1014,1839,1631
"2789216",196,1319,964,4417,2299,1323,1190,1232,1191,1983,1704
"2712222",389,3534,1187,49218,4135,2773,2104,2145,1691,2916,2633
"1235591",332,4704,1554,14226,4616,2463,1785,2746,1950,2952,3185
"1482074",160,1423,965,4113,1846,1186,1083,1156,985,1573,1699
"573658",4,31,18,57,20,17,11,9,13,33,19
"134",101,866,542,2167,1267,861,736,754,642,1139,1048
"173366",154,739,583,2010,1228,849,719,752,679,1100,1058
"655015",78,729,519,1834,1224,862,726,772,656,1135,1024
"391905",100,712,420,1647,1154,871,732,852,650,1093,923
"187303",59,444,329,1208,768,544,422,432,368,716,654
"595536",153,1008,666,2344,1779,1116,927,989,855,1504,1325
"2699395",108,808,640,1985,1343,923,797,793,690,1290,1127
"1349819",171,1249,794,3748,1631,1082,949,1045,941,1546,1617
"2758041",143,1182,720,3007,1396,850,770,877,773,1231,1341
"2816454",115,957,588,2782,1145,700,676,773,690,1052,1099
"1638161",0,2,1,3,6,2,2,1,1,7,5
"1701758",150,1107,788,3093,1419,852,874,848,843,1275,1447
"686597",59,366,284,1644,465,264,264,284,227,412,501
"1122214",79,626,487,2325,877,540,523,511,494,779,827
"1486262",70,620,429,2437,789,521,453,442,409,708,777
"2583532",49,359,280,1721,477,278,284,252,283,481,450
"538381",229,1754,1140,4688,2310,1442,1264,1458,1289,2027,2129
"1881061",96,916,589,2515,1137,798,711,752,678,1037,1223
"2021862",70,496,354,1509,703,461,354,433,393,625,586
"2590016",30,204,134,724,326,220,212,197,182,279,300
"2587861",32,217,165,655,283,185,150,203,163,304,275
"2587854",16,59,44,171,82,56,61,60,65,83,84
"1674922",9,54,33,207,70,48,46,42,33,45,57
"244592",32,289,168,883,326,211,194,182,182,292,342
"187304",14,84,37,227,76,54,58,58,54,86,77
"1402210",51,214,150,1340,256,136,143,139,227,214,299
"911045",14,163,115,448,188,137,105,99,100,166,169
"1702325",238,1650,1241,4809,2404,1488,1493,1531,1435,2337,3065
"444444",139,928,720,2725,1323,830,856,880,743,1204,1444
"395965",100,801,489,2083,1201,794,666,674,629,1028,955
"227605",94,615,486,1858,1090,695,618,581,516,940,881
"569860",79,604,436,1931,1127,722,560,611,594,938,962
"31994",45,332,272,1101,534,376,336,385,356,598,518
"402881",112,894,595,2813,1471,909,712,895,820,1382,1182
"1712261",84,665,395,1625,993,604,522,577,528,866,802
"1458461",25,266,183,799,455,266,268,244,262,326,379
"94625",57,796,246,9555,505,345,318,292,795,448,835
"2632610",35,278,144,1480,268,163,177,164,186,276,268
"271865",44,214,115,882,219,131,100,113,135,188,215
"529",18,474,140,1585,173,95,87,88,119,109,159
"419475",419,65,46,384,92,62,39,74,54,80,123
"571256",515,68,56,321,79,47,68,81,56,74,105
"1218315",6,61,8,133,18,9,4,7,8,12,8
"29459",2,12,5,53,21,19,17,10,9,18,12
"235",0,6,2,6,4,7,3,2,3,7,3
"236",2,2,6,8,3,3,6,0,6,6,4
"29461",0,3,2,35,4,1,15,8,1,6,7
"120577",0,5,0,2,1,2,2,1,1,1,2
"36855",1,0,1,3,0,0,0,0,2,0,0
"120576",0,1,2,13,3,3,1,2,1,1,0
"444163",0,1,0,2,1,0,1,0,0,0,0
"239106",9,97,38,403,92,44,42,42,45,56,63
"2304600",171,1313,798,3496,1781,1205,1045,1103,954,1548,1558
"1798205",27,244,189,773,371,251,232,237,205,330,321
"2528642",85,740,527,1923,1208,845,730,688,649,1032,967
"1686310",12,129,48,383,130,87,54,59,54,108,95
"2759660",1,15,9,100,26,12,13,14,12,24,29
"515256",0,1,0,3,1,1,0,0,1,4,0
"1933904",2,3,4,6,5,7,3,2,4,2,1
"1933910",0,0,0,0,0,0,0,0,4,0,0
"40933",0,1,0,12,7,2,1,0,2,3,2
"2267275",0,10,4,16,8,1,6,2,6,6,5
"1094489",1,4,7,28,25,13,12,7,7,14,10
"52764",2,10,4,8,11,2,4,1,6,3,5
"634504",1,4,4,26,3,7,13,4,1,6,4
"1225179",0,0,0,0,2,1,0,1,1,0,0
"687861",0,5,0,34,7,7,2,2,5,8,10
"774",2,13,4,28,15,6,5,2,1,6,5
"1095900",0,4,2,16,4,1,4,2,4,7,1
"1318743",1,7,5,25,8,4,10,4,4,10,14
"1094491",2,4,1,12,7,7,6,5,4,4,4
"38323",0,2,0,16,3,7,5,0,3,12,7
"85701",0,3,0,21,8,5,2,4,5,11,3
"696125",0,1,0,31,0,3,0,2,3,7,5
"2133959",0,3,0,16,3,2,1,2,2,2,0
"807",0,1,1,13,3,4,2,2,1,7,3
"2764186",587,5284,2920,3965,6315,5424,3045,6006,5264,8933,9389
"2714944",606,4842,2799,3852,5628,4886,3066,5669,5102,9171,8077
"2681549",292,2243,1727,4610,2986,1896,1824,2392,2237,3293,3049
"2714942",559,3239,1823,2549,3195,2873,2212,4174,3181,5446,3785
"2714943",520,3516,2207,3193,3996,3424,2321,4172,3852,6482,5170
"2653203",241,1881,1265,4572,2592,1657,1327,1834,2152,2870,2586
"745310",220,2004,1434,4278,2572,1607,1368,1803,1776,2696,2311
"1327635",221,1919,1184,3772,3048,1636,1147,1542,1703,2635,2398
"2735134",189,1405,1088,3120,2041,1365,1146,1413,1538,2368,2117
"2698679",205,1718,1101,3352,2563,1565,1167,1791,1745,2656,2276
"1938607",211,1791,1163,3185,2756,1523,1018,1272,1517,2466,2327
"2492837",161,1527,1107,3228,1846,1198,1051,1394,1231,2028,1701
"2596913",199,1338,937,2887,1966,1447,1106,1402,1684,2246,1995
"2711156",178,1302,952,2956,1746,1140,983,1318,1279,1782,1685
"1523415",173,1231,842,2775,1987,1268,944,1226,1362,2096,1884
"2219696",165,1248,881,3453,1758,1199,919,1230,1429,2002,1738
"2599297",149,1256,898,3130,1863,1040,888,1172,1283,1887,2270
"2565555",116,934,692,2032,1383,954,823,988,1071,1430,1321
"1030157",138,922,668,2808,1206,743,646,910,950,1259,1114
"2759526",130,861,622,1989,1318,874,690,934,1013,1445,1374
"1517554",125,881,626,2043,1294,841,710,854,1004,1392,1221
"1390395",109,840,595,1940,1145,729,584,807,884,1270,1035
"1517551",108,728,559,1865,1165,741,579,747,866,1263,1093
"1961362",57,466,339,1342,720,473,354,485,554,776,704
"2319844",46,413,292,1046,557,374,283,395,401,650,583
"304378",41,196,239,659,265,162,137,168,157,237,260
"1628059",5,16,21,139,33,25,23,17,18,28,50
"849864",0,5,0,11,1,4,0,1,2,0,4
"1381597",1,69,46,125,5,4,4,3,15,5,6
"28214",1,0,2,22,3,1,1,2,2,0,0
"90322",0,0,0,1,2,0,0,0,0,0,0
"386874",1139,5587,3793,7318,8759,8277,7375,8252,8719,20113,10466
"1176646",1023,5399,3564,6884,7921,7279,5589,7414,7146,17223,9069
"1045317",873,5877,3528,4474,8057,6929,4654,8108,6359,13255,9597
"363835",677,4855,3016,4444,5630,4719,3386,6125,5090,8837,6829
"2071607",576,4305,2452,3533,4155,3550,2927,5180,4144,6633,4599
"2594473",494,3829,1861,2500,3179,2904,2750,4998,3513,5351,3337
"392499",59,428,263,1471,527,300,304,317,329,563,440
"653931",293,2233,1477,5216,3251,2060,1598,1997,2330,3269,2898
"1123269",328,2090,1517,5205,2907,1744,1578,2089,1994,2960,2570
"93064",254,1779,1166,4402,2333,1374,1114,1522,1666,2391,3185
"1609977",166,1425,1000,3376,2659,1438,1009,1297,1535,2279,2087
"1549858",198,1392,956,2904,2157,1313,1031,1368,1692,2105,1830
"1560345",171,1347,961,3224,1908,1240,971,1213,1499,1979,1838
"1813879",132,1223,779,2721,1919,1262,885,1206,1570,1935,1739
"424800",137,968,679,1897,1296,848,777,925,1108,1516,1317
"13689",114,901,664,2844,1336,811,680,882,987,1349,1266
"621456",1,36,35,236,54,43,23,31,29,59,41
"2698828",62,511,379,1241,656,461,385,527,534,827,710
"2789327",606,9845,3464,84773,2336,1323,1402,1134,745,1935,4784
"627192",189,1275,873,3521,1825,1108,850,1138,1057,1743,1552
"1315974",242,1089,757,11714,905,595,583,643,716,954,1081
"2676077",164,898,452,4671,856,536,508,565,607,934,914
"2082188",170,850,536,4440,829,533,417,570,541,888,875
"1843368",149,763,388,3484,746,443,405,488,544,717,789
"1855519",683,1427,584,10108,986,611,569,603,871,962,1382
"2072936",121,748,503,2347,880,597,448,622,611,1027,810
"2733867",117,652,359,3564,599,435,314,448,430,677,704
"407020",276,799,316,6075,593,412,369,388,449,668,782
"2565554",31,161,95,606,219,139,110,119,107,229,214
"484429",14,120,81,890,172,74,65,70,109,133,163
"520734",15,227,94,1504,125,62,67,69,80,100,203
"2185111",1,11,14,107,24,12,9,4,12,15,13
"13690",287,1505,1101,8935,1595,1070,1039,1106,1133,1535,1655
"135719",123,879,528,4434,960,669,514,612,655,946,1031
"120107",164,929,532,5109,1005,636,480,604,698,932,1005
"690566",190,849,410,7104,776,546,450,615,612,836,842
"1673076",106,717,429,4476,771,483,438,492,463,744,765
"452662",127,737,420,5234,732,515,404,515,979,847,823
"1332080",146,800,390,4637,749,528,399,479,471,836,889
"76947",364,1030,405,7310,703,465,384,435,443,645,988
"1208342",19,132,92,1045,139,73,109,128,106,140,159
"1054037",49,128,95,1229,197,94,104,78,94,171,146
"861109",4,19,9,32,15,9,7,18,23,9,22
"56193",1,5,6,32,4,2,9,3,7,3,5
"595605",0,0,0,194,1,1,3,0,0,1,0
"1357916",320,1538,815,21483,1395,901,782,1088,947,1614,1453
"1874061",131,970,459,10139,916,643,505,682,662,919,970
"2486273",335,1175,636,15000,1304,780,737,956,790,1368,1172
"2565556",303,6018,607,53041,1303,760,683,1178,1008,1238,1775
"292913",130,2015,614,21442,1145,810,688,866,915,1363,1181
"1914525",146,1195,594,11815,975,611,532,664,736,1058,1115
"1866325",18,213,69,1604,83,53,55,41,72,105,159
"1913578",6,54,14,151,57,45,41,40,36,56,59
"33050",353,2270,1450,33838,2134,1423,1274,1592,1554,2344,2230
"2448440",121,1197,1506,14299,1059,740,580,759,757,1162,1216
"2054227",165,1247,602,18732,1173,762,648,823,814,1281,1215
"1515612",208,1208,536,14440,1008,649,556,721,859,1072,1112
"317655",117,1095,506,9778,888,571,486,735,716,1002,949
"267128",76,601,342,6150,639,415,311,417,403,734,677
"2675225",249,1376,1082,3404,2039,1389,1021,1439,1306,1941,1978
"2571749",136,1155,986,3114,1704,996,761,1014,935,1416,1551
"1609758",166,852,681,2451,1319,792,694,773,855,1308,1283
"1016987",213,1460,1702,5433,991,562,471,530,523,892,911
"2780074",170,719,3724,7220,1150,688,451,579,610,874,934
"702113",76,695,710,1465,550,320,292,351,330,540,503
"164608",36,224,278,695,342,197,174,210,169,346,312
"158500",468,1322,1003,3277,1722,1097,934,1036,1011,1569,1674
"279238",153,1010,894,2642,2112,857,697,900,852,1477,1409
"1176536",107,692,617,1818,1067,658,493,699,652,1076,992
"1088721",53,372,391,1227,550,312,292,278,307,457,524
"2762748",191,1565,1091,13004,2286,1345,1104,1469,1655,2350,2374
"2711215",133,1124,731,2375,1517,900,673,1049,1174,1567,1634
"941907",490,3989,3004,6372,4125,2646,2321,3928,3535,4329,4398
"2584094",54,355,276,960,528,379,330,372,401,605,532
"2077182",53,462,315,1020,601,371,285,364,372,566,585
"1806885",41,324,209,752,444,309,243,343,287,437,441
"2725558",33,152,78,390,173,126,88,128,130,179,184
"392610",41,273,307,870,362,227,187,259,253,396,345
"2026624",173,1373,986,2620,1734,1145,1011,1274,1188,1965,1757
"2724527",51,385,263,742,481,332,305,382,350,582,488
