"","X9JUZM2TOMPOOB100355.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"83627",161,1316,897,2018,725,999,1073,837,1356,1199,535
"1325115",213,1271,1128,5393,658,852,3269,790,1372,1721,751
"1325095",148,1234,800,2056,601,903,1025,723,1229,1238,483
"1404768",144,940,671,2858,467,619,914,516,840,1142,410
"244734",112,797,675,1476,426,608,707,502,865,913,410
"931866",63,339,181,470,140,186,253,153,258,242,109
"1275962",1,19,12,17,19,29,17,7,29,19,7
"1867715",756,2395,2709,2710,2784,2453,1281,1615,2341,1849,986
"2020412",422,1828,2242,1956,1477,1432,1005,1139,1870,1450,655
"2599640",406,2047,2693,2328,1886,1951,1258,1524,2252,1745,811
"1842539",287,1786,1582,2300,1562,1769,1090,1438,1926,1708,754
"2015316",424,1656,2166,2210,1555,1554,1006,1160,1858,1737,773
"1792307",224,1483,1187,1520,1138,1361,863,1041,1543,1322,645
"1526658",272,1725,1385,2092,1358,1627,1008,1284,1879,1505,774
"316058",208,1811,1290,2354,1074,1656,1156,1152,1951,1717,870
"316055",173,1610,1134,2027,907,1346,937,960,1605,1504,725
"316056",215,1630,1222,2046,884,1374,1116,985,1762,1590,804
"652103",31,313,238,440,207,303,201,221,371,367,148
"395960",35,282,208,390,184,224,176,214,300,260,131
"2592814",10,44,21,39,27,38,25,42,50,42,17
"2592817",4,16,7,21,4,15,12,3,18,24,9
"2592815",1,19,21,37,18,32,18,22,30,21,9
"2592816",2,9,5,6,4,8,6,7,5,9,3
"943830",166,1506,1130,1849,801,1189,899,890,1454,1300,749
"1882747",225,2072,869,1553,701,1019,1060,866,1442,1069,522
"504832",0,11,26,13,14,19,13,11,13,7,7
"1333996",242,2621,1688,3240,1276,1948,1305,1348,2144,2257,1104
"323097",412,1464,4658,1866,854,1094,1127,1239,1318,1957,1571
"323098",419,1121,2310,1415,842,777,682,719,1252,1276,826
"675281",332,2145,3669,2904,2232,2346,1322,1718,2348,3688,1474
"2584466",281,1484,3704,2557,1425,1414,937,957,1813,3571,1562
"2108445",228,1370,2876,1337,1053,908,504,644,1029,1883,855
"2082387",178,1022,1977,1865,927,1054,629,661,1123,1769,824
"2493672",132,924,1383,1185,766,883,707,702,1003,1246,964
"2493673",155,1029,1354,1460,825,993,906,787,1301,1385,1123
"2493676",141,903,1467,1307,690,860,595,644,973,1372,868
"2493668",160,829,1204,905,740,780,489,666,784,939,501
"2777475",217,1012,1508,3683,865,978,1411,1005,1808,1884,6126
"2493680",382,1547,1330,1296,705,864,700,1152,2039,1355,981
"2493675",134,852,1218,1057,627,766,503,583,835,1197,582
"2744518",161,853,1363,1189,740,818,537,670,932,1286,714
"2744521",146,946,1275,840,766,835,504,733,910,986,453
"2493669",150,898,1315,1229,698,796,710,728,1049,1185,888
"2654248",141,798,1234,977,704,782,491,613,863,1209,591
"2493677",122,696,1060,858,564,654,435,522,748,878,415
"2493679",83,578,920,829,479,542,349,412,604,905,458
"2493678",77,513,749,724,430,512,311,355,575,826,454
"2493671",77,491,690,1027,425,440,669,379,663,816,1433
"2654249",70,435,935,484,392,392,212,254,450,692,322
"2483404",73,526,738,665,398,518,373,384,594,783,352
"2493681",59,475,686,625,394,433,307,356,532,660,317
"2744523",82,422,788,538,533,527,265,415,542,562,263
"2744516",84,410,679,656,339,456,285,347,472,682,315
"1854057",74,476,487,418,401,373,263,373,412,445,213
"2744522",81,405,796,439,355,423,215,268,417,544,252
"2483403",48,321,483,459,267,330,226,255,409,547,258
"2744517",45,324,472,462,286,321,259,253,396,493,264
"2493674",40,250,375,570,236,257,336,243,391,395,652
"2493670",48,269,346,539,190,237,279,210,345,381,664
"2744515",23,115,179,149,75,112,64,83,117,131,76
"278153",23,118,176,91,113,95,63,87,122,144,83
"2744520",17,62,82,82,57,58,51,39,69,78,40
"2744519",4,69,64,38,64,69,37,77,60,30,29
"2483402",5,45,67,54,29,48,26,35,43,65,20
"1670800",257,1629,2821,1960,1585,1706,865,1110,1659,2857,1122
"1082933",125,842,1338,1062,693,833,477,608,949,1184,575
"935548",73,506,746,644,387,479,296,339,522,698,309
"935546",15,56,96,77,70,61,62,62,84,106,42
"682633",77,470,568,350,350,452,236,353,466,519,220
"278148",27,100,159,188,113,148,93,97,172,179,88
"754035",105,630,917,792,512,621,399,503,713,969,448
"536019",83,552,903,920,515,607,397,441,696,866,463
"1777866",71,465,805,687,431,511,333,376,563,673,383
"763057",7,56,69,57,32,51,34,45,96,93,45
"266835",19,125,160,144,94,119,124,76,121,147,89
"2725666",8,66,53,60,34,49,30,40,55,70,34
"2774562",56,912,469,275,222,244,120,191,271,302,118
"374606",210,1249,2293,1351,1050,1093,575,757,1216,1753,693
"2666139",26,284,683,144,123,127,64,98,142,191,103
"83263",27,374,306,174,130,161,90,124,166,181,70
"266779",2602,2603,1146,1345,3756,1571,804,4604,993,8303,839
"2599600",231,1395,2276,1842,1331,1492,795,1039,1690,2413,995
"1756988",85,705,1076,907,620,697,396,483,830,1288,450
"1852022",157,1156,1364,1598,974,1352,828,936,1509,1575,699
"1620421",73,528,609,681,446,521,308,404,610,627,247
"411684",66,495,553,614,392,485,258,330,511,621,250
"2742145",100,814,973,1104,695,918,483,582,945,1220,495
"1867719",76,585,626,654,475,480,291,459,637,681,305
"2718938",29,333,348,344,202,281,169,218,327,363,163
"2712698",48,404,395,478,258,355,196,255,436,510,171
"2305987",4,44,22,31,14,38,22,19,30,46,15
"2613769",1207,6803,8784,11020,5384,6819,4400,4923,8082,8185,4236
"384",579,3422,3419,4685,2686,3652,2356,2863,3993,3599,1883
"29449",304,1392,1043,1421,774,1030,669,813,1126,1013,674
"348824",107,703,670,986,530,667,461,490,807,705,352
"396",121,617,491,732,442,612,412,404,646,631,343
"1312183",101,636,645,1006,482,610,495,519,789,820,416
"379684",115,614,857,1245,639,639,371,538,812,963,375
"1138189",101,482,501,680,385,508,297,391,600,501,403
"56730",84,512,463,631,449,476,286,456,530,407,238
"1138194",89,467,393,602,329,463,246,292,498,467,299
"293958",56,475,476,668,314,401,281,330,479,506,209
"1138190",86,358,330,468,296,366,243,265,400,365,248
"398",55,380,481,856,330,401,290,288,465,501,234
"1368430",52,367,669,566,301,397,209,272,442,487,227
"451876",52,326,2828,591,428,322,187,247,372,1261,760
"240521",72,318,511,545,290,384,223,254,434,427,205
"2583231",40,241,212,313,186,264,161,186,268,266,123
"1335061",42,238,567,518,338,360,157,234,330,702,187
"1538158",47,199,206,309,176,220,130,160,212,211,127
"2267833",36,238,340,356,224,221,134,146,231,293,127
"648995",74,183,248,245,378,185,109,134,209,609,251
"1538159",12,78,72,125,61,89,52,43,93,93,52
"2081791",12,58,58,77,31,40,39,43,56,56,25
"448181",2,3,15,8,15,5,4,4,5,15,6
"1183400",1451,2116,3181,3391,11036,2506,1341,1626,2648,2590,1209
"373",116,848,874,1140,573,784,443,577,916,894,380
"2632611",129,590,1221,1062,990,726,463,506,873,906,309
"359",85,348,439,553,317,378,238,282,426,432,181
"28099",60,284,314,445,251,295,170,240,392,440,149
"160699",50,248,321,399,241,263,175,202,338,374,159
"1183412",0,1,7,5,5,3,0,0,3,5,7
"399",340,1395,1848,5342,1316,1485,1017,1151,2335,1843,1091
"2629175",263,1010,1528,2892,1139,1159,803,869,1880,1822,745
"1125847",8,84,298,180,82,96,64,75,114,144,64
"663276",922,3747,3456,4750,3565,3882,2065,3232,5142,3410,2034
"382",2118,2519,16814,6081,7869,7639,2964,4244,7539,4442,5061
"2613772",359,1716,3625,2440,1592,1800,1001,1290,1998,2445,984
"194963",679,2355,965,1211,836,1073,558,798,1232,994,537
"110321",166,695,1280,1176,800,1065,483,623,1215,970,559
"106592",626,3392,2084,2354,1427,2251,999,1358,2051,1934,907
"375549",155,1104,1279,1787,1131,1299,795,1101,1685,1312,707
"2633371",148,1253,815,1042,566,1004,416,531,846,857,356
"1752398",124,812,996,1239,796,969,518,883,1181,885,488
"716925",102,659,825,1066,680,841,472,832,1047,931,451
"879274",239,1330,13010,2220,3680,1519,773,932,1610,2219,769
"2715959",191,1098,3405,1678,1153,1150,724,833,1438,2003,621
"2795690",240,2064,2040,2916,1547,2037,1315,1436,2322,2346,1050
"2341112",123,834,997,1094,703,809,450,631,1033,1329,470
"1969821",113,751,1007,1187,653,806,532,596,1013,1092,419
"1273132",1,9,11,9,11,5,4,9,14,17,8
"1174529",0,3,0,0,0,1,0,3,3,0,0
"658172",0,2,2,7,2,5,3,2,6,3,1
"34020",3,5,25,11,3,20,4,2,39,13,5
"1261131",1,8,2,6,2,6,0,1,5,10,2
"426117",399,2689,1905,3002,2001,2757,2192,2531,3214,2501,1105
"2202828",212,1504,1138,1885,1170,1569,1215,1332,1997,1598,656
"2603276",181,1051,843,1321,857,1157,843,996,1393,1092,468
"2202826",177,1055,735,1308,911,1201,921,1049,1461,1035,463
"925818",76,481,335,559,404,491,335,413,660,514,209
"2067957",77,364,294,428,254,393,238,345,475,393,158
"1479019",44,207,164,236,183,227,170,208,299,232,89
"739141",13,88,75,100,66,87,86,79,128,100,44
"2696060",0,0,0,1,0,0,0,1,0,0,0
"460265",365,2544,1597,2801,1928,2417,8641,2243,3064,2395,930
"270351",332,2307,1706,2686,1693,2320,1734,2116,2802,2057,899
"2202825",293,1766,1324,2001,1381,1839,1341,1603,2192,1760,787
"2051553",168,1114,804,1371,941,1397,953,1109,1492,1108,520
"2202827",175,1023,900,1393,963,1362,925,1065,1536,1077,520
"908290",188,1153,858,1416,986,1239,966,1082,1516,1149,484
"269660",163,1072,806,1343,869,1151,881,973,1334,1127,467
"1775910",158,918,973,1077,799,1035,770,939,1206,974,388
"426355",87,254,193,321,196,288,214,258,315,310,114
"418223",31,162,107,203,138,192,130,140,200,144,50
"693986",5,60,38,78,37,58,51,43,68,51,15
"2807101",2117,6697,2647,5073,5961,5210,3957,7285,9068,2384,1534
"2082949",528,1977,1410,2873,1807,1807,1855,1897,3147,1571,920
"1882682",2081,6605,2649,4571,5320,4641,3948,5270,7565,2362,1472
"2651334",513,2542,1635,2894,2368,2418,2129,2351,3508,1936,1081
"441620",53,293,227,368,307,328,290,271,386,469,140
"272630",223,518,387,630,391,555,416,402,631,523,231
"440085",68,205,145,208,149,186,137,190,250,202,56
"419610",77,162,122,173,137,200,106,148,238,148,73
"29429",10,40,30,54,33,38,36,29,57,43,19
"674703",917,14259,6016,29461,4355,8036,7544,4974,7909,8725,6340
"444923",1,5,4,5,4,11,3,7,5,7,3
"1736675",962,2416,6300,4153,1980,2125,1289,1587,3013,4373,2901
"2801335",297,844,3895,1104,805,781,415,554,960,1919,883
"2657486",158,787,2281,1095,767,744,510,619,1013,1807,700
"2499144",94,588,1283,896,594,720,337,497,922,1271,545
"2083786",115,523,1764,784,618,599,280,391,668,1770,527
"2774137",146,548,1547,961,609,653,405,406,835,1643,584
"2664417",64,318,628,580,330,374,220,265,506,647,341
"2759954",42,264,506,390,237,254,164,195,340,550,205
"400770",229,826,5549,1336,1094,1056,516,720,1162,2886,1055
"582899",98,1140,1105,1168,567,1006,572,615,977,856,511
"670307",114,907,795,1105,543,915,591,579,1171,936,464
"1029756",196,2277,1455,1803,927,1885,676,971,1235,1325,650
"717785",92,1055,713,1940,468,974,486,554,871,830,545
"2233851",198,1955,1492,2515,1254,1975,1165,1309,2064,1918,917
"1079",165,1743,1216,2076,1137,1641,1083,1155,1820,1638,780
"1384459",77,831,776,1019,509,917,464,544,821,813,378
"2170729",79,723,760,1000,496,907,437,501,730,753,348
"2742204",127,1256,1163,1462,829,1350,698,886,1170,1221,543
"2820278",157,1278,1116,1725,949,1278,935,981,1555,1360,677
"648757",131,1065,791,1223,658,1013,568,709,1018,1039,430
"1447062",168,931,1834,1667,827,1109,692,803,1464,2030,1034
"1082931",0,0,0,0,0,0,0,0,0,1,0
"1608628",54,502,631,527,301,451,244,317,420,387,178
"1219035",44,383,360,588,277,431,300,246,478,557,263
"1335043",59,337,743,661,317,398,254,280,540,701,363
"454601",16,135,98,169,84,160,89,92,125,137,73
"331696",395,4933,3509,11560,2385,3547,3263,2438,6267,6320,4927
"2562284",318,3566,8838,19402,1985,2787,3284,1808,3970,5359,4933
"2709380",391,2410,1888,3010,1603,2165,1399,1769,2505,2244,1096
"639283",261,1954,4484,2722,1524,2173,1286,1434,2263,2023,913
"1850374",203,1512,1389,1896,1140,1548,1005,1192,1731,1651,725
"1745854",151,1196,1050,1504,902,1293,762,936,1415,1269,610
"2528964",267,2132,1775,2873,1581,2281,1361,1690,2564,2109,948
"438753",180,1630,1348,2076,1145,1626,1018,1258,1839,1631,753
"2789216",196,1638,1319,2299,1165,1548,1043,1190,1983,1704,806
"2712222",389,4473,3534,4135,1775,4000,1982,2104,2916,2633,1410
"1235591",332,3627,4704,4616,2074,3440,1519,1785,2952,3185,1683
"1482074",160,1417,1423,1846,1087,1502,924,1083,1573,1699,771
"573658",4,22,31,20,8,17,11,11,33,19,7
"134",101,951,866,1267,657,1007,720,736,1139,1048,547
"173366",154,1084,739,1228,668,1020,706,719,1100,1058,512
"655015",78,1006,729,1224,676,988,679,726,1135,1024,460
"391905",100,922,712,1154,651,925,614,732,1093,923,450
"187303",59,562,444,768,404,603,406,422,716,654,285
"595536",153,1164,1008,1779,941,1337,894,927,1504,1325,614
"2699395",108,1021,808,1343,781,1189,757,797,1290,1127,518
"1349819",171,1187,1249,1631,941,1375,839,949,1546,1617,658
"2758041",143,1018,1182,1396,824,1126,647,770,1231,1341,521
"2816454",115,944,957,1145,742,950,551,676,1052,1099,444
"1638161",0,5,2,6,3,0,4,2,7,5,5
"1701758",150,1008,1107,1419,900,1209,814,874,1275,1447,533
"686597",59,315,366,465,277,337,215,264,412,501,198
"1122214",79,590,626,877,497,630,434,523,779,827,341
"1486262",70,629,620,789,470,623,375,453,708,777,330
"2583532",49,300,359,477,308,388,207,284,481,450,198
"538381",229,1694,1754,2310,1418,1961,1125,1264,2027,2129,818
"1881061",96,1021,916,1137,748,1060,558,711,1037,1223,463
"2021862",70,533,496,703,422,553,342,354,625,586,247
"2590016",30,258,204,326,196,294,176,212,279,300,123
"2587861",32,289,217,283,166,230,138,150,304,275,103
"2587854",16,61,59,82,67,86,46,61,83,84,28
"1674922",9,57,54,70,40,53,44,46,45,57,29
"244592",32,297,289,326,196,261,167,194,292,342,142
"187304",14,79,84,76,68,89,58,58,86,77,39
"1402210",51,162,214,256,164,197,134,143,214,299,138
"911045",14,162,163,188,95,164,115,105,166,169,78
"1702325",238,1710,1650,2404,2316,2005,1335,1493,2337,3065,895
"444444",139,1064,928,1323,1091,1171,669,856,1204,1444,456
"395965",100,934,801,1201,645,989,688,666,1028,955,465
"227605",94,826,615,1090,560,831,550,618,940,881,439
"569860",79,886,604,1127,558,814,532,560,938,962,462
"31994",45,432,332,534,316,453,311,336,598,518,235
"402881",112,1080,894,1471,809,1227,695,712,1382,1182,610
"1712261",84,695,665,993,541,756,482,522,866,802,382
"1458461",25,330,266,455,271,309,232,268,326,379,162
"94625",57,342,796,505,426,555,326,318,448,835,529
"2632610",35,184,278,268,150,226,121,177,276,268,132
"271865",44,165,214,219,110,168,89,100,188,215,90
"529",18,115,474,173,89,146,80,87,109,159,68
"419475",419,71,65,92,44,86,50,39,80,123,28
"571256",515,54,68,79,48,96,33,68,74,105,44
"1218315",6,10,61,18,9,16,18,4,12,8,2
"29459",2,13,12,21,14,22,12,17,18,12,8
"235",0,2,6,4,4,1,6,3,7,3,0
"236",2,7,2,3,5,10,0,6,6,4,3
"29461",0,6,3,4,16,10,5,15,6,7,2
"120577",0,4,5,1,0,2,0,2,1,2,1
"36855",1,1,0,0,1,1,0,0,0,0,1
"120576",0,1,1,3,2,4,2,1,1,0,2
"444163",0,3,1,1,1,0,0,1,0,0,0
"239106",9,63,97,92,43,82,39,42,56,63,47
"2304600",171,1374,1313,1781,993,1454,831,1045,1548,1558,615
"1798205",27,303,244,371,182,333,173,232,330,321,158
"2528642",85,919,740,1208,611,962,613,730,1032,967,404
"1686310",12,65,129,130,59,100,57,54,108,95,47
"2759660",1,15,15,26,17,28,11,13,24,29,7
"515256",0,6,1,1,0,2,2,0,4,0,0
"1933904",2,5,3,5,0,5,4,3,2,1,3
"1933910",0,0,0,0,0,0,0,0,0,0,0
"40933",0,5,1,7,3,3,0,1,3,2,0
"2267275",0,6,10,8,2,9,3,6,6,5,0
"1094489",1,15,4,25,6,14,10,12,14,10,4
"52764",2,6,10,11,1,5,3,4,3,5,3
"634504",1,5,4,3,5,10,3,13,6,4,2
"1225179",0,1,0,2,0,0,1,0,0,0,0
"687861",0,3,5,7,5,1,4,2,8,10,3
"774",2,10,13,15,8,6,2,5,6,5,3
"1095900",0,2,4,4,1,3,4,4,7,1,3
"1318743",1,7,7,8,6,5,5,10,10,14,1
"1094491",2,6,4,7,3,8,5,6,4,4,2
"38323",0,5,2,3,0,4,4,5,12,7,0
"85701",0,6,3,8,2,3,3,2,11,3,2
"696125",0,2,1,0,2,1,2,0,7,5,3
"2133959",0,1,3,3,1,3,1,1,2,0,1
"807",0,1,1,3,1,2,1,2,7,3,0
"2764186",587,1938,5284,6315,2745,4129,3816,3045,8933,9389,4609
"2714944",606,1816,4842,5628,2498,3998,4184,3066,9171,8077,4246
"2681549",292,1524,2243,2986,1752,2287,1672,1824,3293,3049,1532
"2714942",559,1504,3239,3195,2129,2929,2146,2212,5446,3785,2480
"2714943",520,1446,3516,3996,1935,3059,3167,2321,6482,5170,2964
"2653203",241,1214,1881,2592,1342,1811,1483,1327,2870,2586,1520
"745310",220,1113,2004,2572,1464,1787,1421,1368,2696,2311,1354
"1327635",221,1041,1919,3048,1140,1682,1541,1147,2635,2398,1535
"2735134",189,1092,1405,2041,1126,1625,1162,1146,2368,2117,1141
"2698679",205,1072,1718,2563,1292,1644,1441,1167,2656,2276,1358
"1938607",211,1020,1791,2756,1118,1510,1365,1018,2466,2327,1321
"2492837",161,992,1527,1846,1055,1436,1089,1051,2028,1701,1017
"2596913",199,972,1338,1966,1115,1458,1175,1106,2246,1995,1139
"2711156",178,895,1302,1746,995,1329,957,983,1782,1685,926
"1523415",173,912,1231,1987,887,1253,1091,944,2096,1884,1061
"2219696",165,872,1248,1758,919,1273,1057,919,2002,1738,1012
"2599297",149,736,1256,1863,1027,1309,900,888,1887,2270,1068
"2565555",116,654,934,1383,744,964,817,823,1430,1321,682
"1030157",138,610,922,1206,729,893,690,646,1259,1114,709
"2759526",130,650,861,1318,695,949,716,690,1445,1374,736
"1517554",125,628,881,1294,685,931,765,710,1392,1221,712
"1390395",109,556,840,1145,662,884,573,584,1270,1035,590
"1517551",108,578,728,1165,597,830,612,579,1263,1093,667
"1961362",57,352,466,720,367,477,411,354,776,704,337
"2319844",46,338,413,557,282,417,324,283,650,583,315
"304378",41,210,196,265,148,199,167,137,237,260,128
"1628059",5,12,16,33,20,24,32,23,28,50,9
"849864",0,4,5,1,0,1,3,0,0,4,1
"1381597",1,22,69,5,1,6,11,4,5,6,129
"28214",1,0,0,3,0,1,1,1,0,0,1
"90322",0,2,0,2,0,0,0,0,0,0,0
"386874",1139,3430,5587,8759,3863,5853,5825,7375,20113,10466,8590
"1176646",1023,2696,5399,7921,3539,5319,5114,5589,17223,9069,6340
"1045317",873,2511,5877,8057,3314,5840,7107,4654,13255,9597,5747
"363835",677,2135,4855,5630,3194,4496,4093,3386,8837,6829,4116
"2071607",576,1930,4305,4155,3113,4260,2826,2927,6633,4599,3102
"2594473",494,1562,3829,3179,3279,4071,2016,2750,5351,3337,2694
"392499",59,292,428,527,297,432,301,304,563,440,262
"653931",293,1592,2233,3251,1609,2205,1797,1598,3269,2898,1599
"1123269",328,1476,2090,2907,1650,2043,1600,1578,2960,2570,1380
"93064",254,966,1779,2333,1635,2385,1179,1114,2391,3185,1666
"1609977",166,1015,1425,2659,1102,1489,1288,1009,2279,2087,1218
"1549858",198,992,1392,2157,1075,1362,1209,1031,2105,1830,1047
"1560345",171,898,1347,1908,976,1298,1073,971,1979,1838,1024
"1813879",132,776,1223,1919,947,1225,1093,885,1935,1739,989
"424800",137,680,968,1296,665,948,740,777,1516,1317,773
"13689",114,711,901,1336,759,932,827,680,1349,1266,710
"621456",1,42,36,54,27,56,26,23,59,41,12
"2698828",62,388,511,656,401,484,371,385,827,710,370
"2789327",606,1404,9845,2336,2057,5191,1816,1402,1935,4784,825
"627192",189,952,1275,1825,921,1246,869,850,1743,1552,806
"1315974",242,539,1089,905,573,842,607,583,954,1081,554
"2676077",164,478,898,856,512,717,488,508,934,914,584
"2082188",170,495,850,829,478,722,533,417,888,875,529
"1843368",149,517,763,746,419,652,428,405,717,789,386
"1855519",683,487,1427,986,537,953,727,569,962,1382,987
"2072936",121,495,748,880,458,667,529,448,1027,810,472
"2733867",117,416,652,599,359,508,402,314,677,704,323
"407020",276,306,799,593,327,593,491,369,668,782,454
"2565554",31,135,161,219,149,149,122,110,229,214,85
"484429",14,56,120,172,70,124,337,65,133,163,66
"520734",15,52,227,125,66,139,90,67,100,203,107
"2185111",1,12,11,24,10,13,12,9,15,13,12
"13690",287,1183,1505,1595,1027,1464,918,1039,1535,1655,792
"135719",123,518,879,960,555,775,541,514,946,1031,517
"120107",164,511,929,1005,548,772,580,480,932,1005,549
"690566",190,456,849,776,435,772,491,450,836,842,486
"1673076",106,421,717,771,399,634,462,438,744,765,338
"452662",127,412,737,732,445,666,430,404,847,823,469
"1332080",146,423,800,749,431,648,500,399,836,889,411
"76947",364,337,1030,703,370,772,566,384,645,988,502
"1208342",19,79,132,139,125,162,175,109,140,159,68
"1054037",49,79,128,197,76,137,265,104,171,146,172
"861109",4,8,19,15,6,11,11,7,9,22,3
"56193",1,2,5,4,0,4,8,9,3,5,2
"595605",0,1,0,1,0,0,1,3,1,0,0
"1357916",320,947,1538,1395,1090,1297,759,782,1614,1453,1030
"1874061",131,580,970,916,797,865,487,505,919,970,759
"2486273",335,772,1175,1304,876,1111,719,737,1368,1172,877
"2565556",303,709,6018,1303,2810,1707,627,683,1238,1775,1726
"292913",130,643,2015,1145,833,950,703,688,1363,1181,879
"1914525",146,551,1195,975,960,932,616,532,1058,1115,829
"1866325",18,69,213,83,85,92,51,55,105,159,60
"1913578",6,46,54,57,27,46,37,41,56,59,24
"33050",353,1327,2270,2134,1648,1863,1237,1274,2344,2230,1710
"2448440",121,591,1197,1059,736,870,639,580,1162,1216,783
"2054227",165,647,1247,1173,839,978,625,648,1281,1215,934
"1515612",208,550,1208,1008,941,961,593,556,1072,1112,1041
"317655",117,496,1095,888,835,788,512,486,1002,949,707
"267128",76,318,601,639,451,476,416,311,734,677,384
"2675225",249,1370,1376,2039,1211,1622,1060,1021,1941,1978,1254
"2571749",136,1185,1155,1704,794,1167,833,761,1416,1551,739
"1609758",166,1051,852,1319,746,1055,765,694,1308,1283,600
"1016987",213,621,1460,991,457,694,527,471,892,911,479
"2780074",170,655,719,1150,491,722,489,451,874,934,473
"702113",76,396,695,550,287,523,471,292,540,503,250
"164608",36,240,224,342,168,277,203,174,346,312,142
"158500",468,1542,1322,1722,964,1400,1102,934,1569,1674,779
"279238",153,997,1010,2112,779,1018,822,697,1477,1409,729
"1176536",107,853,692,1067,549,807,527,493,1076,992,511
"1088721",53,386,372,550,298,430,358,292,457,524,277
"2762748",191,971,1565,2286,1177,1479,1257,1104,2350,2374,1216
"2711215",133,798,1124,1517,771,1073,795,673,1567,1634,756
"941907",490,1868,3989,4125,2762,3261,2177,2321,4329,4398,2286
"2584094",54,299,355,528,329,394,315,330,605,532,279
"2077182",53,323,462,601,319,405,276,285,566,585,298
"1806885",41,248,324,444,262,364,235,243,437,441,164
"2725558",33,115,152,173,105,134,95,88,179,184,92
"392610",41,206,273,362,163,319,179,187,396,345,176
"2026624",173,953,1373,1734,973,1368,894,1011,1965,1757,891
"2724527",51,293,385,481,252,389,304,305,582,488,263
"1850238",194,1231,1547,2138,1219,1600,1072,1118,2269,1875,1048
"1842535",53,233,309,420,181,281,201,223,399,366,202
"1550728",19,184,262,336,195,240,161,203,360,329,168
"1921510",124,695,1125,1356,767,1032,817,666,1567,1377,751
"1634516",97,640,811,1111,580,781,555,538,1095,1244,566
"2762729",84,487,728,911,537,731,540,535,1059,961,541
"2806553",17,148,184,195,100,165,96,118,216,205,101
