"","TECcM2TOMPOOA051310.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"2493680",955,1513,1296,382,666,1152,2039,1330,726,700,1355
"2493675",562,1454,1057,134,545,583,835,1218,701,503,1197
"2744518",578,1453,1189,161,629,670,932,1363,810,537,1286
"2744521",650,1438,840,146,635,733,910,1275,833,504,986
"2493669",590,1402,1229,150,578,728,1049,1315,717,710,1185
"2654248",497,1391,977,141,621,613,863,1234,750,491,1209
"2493677",504,1076,858,122,517,522,748,1060,660,435,878
"2493679",379,899,829,83,406,412,604,920,469,349,905
"2493678",360,836,724,77,383,355,575,749,476,311,826
"2493671",350,831,1027,77,324,379,663,690,410,669,816
"2654249",267,804,484,70,384,254,450,935,347,212,692
"2483404",341,783,665,73,348,384,594,738,417,373,783
"2493681",300,773,625,59,346,356,532,686,386,307,660
"2744523",420,771,538,82,361,415,542,788,480,265,562
"2744516",329,718,656,84,333,347,472,679,408,285,682
"1854057",273,701,418,74,278,373,412,487,372,263,445
"2744522",345,670,439,81,334,268,417,796,371,215,544
"2483403",243,568,459,48,216,255,409,483,300,226,547
"2744517",249,538,462,45,212,253,396,472,262,259,493
"2493674",189,438,570,40,188,243,391,375,242,336,395
"2493670",167,397,539,48,174,210,345,346,213,279,381
"2744515",77,193,149,23,88,83,117,179,86,64,131
"278153",78,147,91,23,75,87,122,176,113,63,144
"2744520",45,107,82,17,46,39,69,82,37,51,78
"2744519",56,100,38,4,34,77,60,64,54,37,30
"2483402",19,73,54,5,34,35,43,67,47,26,65
"1670800",1164,2876,1960,257,1500,1110,1659,2821,1564,865,2857
"1082933",567,1432,1062,125,651,608,949,1338,757,477,1184
"935548",328,789,644,73,343,339,522,746,481,296,698
"935546",41,107,77,15,62,62,84,96,59,62,106
"682633",320,717,350,77,291,353,466,568,412,236,519
"278148",98,186,188,27,70,97,172,159,113,93,179
"754035",428,1062,792,105,450,503,713,917,575,399,969
"536019",402,1016,920,83,467,441,696,903,530,397,866
"1777866",334,809,687,71,344,376,563,805,423,333,673
"763057",39,78,57,7,36,45,96,69,43,34,93
"266835",71,209,144,19,81,76,121,160,82,124,147
"2725666",40,93,60,8,32,40,55,53,44,30,70
"2774562",163,2408,275,56,191,191,271,469,194,120,302
"374606",780,2241,1351,210,924,757,1216,2293,977,575,1753
"2666139",72,510,144,26,107,98,142,683,91,64,191
"83263",118,723,174,27,106,124,166,306,175,90,181
"266779",959,6197,1345,2602,689,4604,993,1146,4962,804,8303
"2599600",1105,2386,1842,231,1238,1039,1690,2276,1313,795,2413
"1756988",471,1180,907,85,618,483,830,1076,663,396,1288
"1852022",973,1781,1598,157,818,936,1509,1364,1169,828,1575
"1620421",409,837,681,73,346,404,610,609,521,308,627
"411684",348,765,614,66,315,330,511,553,418,258,621
"2742145",603,1370,1104,100,676,582,945,973,761,483,1220
"1867719",375,839,654,76,389,459,637,626,498,291,681
"2718938",191,496,344,29,201,218,327,348,233,169,363
"2712698",252,538,478,48,232,255,436,395,253,196,510
"2305987",19,43,31,4,22,19,30,22,23,22,46
"2613769",4655,10462,11020,1207,5956,4923,8082,8784,5795,4400,8185
"384",2437,5446,4685,579,2470,2863,3993,3419,3079,2356,3599
"29449",695,2081,1421,304,1056,813,1126,1043,895,669,1013
"348824",485,1151,986,107,494,490,807,670,623,461,705
"396",384,1086,732,121,378,404,646,491,441,412,631
"1312183",449,1004,1006,101,498,519,789,645,561,495,820
"379684",471,921,1245,115,701,538,812,857,621,371,963
"1138189",361,722,680,101,417,391,600,501,426,297,501
"56730",374,717,631,84,371,456,530,463,498,286,407
"1138194",338,676,602,89,322,292,498,393,352,246,467
"293958",321,666,668,56,318,330,479,476,385,281,506
"1138190",251,660,468,86,263,265,400,330,297,243,365
"398",237,615,856,55,339,288,465,481,373,290,501
"1368430",261,584,566,52,495,272,442,669,327,209,487
"451876",226,548,591,52,540,247,372,2828,274,187,1261
"240521",241,494,545,72,353,254,434,511,337,223,427
"2583231",184,401,313,40,176,186,268,212,207,161,266
"1335061",255,368,518,42,491,234,330,567,355,157,702
"1538158",147,365,309,47,135,160,212,206,162,130,211
"2267833",165,333,356,36,199,146,231,340,225,134,293
"648995",127,242,245,74,214,134,209,248,128,109,609
"1538159",44,108,125,12,57,43,93,72,77,52,93
"2081791",40,101,77,12,47,43,56,58,48,39,56
"448181",0,3,8,2,7,4,5,15,5,4,15
"1183400",1439,3249,3391,1451,1921,1626,2648,3181,1863,1341,2590
"373",603,1138,1140,116,638,577,916,874,648,443,894
"2632611",532,1010,1062,129,767,506,873,1221,721,463,906
"359",272,684,553,85,293,282,426,439,318,238,432
"28099",166,416,445,60,274,240,392,314,258,170,440
"160699",188,383,399,50,273,202,338,321,241,175,374
"1183412",3,1,5,0,9,0,3,7,2,0,5
"399",980,2125,5342,340,2395,1151,2335,1848,1229,1017,1843
"2629175",811,1701,2892,263,1619,869,1880,1528,1160,803,1822
"1125847",67,160,180,8,131,75,114,298,94,64,144
"663276",3169,6087,4750,922,3636,3232,5142,3456,3567,2065,3410
"382",4769,4028,6081,2118,48209,4244,7539,16814,6561,2964,4442
"2613772",1347,2787,2440,359,1514,1290,1998,3625,1580,1001,2445
"194963",839,2681,1211,679,1054,798,1232,965,1144,558,994
"110321",738,1140,1176,166,2094,623,1215,1280,767,483,970
"106592",1425,4501,2354,626,1543,1358,2051,2084,1538,999,1934
"375549",1025,1655,1787,155,1551,1101,1685,1279,1234,795,1312
"2633371",626,1308,1042,148,518,531,846,815,655,416,857
"1752398",745,1141,1239,124,786,883,1181,996,827,518,885
"716925",734,1031,1066,102,720,832,1047,825,764,472,931
"879274",1050,2375,2220,239,1296,932,1610,13010,1145,773,2219
"2715959",824,1698,1678,191,952,833,1438,3405,948,724,2003
"2795690",1418,3237,2916,240,1240,1436,2322,2040,1760,1315,2346
"2341112",602,1366,1094,123,637,631,1033,997,745,450,1329
"1969821",586,1144,1187,113,741,596,1013,1007,827,532,1092
"1273132",9,26,9,1,6,9,14,11,8,4,17
"1174529",0,1,0,0,0,3,3,0,1,0,0
"658172",4,10,7,0,3,2,6,2,5,3,3
"34020",16,7,11,3,34,2,39,25,3,4,13
"1261131",2,7,6,1,7,1,5,2,0,0,10
"426117",1852,3668,3002,399,1780,2531,3214,1905,2740,2192,2501
"2202828",1071,2180,1885,212,949,1332,1997,1138,1525,1215,1598
"2603276",788,1551,1321,181,715,996,1393,843,1052,843,1092
"2202826",789,1549,1308,177,728,1049,1461,735,1183,921,1035
"925818",319,742,559,76,285,413,660,335,434,335,514
"2067957",247,463,428,77,250,345,475,294,351,238,393
"1479019",142,297,236,44,120,208,299,164,269,170,232
"739141",60,113,100,13,59,79,128,75,99,86,100
"2696060",0,1,1,0,0,1,0,0,0,0,0
"460265",1639,3457,2801,365,1542,2243,3064,1597,2417,8641,2395
"270351",1551,3235,2686,332,1401,2116,2802,1706,2192,1734,2057
"2202825",1325,2511,2001,293,1176,1603,2192,1324,1842,1341,1760
"2051553",824,1707,1371,168,742,1109,1492,804,1153,953,1108
"2202827",832,1626,1393,175,688,1065,1536,900,1180,925,1077
"908290",867,1590,1416,188,767,1082,1516,858,1202,966,1149
"269660",775,1443,1343,163,698,973,1334,806,1092,881,1127
"1775910",736,1424,1077,158,619,939,1206,973,970,770,974
"426355",203,331,321,87,165,258,315,193,245,214,310
"418223",134,256,203,31,97,140,200,107,147,130,144
"693986",49,77,78,5,41,43,68,38,58,51,51
"2807101",3874,5813,5073,2117,9550,7285,9068,2647,6901,3957,2384
"2082949",1352,2311,2873,528,2697,1897,3147,1410,1977,1855,1571
"1882682",3518,6226,4571,2081,7527,5270,7565,2649,5545,3948,2362
"2651334",1831,3209,2894,513,3283,2351,3508,1635,2532,2129,1936
"441620",234,433,368,53,188,271,386,227,302,290,469
"272630",376,685,630,223,311,402,631,387,554,416,523
"440085",127,274,208,68,113,190,250,145,226,137,202
"419610",141,198,173,77,116,148,238,122,165,106,148
"29429",23,67,54,10,27,29,57,30,58,36,43
"674703",5497,22740,29461,917,3278,4974,7909,6016,6648,7544,8725
"444923",5,6,5,1,5,7,5,4,7,3,7
"1736675",1605,3923,4153,962,3524,1587,3013,6300,1895,1289,4373
"2801335",554,1192,1104,297,1547,554,960,3895,739,415,1919
"2657486",548,1156,1095,158,1035,619,1013,2281,743,510,1807
"2499144",526,978,896,94,764,497,922,1283,618,337,1271
"2083786",422,963,784,115,808,391,668,1764,557,280,1770
"2774137",454,928,961,146,841,406,835,1547,623,405,1643
"2664417",300,506,580,64,391,265,506,628,343,220,647
"2759954",211,426,390,42,245,195,340,506,260,164,550
"400770",735,1409,1336,229,1284,720,1162,5549,922,516,2886
"582899",652,1699,1168,98,475,615,977,1105,703,572,856
"670307",636,1361,1105,114,453,579,1171,795,609,591,936
"1029756",1144,3132,1803,196,815,971,1235,1455,1158,676,1325
"717785",614,1662,1940,92,441,554,871,713,686,486,830
"2233851",1305,3009,2515,198,1034,1309,2064,1492,1574,1165,1918
"1079",1204,2632,2076,165,894,1155,1820,1216,1382,1083,1638
"1384459",637,1368,1019,77,448,544,821,776,674,464,813
"2170729",614,1320,1000,79,377,501,730,760,677,437,753
"2742204",976,2012,1462,127,662,886,1170,1163,1036,698,1221
"2820278",878,2002,1725,157,798,981,1555,1116,1165,935,1360
"648757",724,1523,1223,131,577,709,1018,791,856,568,1039
"1447062",789,1386,1667,168,1142,803,1464,1834,885,692,2030
"1082931",0,1,0,0,1,0,0,0,0,0,1
"1608628",303,754,527,54,279,317,420,631,380,244,387
"1219035",284,551,588,44,289,246,478,360,401,300,557
"1335043",293,522,661,59,403,280,540,743,349,254,701
"454601",83,178,169,16,66,92,125,98,91,89,137
"331696",2391,7823,11560,395,1852,2438,6267,3509,2960,3263,6320
"2562284",1829,5897,19402,318,1445,1808,3970,8838,2300,3284,5359
"2709380",1467,3731,3010,391,1165,1769,2505,1888,2012,1399,2244
"639283",1448,3675,2722,261,1321,1434,2263,4484,2048,1286,2023
"1850374",1049,2384,1896,203,878,1192,1731,1389,1410,1005,1651
"1745854",837,1825,1504,151,670,936,1415,1050,1112,762,1269
"2528964",1517,3436,2873,267,1244,1690,2564,1775,2049,1361,2109
"438753",1086,2443,2076,180,987,1258,1839,1348,1449,1018,1631
"2789216",1120,2386,2299,196,964,1190,1983,1319,1407,1043,1704
"2712222",2828,7105,4135,389,1187,2104,2916,3534,2407,1982,2633
"1235591",2350,6772,4616,332,1554,1785,2952,4704,2795,1519,3185
"1482074",1052,2216,1846,160,965,1083,1573,1423,1366,924,1699
"573658",23,19,20,4,18,11,33,31,23,11,19
"134",666,1471,1267,101,542,736,1139,866,868,720,1048
"173366",732,1463,1228,154,583,719,1100,739,921,706,1058
"655015",727,1432,1224,78,519,726,1135,729,840,679,1024
"391905",716,1304,1154,100,420,732,1093,712,914,614,923
"187303",416,820,768,59,329,422,716,444,568,406,654
"595536",1003,1946,1779,153,666,927,1504,1008,1145,894,1325
"2699395",745,1555,1343,108,640,797,1290,808,942,757,1127
"1349819",915,1831,1631,171,794,949,1546,1249,1200,839,1617
"2758041",826,1467,1396,143,720,770,1231,1182,975,647,1341
"2816454",680,1351,1145,115,588,676,1052,957,867,551,1099
"1638161",3,4,6,0,1,2,7,2,6,4,5
"1701758",830,1627,1419,150,788,874,1275,1107,1012,814,1447
"686597",238,499,465,59,284,264,412,366,342,215,501
"1122214",467,951,877,79,487,523,779,626,626,434,827
"1486262",442,915,789,70,429,453,708,620,522,375,777
"2583532",253,503,477,49,280,284,481,359,302,207,450
"538381",1293,2623,2310,229,1140,1264,2027,1754,1716,1125,2129
"1881061",735,1541,1137,96,589,711,1037,916,872,558,1223
"2021862",420,900,703,70,354,354,625,496,479,342,586
"2590016",186,380,326,30,134,212,279,204,254,176,300
"2587861",184,370,283,32,165,150,304,217,207,138,275
"2587854",52,94,82,16,44,61,83,59,68,46,84
"1674922",27,66,70,9,33,46,45,54,51,44,57
"244592",203,454,326,32,168,194,292,289,268,167,342
"187304",66,112,76,14,37,58,86,84,70,58,77
"1402210",139,284,256,51,150,143,214,214,201,134,299
"911045",110,257,188,14,115,105,166,163,136,115,169
"1702325",1560,2763,2404,238,1241,1493,2337,1650,2386,1335,3065
"444444",846,1598,1323,139,720,856,1204,928,1211,669,1444
"395965",669,1382,1201,100,489,666,1028,801,795,688,955
"227605",562,1235,1090,94,486,618,940,615,698,550,881
"569860",623,1378,1127,79,436,560,938,604,707,532,962
"31994",316,662,534,45,272,336,598,332,404,311,518
"402881",859,1539,1471,112,595,712,1382,894,963,695,1182
"1712261",606,1060,993,84,395,522,866,665,691,482,802
"1458461",287,494,455,25,183,268,326,266,325,232,379
"94625",383,505,505,57,246,318,448,796,390,326,835
"2632610",136,303,268,35,144,177,276,278,158,121,268
"271865",107,224,219,44,115,100,188,214,147,89,215
"529",76,165,173,18,140,87,109,474,121,80,159
"419475",52,95,92,419,46,39,80,65,66,50,123
"571256",61,90,79,515,56,68,74,68,65,33,105
"1218315",8,31,18,6,8,4,12,61,11,18,8
"29459",22,22,21,2,5,17,18,12,23,12,12
"235",2,10,4,0,2,3,7,6,0,6,3
"236",6,6,3,2,6,6,6,2,4,0,4
"29461",7,4,4,0,2,15,6,3,11,5,7
"120577",2,4,1,0,0,2,1,5,2,0,2
"36855",0,1,0,1,1,0,0,0,1,0,0
"120576",1,1,3,0,2,1,1,1,1,2,0
"444163",0,1,1,0,0,1,0,1,1,0,0
"239106",45,90,92,9,38,42,56,97,73,39,63
"2304600",1036,2218,1781,171,798,1045,1548,1313,1159,831,1558
"1798205",214,416,371,27,189,232,330,244,268,173,321
"2528642",598,1355,1208,85,527,730,1032,740,902,613,967
"1686310",64,118,130,12,48,54,108,129,68,57,95
"2759660",9,25,26,1,9,13,24,15,16,11,29
"515256",1,6,1,0,0,0,4,1,1,2,0
"1933904",5,6,5,2,4,3,2,3,3,4,1
"1933910",0,1,0,0,0,0,0,0,0,0,0
"40933",6,3,7,0,0,1,3,1,2,0,2
"2267275",4,15,8,0,4,6,6,10,5,3,5
"1094489",8,15,25,1,7,12,14,4,10,10,10
"52764",1,12,11,2,4,4,3,10,3,3,5
"634504",4,11,3,1,4,13,6,4,4,3,4
"1225179",1,1,2,0,0,0,0,0,0,1,0
"687861",7,10,7,0,0,2,8,5,9,4,10
"774",4,10,15,2,4,5,6,13,7,2,5
"1095900",2,7,4,0,2,4,7,4,0,4,1
"1318743",2,7,8,1,5,10,10,7,5,5,14
"1094491",2,6,7,2,1,6,4,4,4,5,4
"38323",0,6,3,0,0,5,12,2,1,4,7
"85701",6,4,8,0,0,2,11,3,3,3,3
"696125",1,3,0,0,0,0,7,1,5,2,5
"2133959",0,3,3,0,0,1,2,3,1,1,0
"807",2,1,3,0,1,2,7,1,1,1,3
"2764186",4154,2401,6315,587,2920,3045,8933,5284,7384,3816,9389
"2714944",3909,2318,5628,606,2799,3066,9171,4842,7033,4184,8077
"2681549",1855,2161,2986,292,1727,1824,3293,2243,3092,1672,3049
"2714942",2808,2093,3195,559,1823,2212,5446,3239,5018,2146,3785
"2714943",2975,1941,3996,520,2207,2321,6482,3516,5280,3167,5170
"2653203",1483,1859,2592,241,1265,1327,2870,1881,2348,1483,2586
"745310",1526,1660,2572,220,1434,1368,2696,2004,2303,1421,2311
"1327635",1397,1543,3048,221,1184,1147,2635,1919,1963,1541,2398
"2735134",1256,1494,2041,189,1088,1146,2368,1405,1888,1162,2117
"2698679",1338,1494,2563,205,1101,1167,2656,1718,2212,1441,2276
"1938607",1190,1436,2756,211,1163,1018,2466,1791,1706,1365,2327
"2492837",1149,1412,1846,161,1107,1051,2028,1527,1768,1089,1701
"2596913",1188,1409,1966,199,937,1106,2246,1338,1849,1175,1995
"2711156",1008,1330,1746,178,952,983,1782,1302,1584,957,1685
"1523415",942,1330,1987,173,842,944,2096,1231,1493,1091,1884
"2219696",1025,1236,1758,165,881,919,2002,1248,1458,1057,1738
"2599297",965,1227,1863,149,898,888,1887,1256,1558,900,2270
"2565555",784,984,1383,116,692,823,1430,934,1238,817,1321
"1030157",735,941,1206,138,668,646,1259,922,1172,690,1114
"2759526",788,935,1318,130,622,690,1445,861,1182,716,1374
"1517554",749,900,1294,125,626,710,1392,881,1091,765,1221
"1390395",701,821,1145,109,595,584,1270,840,1013,573,1035
"1517551",704,808,1165,108,559,579,1263,728,960,612,1093
"1961362",385,510,720,57,339,354,776,466,585,411,704
"2319844",359,439,557,46,292,283,650,413,513,324,583
"304378",145,349,265,41,239,137,237,196,208,167,260
"1628059",15,25,33,5,21,23,28,16,26,32,50
"849864",1,14,1,0,0,0,0,5,0,3,4
"1381597",4,13,5,1,46,4,5,69,2,11,6
"28214",1,2,3,1,2,1,0,0,2,1,0
"90322",0,2,2,0,0,0,0,0,0,0,0
"386874",5618,6649,8759,1139,3793,7375,20113,5587,10366,5825,10466
"1176646",5167,3351,7921,1023,3564,5589,17223,5399,9494,5114,9069
"1045317",5676,3152,8057,873,3528,4654,13255,5877,10617,7107,9597
"363835",4221,2893,5630,677,3016,3386,8837,4855,8037,4093,6829
"2071607",4038,2710,4155,576,2452,2927,6633,4305,6801,2826,4599
"2594473",3744,2539,3179,494,1861,2750,5351,3829,6601,2016,3337
"392499",347,380,527,59,263,304,563,428,449,301,440
"653931",1697,2216,3251,293,1477,1598,3269,2233,2691,1797,2898
"1123269",1578,2110,2907,328,1517,1578,2960,2090,2633,1600,2570
"93064",1380,1586,2333,254,1166,1114,2391,1779,2017,1179,3185
"1609977",1066,1453,2659,166,1000,1009,2279,1425,1683,1288,2087
"1549858",1108,1423,2157,198,956,1031,2105,1392,1814,1209,1830
"1560345",1018,1385,1908,171,961,971,1979,1347,1550,1073,1838
"1813879",1006,1197,1919,132,779,885,1935,1223,1470,1093,1739
"424800",777,1037,1296,137,679,777,1516,968,1142,740,1317
"13689",737,1035,1336,114,664,680,1349,901,1079,827,1266
"621456",30,57,54,1,35,23,59,36,53,26,41
"2698828",439,575,656,62,379,385,827,511,668,371,710
"2789327",2683,2856,2336,606,3464,1402,1935,9845,1384,1816,4784
"627192",886,1355,1825,189,873,850,1743,1275,1422,869,1552
"1315974",672,759,905,242,757,583,954,1089,833,607,1081
"2676077",527,740,856,164,452,508,934,898,745,488,914
"2082188",448,738,829,170,536,417,888,850,747,533,875
"1843368",436,695,746,149,388,405,717,763,626,428,789
"1855519",703,695,986,683,584,569,962,1427,723,727,1382
"2072936",521,666,880,121,503,448,1027,748,764,529,810
"2733867",407,646,599,117,359,314,677,652,572,402,704
"407020",424,501,593,276,316,369,668,799,515,491,782
"2565554",118,194,219,31,95,110,229,161,137,122,214
"484429",101,101,172,14,81,65,133,120,82,337,163
"520734",85,91,125,15,94,67,100,227,87,90,203
"2185111",14,16,24,1,14,9,15,11,6,12,13
"13690",1066,1688,1595,287,1101,1039,1535,1505,1445,918,1655
"135719",533,808,960,123,528,514,946,879,885,541,1031
"120107",582,756,1005,164,532,480,932,929,807,580,1005
"690566",526,682,776,190,410,450,836,849,720,491,842
"1673076",469,628,771,106,429,438,744,717,625,462,765
"452662",485,614,732,127,420,404,847,737,663,430,823
"1332080",445,580,749,146,390,399,836,800,618,500,889
"76947",528,522,703,364,405,384,645,1030,558,566,988
"1208342",112,120,139,19,92,109,140,132,154,175,159
"1054037",107,97,197,49,95,104,171,128,105,265,146
"861109",5,9,15,4,9,7,9,19,19,11,22
"56193",4,4,4,1,6,9,3,5,3,8,5
"595605",0,1,1,0,0,3,1,0,0,1,0
"1357916",871,1708,1395,320,815,782,1614,1538,1313,759,1453
"1874061",641,1490,916,131,459,505,919,970,876,487,970
"2486273",813,1261,1304,335,636,737,1368,1175,1159,719,1172
"2565556",999,1027,1303,303,607,683,1238,6018,1118,627,1775
"292913",749,965,1145,130,614,688,1363,2015,1076,703,1181
"1914525",812,914,975,146,594,532,1058,1195,896,616,1115
"1866325",60,94,83,18,69,55,105,213,53,51,159
"1913578",38,49,57,6,14,41,56,54,42,37,59
"33050",1504,2064,2134,353,1450,1274,2344,2270,1991,1237,2230
"2448440",721,1206,1059,121,1506,580,1162,1197,970,639,1216
"2054227",746,1006,1173,165,602,648,1281,1247,1083,625,1215
"1515612",710,876,1008,208,536,556,1072,1208,908,593,1112
"317655",628,766,888,117,506,486,1002,1095,877,512,949
"267128",347,505,639,76,342,311,734,601,539,416,677
"2675225",1222,2337,2039,249,1082,1021,1941,1376,1839,1060,1978
"2571749",896,1841,1704,136,986,761,1416,1155,1176,833,1551
"1609758",788,1538,1319,166,681,694,1308,852,932,765,1283
"1016987",466,1067,991,213,1702,471,892,1460,696,527,911
"2780074",477,1015,1150,170,3724,451,874,719,772,489,934
"702113",358,607,550,76,710,292,540,695,488,471,503
"164608",221,438,342,36,278,174,346,224,269,203,312
"158500",1007,2304,1722,468,1003,934,1569,1322,1359,1102,1674
"279238",803,1438,2112,153,894,697,1477,1010,1143,822,1409
"1176536",607,1298,1067,107,617,493,1076,692,928,527,992
"1088721",342,681,550,53,391,292,457,372,389,358,524
"2762748",1212,1467,2286,191,1091,1104,2350,1565,1917,1257,2374
"2711215",830,1122,1517,133,731,673,1567,1124,1236,795,1634
"941907",2801,2353,4125,490,3004,2321,4329,3989,5129,2177,4398
"2584094",338,484,528,54,276,330,605,355,508,315,532
"2077182",394,425,601,53,315,285,566,462,507,276,585
"1806885",309,381,444,41,209,243,437,324,421,235,441
"2725558",109,177,173,33,78,88,179,152,159,95,184
"392610",244,307,362,41,307,187,396,273,313,179,345
"2026624",1094,1317,1734,173,986,1011,1965,1373,1646,894,1757
"2724527",319,419,481,51,263,305,582,385,461,304,488
"1850238",1285,1680,2138,194,1100,1118,2269,1547,1897,1072,1875
"1842535",210,362,420,53,283,223,399,309,342,201,366
"1550728",206,239,336,19,407,203,360,262,296,161,329
"1921510",827,1040,1356,124,722,666,1567,1125,1218,817,1377
