"","X0n7bM2TOMPOOA100365.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"2493675",1454,852,4351,693,586,766,503,650,984,1197,582
"2744518",1453,853,5048,756,640,818,537,687,982,1286,714
"2744521",1438,946,4039,671,573,835,504,788,792,986,453
"2493669",1402,898,4857,646,709,796,710,640,1052,1185,888
"2654248",1391,798,5794,736,570,782,491,631,946,1209,591
"2493677",1076,696,3471,524,539,654,435,548,693,878,415
"2493679",899,578,3481,499,419,542,349,429,653,905,458
"2493678",836,513,3592,437,431,512,311,402,583,826,454
"2493671",831,491,2864,397,692,440,669,362,654,816,1433
"2654249",804,435,3333,568,274,392,212,322,421,692,322
"2483404",783,526,3032,388,440,518,373,372,574,783,352
"2493681",773,475,2825,343,327,433,307,345,461,660,317
"2744523",771,422,2533,376,316,527,265,446,442,562,263
"2744516",718,410,2459,353,380,456,285,327,491,682,315
"1854057",701,476,1765,265,244,373,263,340,337,445,213
"2744522",670,405,2310,407,251,423,215,298,464,544,252
"2483403",568,321,2274,260,221,330,226,216,376,547,258
"2744517",538,324,1741,238,288,321,259,259,380,493,264
"2493674",438,250,1376,200,337,257,336,228,335,395,652
"2493670",397,269,1412,199,329,237,279,182,343,381,664
"2744515",193,115,635,81,82,112,64,90,89,131,76
"278153",147,118,519,104,80,95,63,100,118,144,83
"2744520",107,62,407,39,59,58,51,41,79,78,40
"2744519",100,69,224,19,30,69,37,45,33,30,29
"2483402",73,45,174,32,33,48,26,33,36,65,20
"1670800",2876,1629,9483,1720,1128,1706,865,1428,1881,2857,1122
"1082933",1432,842,5334,664,626,833,477,633,936,1184,575
"935548",789,506,2847,398,372,479,296,347,535,698,309
"935546",107,56,334,33,64,61,62,45,72,106,42
"682633",717,470,1440,264,245,452,236,352,330,519,220
"278148",186,100,657,80,91,148,93,96,126,179,88
"754035",1062,630,3559,515,452,621,399,445,731,969,448
"536019",1016,552,3513,504,572,607,397,476,718,866,463
"1777866",809,465,3031,469,396,511,333,347,587,673,383
"763057",78,56,315,53,42,51,34,56,71,93,45
"266835",209,125,628,91,114,119,124,100,128,147,89
"2725666",93,66,860,37,46,49,30,26,53,70,34
"2774562",2408,912,4500,298,158,244,120,184,210,302,118
"374606",2241,1249,21367,1357,744,1093,575,891,1160,1753,693
"2666139",510,284,1926,260,90,127,64,102,221,191,103
"83263",723,374,2260,160,111,161,90,123,118,181,70
"266779",6197,2603,4396,720,1004,1571,804,2893,2292,8303,839
"2599600",2386,1395,7210,1347,1013,1492,795,1204,1566,2413,995
"1756988",1180,705,4065,662,541,697,396,558,793,1288,450
"1852022",1781,1156,3716,625,973,1352,828,970,1297,1575,699
"1620421",837,528,2102,304,419,521,308,467,570,627,247
"411684",765,495,2002,320,387,485,258,402,457,621,250
"2742145",1370,814,2968,564,725,918,483,680,877,1220,495
"1867719",839,585,2480,350,387,480,291,389,483,681,305
"2718938",496,333,1411,163,230,281,169,194,274,363,163
"2712698",538,404,1138,180,323,355,196,294,379,510,171
"2305987",43,44,79,9,23,38,22,21,25,46,15
"2613769",10462,6803,40086,6170,5893,6819,4400,5112,6100,8185,4236
"384",5446,3422,13769,1919,2804,3652,2356,2678,3013,3599,1883
"29449",2081,1392,3886,724,869,1030,669,738,887,1013,674
"348824",1151,703,2656,443,572,667,461,521,556,705,352
"396",1086,617,2401,354,528,612,412,395,512,631,343
"1312183",1004,636,2622,391,728,610,495,494,633,820,416
"379684",921,614,4533,751,560,639,371,527,662,963,375
"1138189",722,482,2065,315,392,508,297,349,442,501,403
"56730",717,512,1618,274,326,476,286,457,388,407,238
"1138194",676,467,1573,263,334,463,246,343,376,467,299
"293958",666,475,2110,305,386,401,281,277,432,506,209
"1138190",660,358,1406,216,334,366,243,271,299,365,248
"398",615,380,2131,295,357,401,290,322,358,501,234
"1368430",584,367,3850,357,287,397,209,281,357,487,227
"451876",548,326,0,357,249,322,187,243,564,1261,760
"240521",494,318,2669,319,280,384,223,262,337,427,205
"2583231",401,241,800,132,215,264,161,170,203,266,123
"1335061",368,238,2041,1032,235,360,157,251,243,702,187
"1538158",365,199,882,124,157,220,130,196,161,211,127
"2267833",333,238,1351,199,164,221,134,160,218,293,127
"648995",242,183,1458,236,144,185,109,128,340,609,251
"1538159",108,78,378,50,68,89,52,45,79,93,52
"2081791",101,58,195,27,36,40,39,41,50,56,25
"448181",3,3,221,25,0,5,4,9,2,15,6
"1183400",3249,2116,26597,1815,1612,2506,1341,1539,1884,2590,1209
"373",1138,848,4166,603,562,784,443,554,710,894,380
"2632611",1010,590,7914,625,571,726,463,519,660,906,309
"359",684,348,2214,285,291,378,238,277,352,432,181
"28099",416,284,1499,256,241,295,170,238,290,440,149
"160699",383,248,1636,310,211,263,175,220,224,374,159
"1183412",1,1,103,6,1,3,0,4,3,5,7
"399",2125,1395,37853,1765,1533,1485,1017,1119,1403,1843,1091
"2629175",1701,1010,6961,2703,1088,1159,803,997,1134,1822,745
"1125847",160,84,1078,382,91,96,64,86,101,144,64
"663276",6087,3747,11563,2443,2641,3882,2065,3061,2779,3410,2034
"382",4028,2519,28478,0,2431,7639,2964,5434,3758,4442,5061
"2613772",2787,1716,16763,3462,1336,1800,1001,1341,1556,2445,984
"194963",2681,2355,3252,634,724,1073,558,889,707,994,537
"110321",1140,695,4102,1496,629,1065,483,678,754,970,559
"106592",4501,3392,8068,1570,1378,2251,999,1263,1476,1934,907
"375549",1655,1104,4250,825,1055,1299,795,1123,997,1312,707
"2633371",1308,1253,3450,1182,588,1004,416,531,637,857,356
"1752398",1141,812,3358,565,645,969,518,694,793,885,488
"716925",1031,659,2714,608,595,841,472,727,723,931,451
"879274",2375,1330,65723,5511,979,1519,773,1054,1221,2219,769
"2715959",1698,1098,17656,5723,891,1150,724,871,1133,2003,621
"2795690",3237,2064,6538,1305,1693,2037,1315,1531,1756,2346,1050
"2341112",1366,834,3790,668,674,809,450,682,850,1329,470
"1969821",1144,751,4186,631,718,806,532,703,725,1092,419
"1273132",26,9,30,3,15,5,4,3,10,17,8
"1174529",1,3,0,0,0,1,0,2,0,0,0
"658172",10,2,9,1,4,5,3,104,3,3,1
"34020",7,5,67,2,11,20,4,9,2,13,5
"1261131",7,8,12,0,3,6,0,1,5,10,2
"426117",3668,2689,3637,635,2274,2757,2192,2274,2499,2501,1105
"2202828",2180,1504,2413,417,1268,1569,1215,1297,1533,1598,656
"2603276",1551,1051,1847,292,918,1157,843,919,1088,1092,468
"2202826",1549,1055,1781,268,941,1201,921,962,988,1035,463
"925818",742,481,813,131,368,491,335,372,440,514,209
"2067957",463,364,497,109,281,393,238,298,305,393,158
"1479019",297,207,315,36,197,227,170,170,202,232,89
"739141",113,88,147,24,77,87,86,65,78,100,44
"2696060",1,0,0,0,2,0,0,0,0,0,0
"460265",3457,2544,3477,606,2434,2417,8641,2035,2677,2395,930
"270351",3235,2307,3574,613,1866,2320,1734,1740,2102,2057,899
"2202825",2511,1766,2657,487,1407,1839,1341,1544,1609,1760,787
"2051553",1707,1114,1763,284,956,1397,953,1013,1110,1108,520
"2202827",1626,1023,1697,298,986,1362,925,969,1175,1077,520
"908290",1590,1153,2005,313,956,1239,966,959,1035,1149,484
"269660",1443,1072,2066,292,882,1151,881,894,1017,1127,467
"1775910",1424,918,1547,270,814,1035,770,785,948,974,388
"426355",331,254,422,54,225,288,214,184,267,310,114
"418223",256,162,311,30,153,192,130,124,141,144,50
"693986",77,60,89,15,70,58,51,42,52,51,15
"2807101",5813,6697,10233,3359,2642,5210,3957,5957,2840,2384,1534
"2082949",2311,1977,4867,2314,1440,1807,1855,1862,2092,1571,920
"1882682",6226,6605,8961,2716,2664,4641,3948,4758,3025,2362,1472
"2651334",3209,2542,5143,1414,1811,2418,2129,2084,2165,1936,1081
"441620",433,293,800,129,277,328,290,229,351,469,140
"272630",685,518,1097,136,406,555,416,423,428,523,231
"440085",274,205,311,66,140,186,137,161,183,202,56
"419610",198,162,265,45,144,200,106,124,133,148,73
"29429",67,40,81,12,39,38,36,48,36,43,19
"674703",22740,14259,9916,1025,11716,8036,7544,5728,10221,8725,6340
"444923",6,5,3,2,4,11,3,2,5,7,3
"1736675",3923,2416,46960,3176,1718,2125,1289,1637,2212,4373,2901
"2801335",1192,844,12191,2048,552,781,415,688,794,1919,883
"2657486",1156,787,9890,1769,641,744,510,566,799,1807,700
"2499144",978,588,5117,989,521,720,337,577,725,1271,545
"2083786",963,523,13009,1865,432,599,280,434,545,1770,527
"2774137",928,548,7538,1548,492,653,405,487,726,1643,584
"2664417",506,318,2367,401,298,374,220,298,417,647,341
"2759954",426,264,2311,487,210,254,164,192,239,550,205
"400770",1409,826,32258,5256,651,1056,516,800,934,2886,1055
"582899",1699,1140,4235,334,819,1006,572,627,712,856,511
"670307",1361,907,2656,264,993,915,591,545,827,936,464
"1029756",3132,2277,8982,532,1201,1885,676,996,947,1325,650
"717785",1662,1055,2725,280,762,974,486,778,689,830,545
"2233851",3009,1955,3713,536,1606,1975,1165,1423,1662,1918,917
"1079",2632,1743,3089,453,1388,1641,1083,1290,1368,1638,780
"1384459",1368,831,2191,372,772,917,464,648,579,813,378
"2170729",1320,723,2318,373,651,907,437,585,584,753,348
"2742204",2012,1256,2830,548,1134,1350,698,967,1018,1221,543
"2820278",2002,1278,3422,411,1104,1278,935,980,1100,1360,677
"648757",1523,1065,2289,307,800,1013,568,654,836,1039,430
"1447062",1386,931,7159,1243,876,1109,692,830,1219,2030,1034
"1082931",1,0,0,0,0,0,0,0,0,1,0
"1608628",754,502,1520,310,357,451,244,354,312,387,178
"1219035",551,383,1355,174,324,431,300,304,400,557,263
"1335043",522,337,3037,559,312,398,254,250,451,701,363
"454601",178,135,382,59,103,160,89,86,85,137,73
"331696",7823,4933,12484,955,5047,3547,3263,2886,5400,6320,4927
"2562284",5897,3566,27059,1630,10738,2787,3284,2216,3695,5359,4933
"2709380",3731,2410,5473,698,1814,2165,1399,2343,1914,2244,1096
"639283",3675,1954,22514,1111,1597,2173,1286,1814,1631,2023,913
"1850374",2384,1512,4333,507,1228,1548,1005,1305,1322,1651,725
"1745854",1825,1196,3362,399,994,1293,762,956,1085,1269,610
"2528964",3436,2132,6960,646,1758,2281,1361,1727,1859,2109,948
"438753",2443,1630,3878,560,1353,1626,1018,1207,1375,1631,753
"2789216",2386,1638,4417,593,1323,1548,1043,1232,1381,1704,806
"2712222",7105,4473,49218,692,2773,4000,1982,2145,1918,2633,1410
"1235591",6772,3627,14226,1173,2463,3440,1519,2746,2455,3185,1683
"1482074",2216,1417,4113,575,1186,1502,924,1156,1338,1699,771
"573658",19,22,57,6,17,17,11,9,12,19,7
"134",1471,951,2167,294,861,1007,720,754,929,1048,547
"173366",1463,1084,2010,272,849,1020,706,752,867,1058,512
"655015",1432,1006,1834,290,862,988,679,772,950,1024,460
"391905",1304,922,1647,266,871,925,614,852,771,923,450
"187303",820,562,1208,179,544,603,406,432,623,654,285
"595536",1946,1164,2344,331,1116,1337,894,989,1189,1325,614
"2699395",1555,1021,1985,302,923,1189,757,793,1095,1127,518
"1349819",1831,1187,3748,646,1082,1375,839,1045,1275,1617,658
"2758041",1467,1018,3007,545,850,1126,647,877,1026,1341,521
"2816454",1351,944,2782,456,700,950,551,773,783,1099,444
"1638161",4,5,3,3,2,0,4,1,9,5,5
"1701758",1627,1008,3093,583,852,1209,814,848,1052,1447,533
"686597",499,315,1644,208,264,337,215,284,335,501,198
"1122214",951,590,2325,360,540,630,434,511,637,827,341
"1486262",915,629,2437,362,521,623,375,442,605,777,330
"2583532",503,300,1721,208,278,388,207,252,364,450,198
"538381",2623,1694,4688,771,1442,1961,1125,1458,1658,2129,818
"1881061",1541,1021,2515,438,798,1060,558,752,908,1223,463
"2021862",900,533,1509,243,461,553,342,433,456,586,247
"2590016",380,258,724,91,220,294,176,197,254,300,123
"2587861",370,289,655,106,185,230,138,203,224,275,103
"2587854",94,61,171,26,56,86,46,60,78,84,28
"1674922",66,57,207,18,48,53,44,42,30,57,29
"244592",454,297,883,144,211,261,167,182,271,342,142
"187304",112,79,227,30,54,89,58,58,51,77,39
"1402210",284,162,1340,165,136,197,134,139,173,299,138
"911045",257,162,448,57,137,164,115,99,127,169,78
"1702325",2763,1710,4809,757,1488,2005,1335,1531,1873,3065,895
"444444",1598,1064,2725,388,830,1171,669,880,910,1444,456
"395965",1382,934,2083,278,794,989,688,674,882,955,465
"227605",1235,826,1858,240,695,831,550,581,770,881,439
"569860",1378,886,1931,224,722,814,532,611,855,962,462
"31994",662,432,1101,155,376,453,311,385,405,518,235
"402881",1539,1080,2813,407,909,1227,695,895,989,1182,610
"1712261",1060,695,1625,245,604,756,482,577,655,802,382
"1458461",494,330,799,101,266,309,232,244,298,379,162
"94625",505,342,9555,1941,345,555,326,292,1234,835,529
"2632610",303,184,1480,150,163,226,121,164,260,268,132
"271865",224,165,882,116,131,168,89,113,140,215,90
"529",165,115,1585,423,95,146,80,88,108,159,68
"419475",95,71,384,52,62,86,50,74,63,123,28
"571256",90,54,321,47,47,96,33,81,44,105,44
"1218315",31,10,133,82,9,16,18,7,12,8,2
"29459",22,13,53,5,19,22,12,10,11,12,8
"235",10,2,6,0,7,1,6,2,2,3,0
"236",6,7,8,1,3,10,0,0,2,4,3
"29461",4,6,35,1,1,10,5,8,9,7,2
"120577",4,4,2,0,2,2,0,1,3,2,1
"36855",1,1,3,0,0,1,0,0,1,0,1
"120576",1,1,13,4,3,4,2,2,1,0,2
"444163",1,3,2,1,0,0,0,0,0,0,0
"239106",90,63,403,60,44,82,39,42,57,63,47
"2304600",2218,1374,3496,549,1205,1454,831,1103,1191,1558,615
"1798205",416,303,773,123,251,333,173,237,255,321,158
"2528642",1355,919,1923,267,845,962,613,688,829,967,404
"1686310",118,65,383,49,87,100,57,59,76,95,47
"2759660",25,15,100,9,12,28,11,14,21,29,7
"515256",6,6,3,0,1,2,2,0,2,0,0
"1933904",6,5,6,4,7,5,4,2,2,1,3
"1933910",1,0,0,0,0,0,0,0,0,0,0
"40933",3,5,12,1,2,3,0,0,0,2,0
"2267275",15,6,16,1,1,9,3,2,5,5,0
"1094489",15,15,28,6,13,14,10,7,6,10,4
"52764",12,6,8,1,2,5,3,1,0,5,3
"634504",11,5,26,0,7,10,3,4,8,4,2
"1225179",1,1,0,0,1,0,1,1,0,0,0
"687861",10,3,34,1,7,1,4,2,4,10,3
"774",10,10,28,2,6,6,2,2,5,5,3
"1095900",7,2,16,0,1,3,4,2,2,1,3
"1318743",7,7,25,5,4,5,5,4,9,14,1
"1094491",6,6,12,0,7,8,5,5,5,4,2
"38323",6,5,16,0,7,4,4,0,1,7,0
"85701",4,6,21,2,5,3,3,4,2,3,2
"696125",3,2,31,0,3,1,2,2,2,5,3
"2133959",3,1,16,0,2,3,1,2,2,0,1
"807",1,1,13,1,4,2,1,2,1,3,0
"2764186",2401,1938,3965,1161,5424,4129,3816,6006,11344,9389,4609
"2714944",2318,1816,3852,1134,4886,3998,4184,5669,9041,8077,4246
"2681549",2161,1524,4610,991,1896,2287,1672,2392,2566,3049,1532
"2714942",2093,1504,2549,747,2873,2929,2146,4174,3820,3785,2480
"2714943",1941,1446,3193,998,3424,3059,3167,4172,5427,5170,2964
"2653203",1859,1214,4572,816,1657,1811,1483,1834,2137,2586,1520
"745310",1660,1113,4278,925,1607,1787,1421,1803,2039,2311,1354
"1327635",1543,1041,3772,753,1636,1682,1541,1542,1865,2398,1535
"2735134",1494,1092,3120,554,1365,1625,1162,1413,1780,2117,1141
"2698679",1494,1072,3352,732,1565,1644,1441,1791,2177,2276,1358
"1938607",1436,1020,3185,679,1523,1510,1365,1272,1693,2327,1321
"2492837",1412,992,3228,561,1198,1436,1089,1394,1598,1701,1017
"2596913",1409,972,2887,528,1447,1458,1175,1402,1694,1995,1139
"2711156",1330,895,2956,591,1140,1329,957,1318,1489,1685,926
"1523415",1330,912,2775,455,1268,1253,1091,1226,1607,1884,1061
"2219696",1236,872,3453,449,1199,1273,1057,1230,1516,1738,1012
"2599297",1227,736,3130,599,1040,1309,900,1172,1322,2270,1068
"2565555",984,654,2032,391,954,964,817,988,1191,1321,682
"1030157",941,610,2808,418,743,893,690,910,1019,1114,709
"2759526",935,650,1989,393,874,949,716,934,1090,1374,736
"1517554",900,628,2043,363,841,931,765,854,1105,1221,712
"1390395",821,556,1940,337,729,884,573,807,872,1035,590
"1517551",808,578,1865,316,741,830,612,747,980,1093,667
"1961362",510,352,1342,204,473,477,411,485,602,704,337
"2319844",439,338,1046,173,374,417,324,395,492,583,315
"304378",349,210,659,112,162,199,167,168,190,260,128
"1628059",25,12,139,5,25,24,32,17,37,50,9
"849864",14,4,11,0,4,1,3,1,4,4,1
"1381597",13,22,125,9,4,6,11,3,5,6,129
"28214",2,0,22,0,1,1,1,2,2,0,1
"90322",2,2,1,0,0,0,0,0,1,0,0
"386874",6649,3430,7318,1884,8277,5853,5825,8252,10382,10466,8590
"1176646",3351,2696,6884,1652,7279,5319,5114,7414,9459,9069,6340
"1045317",3152,2511,4474,1356,6929,5840,7107,8108,11367,9597,5747
"363835",2893,2135,4444,1307,4719,4496,4093,6125,7176,6829,4116
"2071607",2710,1930,3533,1041,3550,4260,2826,5180,4674,4599,3102
"2594473",2539,1562,2500,868,2904,4071,2016,4998,3276,3337,2694
"392499",380,292,1471,131,300,432,301,317,408,440,262
"653931",2216,1592,5216,937,2060,2205,1797,1997,2558,2898,1599
"1123269",2110,1476,5205,884,1744,2043,1600,2089,2207,2570,1380
"93064",1586,966,4402,811,1374,2385,1179,1522,1780,3185,1666
"1609977",1453,1015,3376,541,1438,1489,1288,1297,1641,2087,1218
"1549858",1423,992,2904,499,1313,1362,1209,1368,1707,1830,1047
"1560345",1385,898,3224,518,1240,1298,1073,1213,1616,1838,1024
"1813879",1197,776,2721,466,1262,1225,1093,1206,1596,1739,989
"424800",1037,680,1897,340,848,948,740,925,1134,1317,773
"13689",1035,711,2844,412,811,932,827,882,1036,1266,710
"621456",57,42,236,13,43,56,26,31,45,41,12
"2698828",575,388,1241,207,461,484,371,527,577,710,370
"2789327",2856,1404,84773,1363,1323,5191,1816,1134,1547,4784,825
"627192",1355,952,3521,554,1108,1246,869,1138,1309,1552,806
"1315974",759,539,11714,402,595,842,607,643,722,1081,554
"2676077",740,478,4671,328,536,717,488,565,698,914,584
"2082188",738,495,4440,335,533,722,533,570,592,875,529
"1843368",695,517,3484,277,443,652,428,488,614,789,386
"1855519",695,487,10108,577,611,953,727,603,859,1382,987
"2072936",666,495,2347,299,597,667,529,622,754,810,472
"2733867",646,416,3564,262,435,508,402,448,539,704,323
"407020",501,306,6075,321,412,593,491,388,510,782,454
"2565554",194,135,606,60,139,149,122,119,170,214,85
"484429",101,56,890,66,74,124,337,70,106,163,66
"520734",91,52,1504,121,62,139,90,69,104,203,107
"2185111",16,12,107,4,12,13,12,4,7,13,12
"13690",1688,1183,8935,620,1070,1464,918,1106,1128,1655,792
"135719",808,518,4434,388,669,775,541,612,787,1031,517
"120107",756,511,5109,408,636,772,580,604,796,1005,549
"690566",682,456,7104,313,546,772,491,615,587,842,486
"1673076",628,421,4476,266,483,634,462,492,553,765,338
"452662",614,412,5234,324,515,666,430,515,594,823,469
"1332080",580,423,4637,377,528,648,500,479,598,889,411
"76947",522,337,7310,408,465,772,566,435,547,988,502
"1208342",120,79,1045,65,73,162,175,128,104,159,68
"1054037",97,79,1229,47,94,137,265,78,135,146,172
"861109",9,8,32,3,9,11,11,18,14,22,3
"56193",4,2,32,1,2,4,8,3,1,5,2
"595605",1,1,194,0,1,0,1,0,0,0,0
"1357916",1708,947,21483,777,901,1297,759,1088,1155,1453,1030
"1874061",1490,580,10139,730,643,865,487,682,731,970,759
"2486273",1261,772,15000,721,780,1111,719,956,973,1172,877
"2565556",1027,709,53041,5359,760,1707,627,1178,983,1775,1726
"292913",965,643,21442,1209,810,950,703,866,1029,1181,879
"1914525",914,551,11815,852,611,932,616,664,845,1115,829
"1866325",94,69,1604,205,53,92,51,41,79,159,60
"1913578",49,46,151,11,45,46,37,40,50,59,24
"33050",2064,1327,33838,1488,1423,1863,1237,1592,1853,2230,1710
"2448440",1206,591,14299,638,740,870,639,759,903,1216,783
"2054227",1006,647,18732,774,762,978,625,823,1039,1215,934
"1515612",876,550,14440,1020,649,961,593,721,838,1112,1041
"317655",766,496,9778,737,571,788,512,735,760,949,707
"267128",505,318,6150,353,415,476,416,417,607,677,384
"2675225",2337,1370,3404,579,1389,1622,1060,1439,1615,1978,1254
"2571749",1841,1185,3114,614,996,1167,833,1014,1239,1551,739
"1609758",1538,1051,2451,447,792,1055,765,773,1025,1283,600
"1016987",1067,621,5433,330,562,694,527,530,720,911,479
"2780074",1015,655,7220,349,688,722,489,579,784,934,473
"702113",607,396,1465,198,320,523,471,351,375,503,250
"164608",438,240,695,113,197,277,203,210,212,312,142
"158500",2304,1542,3277,713,1097,1400,1102,1036,1262,1674,779
"279238",1438,997,2642,455,857,1018,822,900,1180,1409,729
"1176536",1298,853,1818,388,658,807,527,699,808,992,511
"1088721",681,386,1227,171,312,430,358,278,352,524,277
"2762748",1467,971,13004,941,1345,1479,1257,1469,1786,2374,1216
"2711215",1122,798,2375,451,900,1073,795,1049,1252,1634,756
"941907",2353,1868,6372,2122,2646,3261,2177,3928,3459,4398,2286
"2584094",484,299,960,170,379,394,315,372,444,532,279
"2077182",425,323,1020,211,371,405,276,364,478,585,298
"1806885",381,248,752,147,309,364,235,343,371,441,164
"2725558",177,115,390,54,126,134,95,128,154,184,92
"392610",307,206,870,120,227,319,179,259,277,345,176
"2026624",1317,953,2620,550,1145,1368,894,1274,1369,1757,891
"2724527",419,293,742,166,332,389,304,382,399,488,263
