"","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report"
"216142",308,232,158,63,273,192,193,181,462,191,441
"1499686",267,220,269,144,285,191,201,174,562,181,475
"472181",307,194,205,77,273,204,167,200,442,177,328
"364197",285,197,158,62,215,166,144,145,374,135,372
"157783",315,221,176,53,293,214,180,189,464,205,375
"198618",268,236,150,59,213,156,151,139,283,169,240
"86264",7,9,2,3,4,3,5,7,3,2,6
"198620",250,179,162,40,215,167,125,131,323,150,258
"553151",177,162,190,40,207,134,102,121,295,128,241
"515393",241,203,151,54,238,149,136,159,362,168,270
"1395516",117,54,80,11,62,36,37,27,105,43,64
"797277",193,172,186,75,250,152,128,134,269,164,223
"95300",214,173,126,40,183,146,130,114,261,117,229
"702115",271,193,139,44,225,158,127,161,306,152,207
"437900",191,153,135,38,155,139,118,144,280,115,227
"1691904",182,130,601,44,137,91,102,107,463,104,345
"219572",183,122,82,41,184,104,108,97,240,124,164
"86265",187,109,116,23,147,124,81,102,249,126,133
"1148509",187,142,91,22,167,116,114,97,238,113,188
"359110",196,119,96,25,126,128,97,108,221,118,193
"1853130",198,131,88,35,145,105,92,116,218,117,157
"191390",190,145,110,40,167,102,116,114,197,118,271
"395598",194,128,92,30,161,130,84,106,196,97,156
"741155",120,132,626,49,103,64,81,73,263,75,212
"1434072",166,141,108,47,201,112,82,114,241,119,240
"244566",162,119,69,28,143,102,75,89,169,104,159
"321846",122,106,67,42,132,78,78,59,172,99,117
"46677",195,125,81,35,163,104,103,91,266,133,230
"1274359",92,119,547,39,77,61,78,69,201,59,179
"1421430",180,134,110,25,159,110,105,94,186,107,196
"2505979",126,88,98,16,123,97,78,62,125,71,129
"47884",128,102,92,29,112,87,71,84,165,88,127
"554344",96,95,341,42,68,74,138,94,627,71,504
"163011",675,86,91,28,117,75,78,63,148,92,143
"158627",105,88,82,24,109,55,71,86,171,86,132
"2774460",113,89,57,31,87,65,49,62,170,76,128
"2774461",106,58,56,19,63,48,52,53,121,62,106
"2502979",91,68,88,33,83,52,63,64,233,58,170
"1788301",84,60,67,25,94,67,55,55,108,47,128
"122355",134,93,61,6,109,73,66,61,149,68,108
"1628086",81,53,55,18,64,49,41,45,82,58,79
"53407",103,56,44,17,52,43,52,47,102,48,75
"1306993",45,26,27,35,24,25,26,13,50,17,42
"2565368",115,29,59,11,68,29,28,32,67,34,46
"1615674",39,21,23,8,46,39,13,23,41,30,42
"1785145",30,16,16,3,25,16,11,15,16,13,17
"2681983",25,10,16,5,9,8,8,13,31,10,31
"1583341",18,14,8,5,20,8,10,7,9,12,9
"2219225",12,5,45,1649,6,4,5,7,7,5,5
"1302376",6,11,4,2,6,11,3,2,17,3,7
"470150",6,4,3,261,9,0,8,2,5,5,0
"353",1120,1051,556,179,793,611,614,557,1355,820,1245
"69964",642,492,358,117,488,373,429,465,971,847,940
"354",626,495,361,108,548,416,403,415,880,500,762
"1510150",262,180,367,39,326,185,161,176,467,163,199
"1697053",40,39,33,6,44,18,23,15,21,12,27
"2213226",12,13,6,8,13,11,4,10,10,4,9
"2785331",23,9,8,2,14,3,6,4,13,3,9
"1879049",84,79,63,23,82,76,50,59,99,60,78
"2563897",17,18,15,6,19,11,10,9,12,9,9
"2798861",26,5,9,3,11,6,7,9,23,11,3
"2004646",2,7,4,1,5,7,6,3,6,4,9
"2714110",14,9,14,3,15,14,8,9,8,8,11
"2004647",16,4,5,0,8,3,3,5,5,6,7
"1407071",8,9,9,8,12,8,3,6,12,6,8
"2601122",11,10,10,4,16,13,5,5,6,8,13
"1646498",16,7,7,1,10,5,2,7,17,6,4
"1808001",12,8,13,5,17,9,10,9,11,8,10
"1608473",11,4,10,4,5,9,7,5,1,2,7
"1758189",16,3,12,3,6,8,4,4,8,6,8
"2079596",3,4,3,1,2,3,2,3,5,1,7
"1636603",2,2,7,1,4,6,1,0,2,2,3
"2545797",5,5,2,0,3,3,2,3,3,0,4
"1827285",7,0,1,0,2,1,3,1,12,7,8
"2609668",6,10,0,1,2,0,3,4,3,2,4
"2725684",2,0,1,1,1,1,0,0,0,1,1
"2004644",6,1,2,1,2,1,2,3,2,4,0
"2743575",1,1,1,0,2,3,1,1,4,3,3
"470",41,46,34,21,66,61,105,41,103,68,109
"48296",20,19,43,10,31,46,22,20,40,9,79
"471",23,8,10,2,15,22,10,19,14,12,9
"1530123",36,18,15,3,20,11,18,7,20,17,40
"106654",12,8,14,1,14,9,7,12,20,11,17
"1785128",12,11,7,0,9,8,3,8,7,5,11
"756892",70,43,91,23,67,59,29,32,66,33,58
"1789224",16,32,13,3,18,10,9,8,8,6,24
"108981",41,25,34,12,22,21,27,20,27,22,19
"29430",24,13,13,5,8,10,13,11,20,14,18
"40214",29,11,15,11,0,0,15,0,0,25,49
"981334",2,0,1,1,4,2,1,0,5,1,1
"487316",18,48,14,3,16,19,14,13,15,11,18
"106648",17,16,7,3,16,9,11,12,15,11,25
"1046625",3,1,0,2,3,0,3,0,0,1,1
"134534",5,11,13,4,24,8,8,5,13,9,18
"202954",16,10,11,3,16,6,6,6,12,12,5
"70348",10,8,2,4,8,5,4,9,17,14,5
"1197884",5,10,9,0,9,7,5,1,12,3,3
"1879050",23,11,6,3,16,18,4,16,17,11,23
"62977",22,7,10,5,18,5,5,11,16,10,11
"70346",12,7,16,4,4,4,2,4,6,10,7
"108980",27,12,20,6,24,11,7,6,19,16,12
"2006115",10,3,9,3,8,4,4,2,7,9,15
"1871111",6,7,7,2,3,1,2,7,8,10,9
"2715163",11,5,8,1,6,9,4,3,10,9,6
"40215",17,14,14,5,20,37,9,20,30,15,28
"202956",5,8,14,1,5,4,3,10,13,10,13
"2136182",18,8,3,4,1,6,5,2,5,9,5
"436717",5,9,2,1,3,3,2,2,5,5,2
"106649",7,6,3,1,8,1,2,1,6,4,9
"2662362",11,4,4,0,6,3,5,7,2,8,2
"2715164",9,10,6,1,12,10,5,6,7,5,5
"2004650",5,3,12,0,6,9,5,2,7,3,9
"1324350",10,4,9,0,15,8,4,3,7,4,10
"1699621",18,10,12,2,13,12,9,12,17,19,11
"1028416",26,21,8,5,22,16,8,12,21,11,14
"1699623",12,1,4,2,3,5,5,1,15,4,7
"1720344",13,8,4,1,10,3,3,5,5,3,3
"1699622",8,2,2,0,1,2,5,2,9,1,3
"2772254",9,6,10,2,5,8,11,4,9,8,8
"571800",9,5,5,3,3,3,5,4,11,1,3
"349106",1,3,6,2,7,2,5,6,4,5,2
"1699624",5,5,4,2,4,6,6,2,7,1,7
"56811",0,3,1,1,1,0,1,0,2,1,0
"2733866",6,2,5,1,1,8,4,0,3,1,4
"2203895",2,2,1,0,6,1,3,1,6,2,2
"1028419",0,0,0,0,0,0,0,0,0,0,0
"256326",31,32,19,5,29,33,19,22,29,39,10
"45610",16,15,17,5,26,16,18,18,23,43,22
"259536",13,8,12,2,19,11,16,12,14,16,26
"330922",4,5,8,0,2,3,9,3,11,3,7
"34062",62,56,40,11,53,49,37,35,64,45,46
"476",20,11,6,2,21,10,11,12,29,5,7
"480",8,0,0,1,19,6,8,13,21,8,10
"34061",17,11,21,4,22,13,14,11,16,13,21
"386891",23,14,9,2,22,12,4,4,21,10,9
"478",9,10,11,2,7,12,11,9,4,6,12
"29433",2,3,3,2,1,4,0,0,3,5,3
"2283318",42,43,33,4,53,37,22,27,44,34,47
"453783",8438,3279,5911,21875,30973,10121,6055,3220,3747,6226,7279
"2290922",1860,1029,1477,1085,2891,1844,1388,1160,1406,1851,1924
"2762611",1184,504,1017,1241,1452,877,992,711,911,987,1067
"2781021",295,183,212,205,337,201,195,197,261,231,255
"2781022",263,171,218,226,341,217,211,169,231,233,241
"2714936",153,129,125,77,227,171,72,110,178,134,124
"2781024",158,108,150,150,183,108,116,98,147,110,144
"2781023",152,78,125,109,163,120,94,89,110,103,130
"69",4390,2232,3411,3152,5630,3522,3654,2721,4435,3636,4125
"2763317",4481,1900,4010,3568,6974,4203,4296,4274,5759,6022,5536
"2795387",2051,879,2362,2845,4678,2083,1833,1202,1494,1891,2243
"84531",1648,928,1401,1155,2183,1259,1421,986,1895,1371,1607
"435897",1563,888,1238,1121,2279,1299,1260,967,1655,1296,1436
"1605891",1614,718,1532,1494,2077,1260,1451,1074,1424,1494,1654
"1324796",1418,659,1260,1528,2231,1617,1159,1031,1186,1371,1473
"262324",1200,680,996,805,1683,949,967,760,1237,1090,1157
"2591633",1332,618,1160,1189,1563,973,1208,838,1076,1179,1289
"2698682",940,439,912,918,1252,817,824,595,765,813,947
"40324",4156,2440,3359,1945,3902,2752,2490,2193,3670,2960,3494
"2072414",319,169,222,160,301,205,186,161,258,232,261
"2072413",309,178,226,125,275,188,181,170,248,202,248
"2072405",179,110,115,56,169,106,80,60,122,111,124
"2072407",96,60,77,35,130,59,61,51,75,75,64
"2072412",137,71,83,46,102,60,78,60,91,79,95
"2072406",104,33,61,28,78,63,41,45,50,61,67
"2072409",39,22,32,18,45,22,14,17,30,15,23
"2072408",41,23,26,11,28,20,22,29,27,30,20
"1904944",630,317,458,328,620,370,369,305,486,449,437
"2770322",467,258,433,281,540,339,308,283,378,364,388
"2691571",352,181,261,161,325,239,222,179,294,238,272
"2742129",210,128,175,132,199,154,126,90,166,136,176
"2303750",160,48,89,49,132,86,76,66,92,82,82
"2040586",100,54,110,47,136,76,50,71,106,120,73
"2005046",120,66,112,51,116,61,60,52,75,64,101
"2282124",24,27,33,18,36,20,13,15,33,16,32
"2682487",24,7,17,16,25,22,9,7,18,21,32
"2775920",30,13,19,27,33,14,24,11,28,17,15
"1827305",32,19,32,13,32,26,20,5,26,26,24
"216778",1529,945,1415,966,1705,1090,972,859,1414,1106,1338
"128780",1049,565,1146,1382,1095,693,677,580,1157,781,840
"2045451",27,25,31,14,35,24,20,20,24,22,29
"83617",0,0,1,3,2,0,0,1,0,0,3
"149696",208,151,181,118,243,147,166,156,234,146,183
"359385",122,78,104,48,111,68,73,64,87,95,131
"340",117,63,91,52,123,97,68,59,103,77,85
"92826",60,32,72,15,80,63,41,60,71,42,57
"2724122",145,90,131,73,133,103,112,108,142,104,122
"2724123",161,92,108,74,132,93,98,74,114,118,108
"2724121",186,123,138,74,202,96,92,88,125,113,118
"2775162",30,14,12,16,23,21,19,13,18,10,19
"2776703",4,1,2,0,0,2,0,1,4,0,1
"152263",290,165,227,139,314,230,148,135,197,199,206
"134875",247,118,166,85,214,130,136,113,187,123,203
"487909",66,35,45,17,75,43,38,28,59,58,41
"56458",930,472,831,516,992,688,570,551,832,679,743
"64187",148,93,120,42,145,101,101,90,129,95,115
"129394",65,49,47,35,72,62,39,33,53,63,61
"56464",534,332,555,343,688,441,398,351,541,497,556
"346",602,343,395,215,572,377,371,309,494,388,426
"380358",3,1,1,1,0,1,1,1,1,1,4
"56455",477,317,418,251,517,349,335,291,469,371,381
"195709",98,70,68,47,116,62,46,60,81,65,69
"69929",65,40,54,21,66,26,35,39,57,36,44
"925775",60,38,54,19,50,38,32,28,48,39,61
"56453",320,217,288,185,395,281,225,195,286,233,240
"48664",414,200,229,163,376,251,198,174,282,266,249
"487904",111,63,90,32,101,62,50,52,83,79,82
"2754056",34,23,52,24,57,32,26,25,51,27,31
"707209",2,2,1,7,7,2,3,3,4,2,5
"454958",11,9,13,14,18,10,8,9,14,7,11
"325776",6,8,2,3,4,4,1,1,6,2,4
"487849",7,2,2,0,3,1,3,2,4,1,1
"1219375",274,174,192,85,272,175,144,128,212,193,203
"1982678",180,116,114,61,212,119,108,110,111,112,109
"1101443",15,19,8,4,9,6,8,3,13,7,11
"1304892",2,2,2,0,1,3,0,1,1,1,0
"2259622",128,126,128,77,147,106,104,114,158,122,111
"359387",24,9,16,11,18,6,14,8,17,10,15
"207721",16,9,5,0,17,9,9,5,10,8,12
"189396",22,7,4,8,19,13,11,7,16,12,11
"316273",0,0,1,0,3,2,2,2,0,0,0
"92828",83,57,59,36,73,65,49,49,66,53,68
"317013",3,2,1,24,4,1,0,1,2,1,2
"442694",8,12,6,4,58,21,177,7,11,23,37
"2799326",1261,695,1246,1267,1612,1121,997,800,1102,1118,1357
"1896164",1110,629,7483,1318,1243,859,898,692,954,968,3012
"2508168",966,590,961,974,1245,863,826,652,873,848,1045
"2799325",1003,570,908,915,1282,763,719,626,840,804,1031
"2761107",962,547,883,894,1143,745,743,568,842,834,884
"1176533",1298,738,1249,1214,1596,1047,1032,943,1099,1107,1380
"2006110",1084,601,1014,807,1245,862,804,697,934,831,1029
"2565782",942,536,956,808,1225,830,740,594,838,774,991
"743721",1231,718,3548,1388,1425,885,922,727,1106,935,1143
"128785",1976,1297,20652,7864,2274,1281,3213,1473,2664,1397,1612
"1045855",828,455,894,641,941,610,609,535,701,645,717
"2202149",1195,563,1180,1039,1593,1124,1034,787,1058,1063,1162
"2771436",952,554,5380,3278,1214,859,804,683,865,878,1006
"2714945",636,294,715,612,895,608,601,457,588,577,672
"215691",1380,671,2097,1207,1906,1200,1055,829,1188,1178,1280
"1463158",971,558,1072,834,1222,822,816,641,905,842,949
"370777",2542,1220,5899,1019,2052,1261,1839,1046,1730,1107,1561
"2511995",716,572,561,194,1033,647,404,450,663,485,578
"698414",2,2,0,0,1,1,1,1,2,1,2
"1401256",5,2,2,0,1,5,0,1,0,4,0
"644357",0,4,2,0,3,1,0,2,0,1,1
"671135",5,2,1,1,3,2,0,1,1,0,2
"1444770",70,43,51,36,61,51,38,44,49,61,58
"445710",1357,820,847,319,1807,1148,780,861,1215,922,1060
"2763498",652,467,443,219,899,572,357,379,540,442,486
"2501295",280,207,213,93,365,246,168,151,281,148,205
"1217721",731,524,502,212,1097,688,425,493,670,554,638
"1849581",376,283,283,105,654,342,218,242,351,292,275
"666685",1295,848,881,424,1741,1070,734,853,1075,877,1017
"2778082",1171,693,851,347,1387,974,652,698,944,767,880
"582702",783,517,527,238,1026,656,424,517,645,458,529
"1300342",2398,1697,1760,727,2763,2077,1368,1435,2275,1616,1922
"2589080",1006,652,641,260,1134,732,510,522,860,634,828
"1440763",908,590,536,201,1113,748,504,525,790,578,702
"2010829",1109,832,805,338,1509,1024,678,714,1048,806,951
"2021234",604,617,406,114,1512,510,334,423,667,408,501
"767434",420,294,290,107,509,341,239,266,382,278,338
"550",505,344,572,89,497,402,326,258,539,414,482
"158836",200,120,138,40,141,127,136,112,189,135,205
"69218",121,71,62,18,92,81,63,67,96,90,101
"61645",101,66,59,22,95,62,77,68,124,88,74
"1812935",105,45,52,31,127,66,45,48,89,57,87
"2494701",61,26,36,8,55,47,24,25,71,31,31
"208224",34,28,29,5,36,22,27,17,49,14,29
"299767",34,26,24,52,35,21,20,21,31,25,26
"2071710",27,20,9,3,24,9,17,9,18,21,18
"2757714",31,20,6,11,23,21,25,28,22,18,21
"2724468",120,78,73,14,112,95,59,67,105,92,89
"2596949",134,65,50,24,88,67,64,59,91,71,90
"1914861",103,66,57,15,84,59,72,44,105,73,71
"2742676",53,46,20,6,40,27,28,24,25,29,39
"2742639",31,18,11,5,26,29,16,21,23,18,27
"399742",58,24,32,8,43,30,27,24,41,34,33
"2742619",24,9,9,7,22,17,8,14,25,14,17
"1166130",6,10,7,0,16,10,8,7,12,5,4
"2705458",12,10,6,1,7,13,7,3,4,5,10
"2500132",18,7,11,3,10,8,5,3,13,6,4
"1560339",28,11,7,2,6,6,9,5,9,11,10
"648691",0,1,0,0,0,1,0,1,1,1,1
"2565914",3,4,3,1,2,0,3,0,3,1,7
"1868135",1,1,1,3,3,0,1,1,2,1,3
"1827481",1,1,0,0,1,0,0,1,1,2,2
"2742673",2,0,1,1,1,0,1,3,3,3,2
"2742656",0,0,0,1,3,1,0,0,0,1,1
"2747372",0,1,0,1,2,2,1,0,1,0,1
"2051905",0,0,0,0,0,0,0,0,0,0,0
"881260",42,57,37,9,76,41,35,32,65,89,84
"2478464",52,29,12,13,48,35,25,30,41,28,31
"885040",38,23,16,12,27,25,22,20,24,21,34
"539813",3,4,2,0,12,3,2,2,3,1,1
"72407",12,12,6,1,7,9,7,3,8,9,11
"39831",2,1,3,0,2,2,4,1,3,3,3
"1328373",0,0,0,0,0,0,0,0,0,0,0
"1365186",0,0,0,0,0,0,0,0,0,0,0
"1420012",1,0,0,0,0,0,1,1,0,0,0
"548",290,211,140,44,269,184,144,126,315,190,246
"2681387",20,12,5,3,17,16,9,8,22,10,15
"2787706",4,5,3,0,3,2,1,3,7,6,6
"2675726",3,3,3,0,6,5,4,3,6,6,5
"2697371",3,5,3,0,1,0,2,0,5,1,1
"2015795",1,0,1,1,0,1,1,1,1,0,1
"2267618",0,0,0,2,0,0,0,1,1,1,4
"2675710",0,1,4,0,1,3,0,2,3,2,7
"571",195,116,119,43,164,145,94,107,195,147,182
"1134687",163,136,111,35,155,131,101,101,169,99,162
"1667327",9,5,4,1,6,5,0,5,6,3,6
"244366",0,0,0,15,0,0,0,64,0,73,92
"2026240",51,27,27,9,71,34,30,29,40,29,42
"2153354",41,23,21,2,41,33,21,29,42,32,36
"2489010",45,32,16,6,30,20,21,14,38,29,28
"2058152",26,11,15,11,25,15,18,17,24,10,26
"546",205,129,96,44,173,132,110,102,155,104,148
"67827",27,14,16,2,19,17,12,14,40,22,15
"1639133",10,14,7,71,13,15,8,7,14,8,13
"2816438",8,7,4,2,12,3,13,5,13,13,12
"57706",8,5,12,3,5,11,9,10,17,7,8
"133448",6,4,11,0,27,6,8,3,6,10,6
"1573676",56,41,34,9,60,44,40,27,59,46,50
"2742624",54,40,30,7,82,47,33,41,58,37,36
"2546350",19,18,14,5,18,11,2,11,15,7,18
"2781952",22,19,5,5,12,10,10,8,11,9,11
"1702170",0,0,2,1,4,3,0,0,2,0,3
"2742627",2,5,1,0,5,1,2,0,8,1,3
"1703250",0,1,2,0,2,1,1,2,4,3,3
"1920110",4,3,2,2,4,0,0,3,3,0,1
"2742675",0,1,0,0,0,1,2,0,2,2,0
"2742667",2,3,1,2,2,1,1,1,1,2,3
"2742626",0,0,1,0,1,0,1,0,2,1,4
"2742657",1,2,0,0,2,0,2,1,0,0,1
"2742625",1,3,2,2,6,0,1,2,0,5,4
"2742668",0,2,1,0,1,0,0,0,2,2,0
"2697370",0,1,0,1,2,1,1,1,2,0,0
"2742678",0,0,0,0,1,1,0,0,0,0,0
"637910",94,58,51,23,105,73,49,57,111,72,89
"67824",45,51,22,6,46,45,32,39,43,27,59
"1261127",42,35,28,10,38,26,22,20,38,18,40
"545",33,19,21,4,31,15,14,16,24,14,34
"2562449",32,23,29,10,33,19,17,19,22,16,28
"2653932",41,22,31,8,42,28,31,31,33,27,33
"1748967",4,6,2,2,11,7,1,3,14,7,4
"1563222",5,4,5,2,3,0,1,4,3,8,4
"1138308",11,13,8,1,13,13,10,10,18,12,13
"413498",151,88,61,13,137,84,71,81,147,93,102
"1074000",100,70,50,16,97,55,395,57,86,81,74
"1073999",102,54,37,14,98,85,61,64,88,74,78
"1159491",0,0,0,0,1,0,2,1,2,0,0
"1159613",19,10,12,3,10,14,12,11,11,16,15
"1906275",15,13,11,6,13,9,13,12,31,5,11
"2725560",61,48,44,19,71,54,42,36,61,42,54
"2492396",61,39,28,13,61,26,22,29,44,31,38
"2067958",41,48,19,6,37,30,23,20,39,27,52
"1300165",15,12,13,3,21,17,14,7,11,13,30
"1235834",9,8,6,4,6,8,4,4,11,9,1
"551989",54,30,28,9,51,32,13,21,45,30,38
"1177180",6,3,1,0,1,3,3,3,4,3,10
"497725",34,21,20,5,30,18,25,14,30,27,32
"1646340",45,35,16,7,41,27,25,26,35,34,25
"2714951",100,52,38,20,59,60,44,62,107,99,72
"2815358",75,46,51,12,54,58,55,59,76,47,90
"2282310",22,10,10,3,16,8,4,6,34,10,9
"2282309",21,12,13,2,27,9,21,7,24,15,15
"2681308",17,17,11,3,13,11,18,13,15,18,20
"2681309",3,1,2,3,5,1,1,8,8,4,2
"1920114",4,4,3,0,12,5,4,5,5,4,5
"2681307",21,12,7,2,20,16,8,15,24,10,6
"83655",203,124,79,25,149,114,93,93,156,116,117
"2822132",3,9,5,1,1,3,2,3,7,3,4
"83334",3,3,6,2,2,7,4,2,3,6,4
"696406",0,0,0,0,0,0,0,0,0,0,0
"2233553",0,0,0,0,0,0,0,0,0,3,0
"930406",0,0,0,0,0,1,1,0,0,0,0
"585034",1,0,1,0,1,0,3,0,0,0,0
"409438",2,1,1,0,0,0,2,1,0,2,2
"2048778",0,0,0,0,0,0,0,0,0,0,0
"2048781",0,0,0,0,0,0,0,0,1,0,0
"1392858",0,0,0,0,0,1,0,0,0,0,0
"2763104",0,0,0,0,0,0,8,4,6,13,11
"1045010",1,0,0,0,0,0,0,0,0,0,0
"244319",0,0,0,0,0,0,0,0,0,0,0
"1078034",0,0,1,0,0,0,0,1,2,1,0
"2810408",1,0,0,0,2,0,0,0,0,0,0
"2810404",0,0,0,0,0,2,1,1,4,0,0
"208962",60,30,27,10,46,36,23,28,40,33,45
"564",56,33,17,11,32,23,23,24,32,25,33
"1499973",26,18,12,4,20,16,16,16,29,22,23
"2044467",21,14,7,3,23,13,9,8,10,15,15
"575",87,48,49,8,100,47,47,47,66,55,70
"577",77,59,36,10,54,46,41,29,65,51,48
"54291",0,0,34,8,0,0,42,27,56,0,0
"1259973",17,8,13,4,39,12,12,11,21,18,26
"2259647",0,0,2,0,3,0,0,3,2,2,0
"61647",387,295,227,86,411,302,219,244,413,266,291
"701347",32,21,25,5,19,15,14,9,32,19,32
"59201",125,96,76,33,96,74,66,76,115,96,95
"59202",26,21,19,1,26,29,17,25,33,26,25
"59208",8,2,2,3,12,7,5,6,11,3,9
"59204",4,2,3,1,4,3,1,5,6,0,3
"59205",1,3,3,1,4,2,0,3,6,5,5
"59203",5,0,2,0,4,6,1,3,4,2,5
"41527",10,1,2,0,24,3,1,1,4,0,3
"1197719",1,2,0,0,0,2,1,0,1,0,0
"158822",268,193,147,52,298,202,162,155,286,198,198
"2545798",81,45,63,13,62,72,45,44,70,41,52
"158823",76,63,42,19,58,53,58,57,57,72,70
"61646",140,105,60,18,102,83,68,64,117,96,98
"2153385",20,18,21,4,32,14,19,16,27,23,17
"69220",22,16,14,2,16,18,6,18,21,28,27
"61648",54,47,26,9,67,42,25,40,56,42,45
"2774055",65,50,61,18,77,49,28,43,62,46,57
"51288",22,20,14,8,23,15,14,12,17,23,20
"566",118,80,62,27,114,99,67,78,112,86,116
"2579935",148,78,89,21,127,87,64,72,132,91,107
"158877",82,62,51,17,61,56,53,61,88,48,67
"1851514",89,61,53,16,76,68,61,52,66,57,74
"2479367",60,31,39,9,43,45,26,25,40,22,37
"82977",46,26,36,6,44,25,27,21,43,27,36
"146507",39,41,24,19,25,30,16,26,39,19,31
"84564",26,17,17,1,15,16,11,9,22,15,22
"1906659",7,3,7,2,6,10,7,3,4,3,6
"1906661",1,4,1,1,6,4,0,3,2,1,5
"1906657",7,4,9,4,8,14,6,11,10,9,7
"1682492",0,2,3,1,0,4,1,2,2,0,3
"472825",1,2,1,0,6,0,1,2,0,3,0
"199891",1,0,3,0,0,2,0,1,2,1,2
"1906660",3,0,0,2,2,2,1,0,1,0,0
"565",119,77,58,10,93,61,54,45,82,63,79
"1972431",60,34,19,4,53,28,28,28,50,37,44
"395631",4,5,1,2,6,6,3,2,8,4,3
"1756993",8,1,1,1,8,2,4,4,6,3,2
"563",110,67,59,13,63,48,56,72,85,73,77
"2675784",0,1,0,0,1,0,0,0,0,0,0
"2675785",1,6,0,0,0,1,1,0,1,1,0
"2675772",0,0,0,0,1,0,0,0,0,0,1
"2675775",0,1,1,0,0,0,0,0,1,1,1
"2675794",3,3,1,3,2,1,0,0,2,1,0
"2675793",1,2,2,0,5,1,4,2,3,2,1
"2675791",1,2,2,0,3,1,0,0,1,1,0
"2675789",4,0,0,0,0,0,0,2,1,1,4
"2675782",1,1,1,0,0,1,0,0,1,1,0
"2675783",1,1,0,0,0,0,0,0,0,0,0
"2675797",5,1,3,0,12,3,0,0,1,1,2
"2675795",0,0,0,0,0,1,1,1,1,0,0
"2675792",0,1,1,0,3,1,0,1,1,0,0
"2675788",0,0,0,0,0,0,0,0,0,1,0
"2675787",3,3,1,0,3,0,0,0,1,2,2
"2675786",1,0,0,0,0,3,1,1,0,0,0
"2675781",3,0,1,0,0,0,0,2,0,0,1
"2675780",1,0,2,0,1,0,0,0,2,0,0
"2675779",1,1,0,0,0,0,0,0,0,0,0
"2675778",1,1,2,0,0,1,4,1,0,0,1
"2675776",1,0,0,0,0,0,1,0,0,0,0
"1048758",25,11,13,2,33,26,23,33,39,22,26
"42897",0,1,0,0,0,0,0,0,0,0,2
"622",3,3,1,0,3,6,0,2,6,1,1
"621",3,1,0,0,1,0,3,0,4,1,1
"2487150",8,3,5,1,7,5,7,5,11,8,14
"401619",2,0,1,0,2,0,0,0,1,1,1
"428411",5,0,0,1,2,0,4,1,3,1,1
"476281",1,2,3,2,2,6,3,2,1,3,4
"911022",10,5,11,3,8,3,5,6,6,5,3
"1334564",7,3,8,1,6,6,4,3,4,5,3
"273526",16,8,0,3,6,5,5,5,13,9,16
"435998",7,1,4,3,1,2,1,1,2,0,2
"2420306",62,55,37,7,52,34,31,36,54,49,45
"104623",52,36,45,11,52,40,29,46,68,30,71
"671990",51,27,26,11,43,35,31,24,38,34,21
"2597702",44,34,23,6,62,27,41,24,33,32,44
"2033438",34,13,21,2,27,28,37,32,40,39,31
"2448483",19,11,6,5,8,8,5,3,13,11,11
"2447890",14,14,14,6,20,9,6,13,26,11,11
"2724469",7,3,2,1,1,0,3,2,1,1,8
"2773264",3,1,0,1,6,9,3,1,6,7,6
"2482769",4,4,3,2,4,10,4,5,3,5,4
"2785630",3,0,0,0,1,2,4,3,1,2,3
"1327989",15,7,6,2,3,4,3,6,2,9,13
"488142",6,7,2,0,5,10,1,4,9,4,5
"1758196",1,0,1,0,3,2,2,1,3,2,1
"2485839",2,1,2,0,2,0,1,0,5,2,0
"1154756",47,42,11,8,52,24,17,28,29,48,36
"682634",25,4,4,1,5,10,8,3,4,7,5
"1006598",1,0,0,2,2,1,1,0,2,0,8
"61652",157,113,71,23,143,108,131,106,166,123,198
"618",193,114,85,18,138,99,95,87,137,96,117
"47917",132,98,86,21,145,102,89,75,161,100,120
"2741499",97,81,42,18,87,65,41,58,79,67,58
"399741",10,8,5,2,13,7,3,4,13,7,9
"82995",74,53,47,14,65,41,28,34,57,36,44
"568817",10,5,1,1,1,1,2,1,9,5,4
"1346614",5,5,6,2,7,3,2,5,6,5,1
"137545",26,17,9,8,34,27,19,15,15,12,23
"61651",20,18,20,10,10,10,13,4,21,9,14
"300181",11,9,6,2,20,13,5,6,3,6,7
"458197",9,4,2,1,6,6,3,1,3,2,7
"1443113",10,6,5,1,1,2,4,4,6,2,13
"34053",4,1,1,1,0,1,6,0,3,2,1
"367190",14,5,4,4,25,14,9,8,16,10,9
"633",14,6,11,0,18,10,5,8,15,14,10
"632",10,11,11,2,4,4,6,6,2,5,2
"29486",42,27,19,10,32,29,15,22,29,33,31
"935293",34,27,28,8,45,29,26,32,40,24,28
"28152",18,12,9,2,16,16,14,11,27,11,10
"1453495",22,12,18,6,17,15,10,16,18,12,16
"29484",29,18,16,3,0,14,15,8,32,24,10
"349967",31,19,16,5,24,24,12,11,44,14,32
"29485",18,14,14,1,26,21,12,17,18,14,12
