"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"2820278",2002,157,1681,1278,798,1104,949,1278,1100,870,677
"648757",1523,131,1114,1065,577,800,658,1013,836,592,430
"1447062",1386,168,1473,931,1142,876,827,1109,1219,1132,1034
"1082931",1,0,0,0,1,0,0,0,0,0,0
"1608628",754,54,587,502,279,357,301,451,312,267,178
"1219035",551,44,492,383,289,324,277,431,400,312,263
"1335043",522,59,503,337,403,312,317,398,451,386,363
"454601",178,16,139,135,66,103,84,160,85,93,73
"331696",7823,395,4444,4933,1852,5047,2385,3547,5400,3650,4927
"2562284",5897,318,3756,3566,1445,10738,1985,2787,3695,3381,4933
"2709380",3731,391,3256,2410,1165,1814,1603,2165,1914,1421,1096
"639283",3675,261,2810,1954,1321,1597,1524,2173,1631,1277,913
"1850374",2384,203,2007,1512,878,1228,1140,1548,1322,1022,725
"1745854",1825,151,1597,1196,670,994,902,1293,1085,839,610
"2528964",3436,267,2826,2132,1244,1758,1581,2281,1859,1573,948
"438753",2443,180,2063,1630,987,1353,1145,1626,1375,1014,753
"2789216",2386,196,2223,1638,964,1323,1165,1548,1381,1191,806
"2712222",7105,389,3562,4473,1187,2773,1775,4000,1918,1691,1410
"1235591",6772,332,3933,3627,1554,2463,2074,3440,2455,1950,1683
"1482074",2216,160,1961,1417,965,1186,1087,1502,1338,985,771
"573658",19,4,23,22,18,17,8,17,12,13,7
"134",1471,101,1171,951,542,861,657,1007,929,642,547
"173366",1463,154,1139,1084,583,849,668,1020,867,679,512
"655015",1432,78,1284,1006,519,862,676,988,950,656,460
"391905",1304,100,1177,922,420,871,651,925,771,650,450
"187303",820,59,692,562,329,544,404,603,623,368,285
"595536",1946,153,1651,1164,666,1116,941,1337,1189,855,614
"2699395",1555,108,1304,1021,640,923,781,1189,1095,690,518
"1349819",1831,171,1908,1187,794,1082,941,1375,1275,941,658
"2758041",1467,143,1488,1018,720,850,824,1126,1026,773,521
"2816454",1351,115,1351,944,588,700,742,950,783,690,444
"1638161",4,0,5,5,1,2,3,0,9,1,5
"1701758",1627,150,1607,1008,788,852,900,1209,1052,843,533
"686597",499,59,551,315,284,264,277,337,335,227,198
"1122214",951,79,908,590,487,540,497,630,637,494,341
"1486262",915,70,842,629,429,521,470,623,605,409,330
"2583532",503,49,430,300,280,278,308,388,364,283,198
"538381",2623,229,2579,1694,1140,1442,1418,1961,1658,1289,818
"1881061",1541,96,1251,1021,589,798,748,1060,908,678,463
"2021862",900,70,709,533,354,461,422,553,456,393,247
"2590016",380,30,327,258,134,220,196,294,254,182,123
"2587861",370,32,300,289,165,185,166,230,224,163,103
"2587854",94,16,90,61,44,56,67,86,78,65,28
"1674922",66,9,66,57,33,48,40,53,30,33,29
"244592",454,32,417,297,168,211,196,261,271,182,142
"187304",112,14,124,79,37,54,68,89,51,54,39
"1402210",284,51,393,162,150,136,164,197,173,227,138
"911045",257,14,205,162,115,137,95,164,127,100,78
"1702325",2763,238,2770,1710,1241,1488,2316,2005,1873,1435,895
"444444",1598,139,1585,1064,720,830,1091,1171,910,743,456
"395965",1382,100,1127,934,489,794,645,989,882,629,465
"227605",1235,94,1041,826,486,695,560,831,770,516,439
"569860",1378,79,992,886,436,722,558,814,855,594,462
"31994",662,45,545,432,272,376,316,453,405,356,235
"402881",1539,112,1248,1080,595,909,809,1227,989,820,610
"1712261",1060,84,878,695,395,604,541,756,655,528,382
"1458461",494,25,393,330,183,266,271,309,298,262,162
"94625",505,57,729,342,246,345,426,555,1234,795,529
"2632610",303,35,272,184,144,163,150,226,260,186,132
"271865",224,44,238,165,115,131,110,168,140,135,90
"529",165,18,188,115,140,95,89,146,108,119,68
"419475",95,419,107,71,46,62,44,86,63,54,28
"571256",90,515,104,54,56,47,48,96,44,56,44
"1218315",31,6,13,10,8,9,9,16,12,8,2
"29459",22,2,23,13,5,19,14,22,11,9,8
"235",10,0,3,2,2,7,4,1,2,3,0
"236",6,2,7,7,6,3,5,10,2,6,3
"29461",4,0,7,6,2,1,16,10,9,1,2
"120577",4,0,2,4,0,2,0,2,3,1,1
"36855",1,1,1,1,1,0,1,1,1,2,1
"120576",1,0,0,1,2,3,2,4,1,1,2
"444163",1,0,1,3,0,0,1,0,0,0,0
"239106",90,9,91,63,38,44,43,82,57,45,47
"2304600",2218,171,1714,1374,798,1205,993,1454,1191,954,615
"1798205",416,27,348,303,189,251,182,333,255,205,158
"2528642",1355,85,1217,919,527,845,611,962,829,649,404
"1686310",118,12,94,65,48,87,59,100,76,54,47
"2759660",25,1,26,15,9,12,17,28,21,12,7
"515256",6,0,7,6,0,1,0,2,2,1,0
"1933904",6,2,5,5,4,7,0,5,2,4,3
"1933910",1,0,0,0,0,0,0,0,0,4,0
