"","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report"
"1325100",4532,3889,2107,2187,0,1270,2635,2270,1141,1439,377
"288000",4946,3070,1974,1454,928,1188,2404,1744,1021,1264,238
"1223566",2942,2970,1349,1432,595,917,1743,1082,2627,1071,0
"114615",3829,2912,1607,1462,825,1113,2155,1683,941,1183,188
"1325102",4697,2872,1962,2152,812,936,2464,1405,0,1779,407
"1197460",3261,2825,1339,1329,571,810,1749,1393,873,1018,242
"115808",3741,2812,1717,1483,821,1122,2069,1703,936,1239,215
"2057741",4740,2639,1367,1173,662,937,1685,1383,918,976,221
"1325120",3069,2463,1301,1211,576,791,1607,1277,725,904,227
"2715960",3658,2286,1205,1117,520,695,1494,1250,709,785,170
"1404888",2583,1940,1278,1248,599,722,1409,1095,2016,838,302
"1325114",2392,1809,2084,2306,706,618,1224,1283,1632,634,289
"1325112",2253,1759,1164,1180,449,572,1182,1114,986,676,141
"1325111",2424,1711,1231,1089,827,1031,1320,1046,1012,806,163
"376",1805,1229,846,819,353,488,888,784,720,506,124
"319017",852,561,336,354,170,207,381,352,340,220,56
"2493093",580,287,193,165,82,119,205,158,163,107,24
"2599805",226,141,112,115,47,59,107,70,113,66,16
"2599819",230,139,108,112,16,49,72,83,120,44,11
"1404649",275,48,28,21,9,24,37,26,20,16,2
"1325083",32,13,9,6,6,6,12,8,8,9,1
"2578113",3,2,0,1,0,0,0,0,0,1,0
"1274631",5880,12525,3072,4797,1008,2049,4896,3180,2959,2790,994
"1437360",15297,11526,7029,5058,2648,3777,6937,5669,3278,4262,906
"190148",5429,11441,2782,4651,903,1451,4072,2949,1569,2271,1116
"1355477",0,7919,5841,5534,2353,2930,0,5240,0,3251,847
"722472",4968,4010,2021,1789,864,1289,2318,2016,1004,1431,333
"83637",3768,3130,1626,1548,742,1063,2078,1776,904,1088,253
"1245469",4324,3034,1790,1497,860,1145,2157,1776,1153,1301,233
"255045",4636,3004,1632,1375,665,1065,1836,1536,810,1020,263
"476282",555,444,252,301,112,144,292,238,230,185,40
"1037409",3,10,1,0,1,0,3,1,8,2,1
"1325107",3038,2156,1412,1793,615,788,1451,1412,1627,883,261
"1549949",3383,1958,1423,1531,707,820,1424,1324,2805,948,248
"1404367",3257,1958,1975,1448,670,656,1356,1336,1692,813,224
"1404864",2561,1949,1487,1123,576,676,1252,1097,1204,739,159
"858423",2573,1921,1280,1279,574,645,1310,1202,1230,786,189
"1325090",5234,1828,1697,1395,747,731,1486,1358,1568,840,263
"83627",2502,1818,1199,1073,535,665,1356,1092,957,752,161
"1325115",2517,1664,1721,3269,751,628,1372,1408,1731,745,213
"1325095",2325,1641,1238,1025,483,578,1229,1059,915,723,148
"1404768",1758,1262,1142,914,410,436,840,795,1002,531,144
"244734",4139,1141,913,707,410,564,865,751,847,490,112
"931866",537,475,242,253,109,134,258,218,201,130,63
"1275962",100,30,19,17,7,23,29,17,35,28,1
"1867715",10143,4149,1849,1281,986,1315,2341,1567,1487,1594,756
"2020412",6887,3371,1450,1005,655,1000,1870,1296,983,1044,422
"2599640",5008,3221,1745,1258,811,1292,2252,1549,1159,1508,406
"1842539",4036,2802,1708,1090,754,1112,1926,1401,1104,1352,287
"2015316",5952,2517,1737,1006,773,1201,1858,1443,1020,1189,424
"1792307",3155,2293,1322,863,645,841,1543,1146,840,1084,224
"1526658",3969,2546,1505,1008,774,1082,1879,1260,972,1240,272
"316058",4542,2819,1717,1156,870,1211,1951,1670,872,1101,208
"316055",4173,2576,1504,937,725,1028,1605,1362,753,1032,173
"316056",4478,2462,1590,1116,804,1059,1762,1514,882,971,215
"652103",1064,499,367,201,148,181,371,310,179,198,31
"395960",780,404,260,176,131,164,300,285,180,216,35
"2592814",120,75,42,25,17,27,50,41,24,29,10
"2592817",62,21,24,12,9,7,18,24,9,10,4
"2592815",30,15,21,18,9,16,30,11,15,22,1
"2592816",9,13,9,6,3,4,5,8,4,6,2
"943830",4461,2191,1300,899,749,984,1454,1192,653,800,166
"1882747",3199,2603,1069,1060,522,697,1442,1111,539,743,225
"504832",123,22,7,13,7,26,13,13,36,18,0
"1333996",4269,3845,2257,1305,1104,1298,2144,1888,1073,1397,242
"323097",44838,2009,1957,1127,1571,2888,1318,2591,8529,824,412
"323098",63896,1429,1276,682,826,1190,1252,1272,14284,738,419
"675281",13529,3747,3688,1322,1474,1749,2348,2525,1972,1773,332
"2584466",17587,2782,3571,937,1562,1743,1813,2832,1402,1200,281
"2108445",11218,2066,1883,504,855,885,1029,1375,1149,902,228
"2082387",8908,1909,1769,629,824,992,1123,1368,878,801,178
"2493672",4921,1613,1246,707,964,1333,1003,1053,658,680,132
"2493673",4942,1607,1385,906,1123,1472,1301,1288,622,834,155
"2493676",5479,1546,1372,595,868,1165,973,1085,663,653,141
"2493668",4151,1542,939,489,501,727,784,759,593,702,160
"2777475",6353,1541,1884,1411,6126,6131,1808,1684,667,726,217
"2493680",4601,1513,1355,700,981,1272,2039,1135,666,672,382
"2493675",4351,1454,1197,503,582,797,835,984,545,650,134
"2744518",5048,1453,1286,537,714,902,932,982,629,687,161
"2744521",4039,1438,986,504,453,744,910,792,635,788,146
"2493669",4857,1402,1185,710,888,1246,1049,1052,578,640,150
"2654248",5794,1391,1209,491,591,695,863,946,621,631,141
"2493677",3471,1076,878,435,415,573,748,693,517,548,122
"2493679",3481,899,905,349,458,566,604,653,406,429,83
"2493678",3592,836,826,311,454,483,575,583,383,402,77
"2493671",2864,831,816,669,1433,1507,663,654,324,362,77
"2654249",3333,804,692,212,322,372,450,421,384,322,70
"2483404",3032,783,783,373,352,487,594,574,348,372,73
"2493681",2825,773,660,307,317,447,532,461,346,345,59
"2744523",2533,771,562,265,263,318,542,442,361,446,82
"2744516",2459,718,682,285,315,413,472,491,333,327,84
"1854057",1765,701,445,263,213,392,412,337,278,340,74
"2744522",2310,670,544,215,252,274,417,464,334,298,81
"2483403",2274,568,547,226,258,319,409,376,216,216,48
"2744517",1741,538,493,259,264,325,396,380,212,259,45
"2493674",1376,438,395,336,652,743,391,335,188,228,40
"2493670",1412,397,381,279,664,677,345,343,174,182,48
"2744515",635,193,131,64,76,105,117,89,88,90,23
"278153",519,147,144,63,83,92,122,118,75,100,23
"2744520",407,107,78,51,40,59,69,79,46,41,17
"2744519",224,100,30,37,29,47,60,33,34,45,4
"2483402",174,73,65,26,20,43,43,36,34,33,5
"1670800",9483,2876,2857,865,1122,1265,1659,1881,1500,1428,257
"1082933",5334,1432,1184,477,575,718,949,936,651,633,125
"935548",2847,789,698,296,309,384,522,535,343,347,73
"935546",334,107,106,62,42,43,84,72,62,45,15
"682633",1440,717,519,236,220,311,466,330,291,352,77
"278148",657,186,179,93,88,94,172,126,70,96,27
"754035",3559,1062,969,399,448,558,713,731,450,445,105
"536019",3513,1016,866,397,463,575,696,718,467,476,83
"1777866",3031,809,673,333,383,461,563,587,344,347,71
"763057",315,78,93,34,45,67,96,71,36,56,7
"266835",628,209,147,124,89,102,121,128,81,100,19
"2725666",860,93,70,30,34,80,55,53,32,26,8
"2774562",4500,2408,302,120,118,158,271,210,191,184,56
"374606",21367,2241,1753,575,693,894,1216,1160,924,891,210
"2666139",1926,510,191,64,103,117,142,221,107,102,26
"83263",2260,723,181,90,70,125,166,118,106,123,27
"266779",4396,6197,8303,804,839,16274,993,2292,689,2893,2602
"2599600",7210,2386,2413,795,995,1130,1690,1566,1238,1204,231
"1756988",4065,1180,1288,396,450,621,830,793,618,558,85
"1852022",3716,1781,1575,828,699,941,1509,1297,818,970,157
"1620421",2102,837,627,308,247,405,610,570,346,467,73
"411684",2002,765,621,258,250,314,511,457,315,402,66
"2742145",2968,1370,1220,483,495,615,945,877,676,680,100
"1867719",2480,839,681,291,305,450,637,483,389,389,76
"2718938",1411,496,363,169,163,182,327,274,201,194,29
"2712698",1138,538,510,196,171,322,436,379,232,294,48
"2305987",79,43,46,22,15,17,30,25,22,21,4
"2613769",40086,10462,8185,4400,4236,6018,8082,6100,5956,5112,1207
"384",13769,5446,3599,2356,1883,2598,3993,3013,2470,2678,579
"29449",3886,2081,1013,669,674,935,1126,887,1056,738,304
"348824",2656,1151,705,461,352,492,807,556,494,521,107
"396",2401,1086,631,412,343,507,646,512,378,395,121
"1312183",2622,1004,820,495,416,507,789,633,498,494,101
"379684",4533,921,963,371,375,486,812,662,701,527,115
"1138189",2065,722,501,297,403,388,600,442,417,349,101
"56730",1618,717,407,286,238,404,530,388,371,457,84
"1138194",1573,676,467,246,299,299,498,376,322,343,89
"293958",2110,666,506,281,209,348,479,432,318,277,56
"1138190",1406,660,365,243,248,284,400,299,263,271,86
"398",2131,615,501,290,234,370,465,358,339,322,55
"1368430",3850,584,487,209,227,329,442,357,495,281,52
"451876",0,548,1261,187,760,445,372,564,540,243,52
"240521",2669,494,427,223,205,260,434,337,353,262,72
"2583231",800,401,266,161,123,190,268,203,176,170,40
"1335061",2041,368,702,157,187,221,330,243,491,251,42
"1538158",882,365,211,130,127,167,212,161,135,196,47
"2267833",1351,333,293,134,127,191,231,218,199,160,36
"648995",1458,242,609,109,251,144,209,340,214,128,74
"1538159",378,108,93,52,52,56,93,79,57,45,12
"2081791",195,101,56,39,25,41,56,50,47,41,12
"448181",221,3,15,4,6,11,5,2,7,9,2
"1183400",26597,3249,2590,1341,1209,1574,2648,1884,1921,1539,1451
"373",4166,1138,894,443,380,558,916,710,638,554,116
"2632611",7914,1010,906,463,309,530,873,660,767,519,129
"359",2214,684,432,238,181,238,426,352,293,277,85
"28099",1499,416,440,170,149,255,392,290,274,238,60
"160699",1636,383,374,175,159,202,338,224,273,220,50
"1183412",103,1,5,0,7,8,3,3,9,4,0
"399",37853,2125,1843,1017,1091,994,2335,1403,2395,1119,340
"2629175",6961,1701,1822,803,745,925,1880,1134,1619,997,263
"1125847",1078,160,144,64,64,69,114,101,131,86,8
"663276",11563,6087,3410,2065,2034,2855,5142,2779,3636,3061,922
"382",28478,4028,4442,2964,5061,7106,7539,3758,48209,5434,2118
"2613772",16763,2787,2445,1001,984,1234,1998,1556,1514,1341,359
"194963",3252,2681,994,558,537,744,1232,707,1054,889,679
"110321",4102,1140,970,483,559,699,1215,754,2094,678,166
"106592",8068,4501,1934,999,907,1138,2051,1476,1543,1263,626
"375549",4250,1655,1312,795,707,870,1685,997,1551,1123,155
"2633371",3450,1308,857,416,356,517,846,637,518,531,148
"1752398",3358,1141,885,518,488,703,1181,793,786,694,124
"716925",2714,1031,931,472,451,651,1047,723,720,727,102
"879274",65723,2375,2219,773,769,907,1610,1221,1296,1054,239
"2715959",17656,1698,2003,724,621,806,1438,1133,952,871,191
"2795690",6538,3237,2346,1315,1050,1380,2322,1756,1240,1531,240
"2341112",3790,1366,1329,450,470,693,1033,850,637,682,123
"1969821",4186,1144,1092,532,419,565,1013,725,741,703,113
"1273132",30,26,17,4,8,12,14,10,6,3,1
"1174529",0,1,0,0,0,4,3,0,0,2,0
"658172",9,10,3,3,1,1,6,3,3,104,0
"34020",67,7,13,4,5,22,39,2,34,9,3
"1261131",12,7,10,0,2,2,5,5,7,1,1
"426117",3637,3668,2501,2192,1105,1891,3214,2499,1780,2274,399
"2202828",2413,2180,1598,1215,656,1066,1997,1533,949,1297,212
"2603276",1847,1551,1092,843,468,780,1393,1088,715,919,181
"2202826",1781,1549,1035,921,463,809,1461,988,728,962,177
"925818",813,742,514,335,209,369,660,440,285,372,76
"2067957",497,463,393,238,158,250,475,305,250,298,77
"1479019",315,297,232,170,89,159,299,202,120,170,44
"739141",147,113,100,86,44,66,128,78,59,65,13
"2696060",0,1,0,0,0,0,0,0,0,0,0
"460265",3477,3457,2395,8641,930,1719,3064,2677,1542,2035,365
"270351",3574,3235,2057,1734,899,1476,2802,2102,1401,1740,332
"2202825",2657,2511,1760,1341,787,1228,2192,1609,1176,1544,293
"2051553",1763,1707,1108,953,520,802,1492,1110,742,1013,168
"2202827",1697,1626,1077,925,520,839,1536,1175,688,969,175
"908290",2005,1590,1149,966,484,827,1516,1035,767,959,188
"269660",2066,1443,1127,881,467,768,1334,1017,698,894,163
"1775910",1547,1424,974,770,388,678,1206,948,619,785,158
"426355",422,331,310,214,114,169,315,267,165,184,87
"418223",311,256,144,130,50,93,200,141,97,124,31
"693986",89,77,51,51,15,43,68,52,41,42,5
"2807101",10233,5813,2384,3957,1534,4602,9068,2840,9550,5957,2117
"2082949",4867,2311,1571,1855,920,1598,3147,2092,2697,1862,528
"1882682",8961,6226,2362,3948,1472,3910,7565,3025,7527,4758,2081
"2651334",5143,3209,1936,2129,1081,1998,3508,2165,3283,2084,513
"441620",800,433,469,290,140,218,386,351,188,229,53
"272630",1097,685,523,416,231,359,631,428,311,423,223
"440085",311,274,202,137,56,127,250,183,113,161,68
"419610",265,198,148,106,73,120,238,133,116,124,77
"29429",81,67,43,36,19,30,57,36,27,48,10
"674703",9916,22740,8725,7544,6340,5350,7909,10221,3278,5728,917
"444923",3,6,7,3,3,5,5,5,5,2,1
"1736675",46960,3923,4373,1289,2901,2113,3013,2212,3524,1637,962
"2801335",12191,1192,1919,415,883,729,960,794,1547,688,297
"2657486",9890,1156,1807,510,700,638,1013,799,1035,566,158
"2499144",5117,978,1271,337,545,599,922,725,764,577,94
"2083786",13009,963,1770,280,527,521,668,545,808,434,115
"2774137",7538,928,1643,405,584,657,835,726,841,487,146
"2664417",2367,506,647,220,341,370,506,417,391,298,64
"2759954",2311,426,550,164,205,222,340,239,245,192,42
"400770",32258,1409,2886,516,1055,946,1162,934,1284,800,229
"582899",4235,1699,856,572,511,799,977,712,475,627,98
"670307",2656,1361,936,591,464,1730,1171,827,453,545,114
"1029756",8982,3132,1325,676,650,799,1235,947,815,996,196
"717785",2725,1662,830,486,545,1109,871,689,441,778,92
"2233851",3713,3009,1918,1165,917,1278,2064,1662,1034,1423,198
"1079",3089,2632,1638,1083,780,1074,1820,1368,894,1290,165
"1384459",2191,1368,813,464,378,523,821,579,448,648,77
"2170729",2318,1320,753,437,348,435,730,584,377,585,79
"2742204",2830,2012,1221,698,543,768,1170,1018,662,967,127
"2820278",3422,2002,1360,935,677,870,1555,1100,798,980,157
"648757",2289,1523,1039,568,430,592,1018,836,577,654,131
"1447062",7159,1386,2030,692,1034,1132,1464,1219,1142,830,168
"1082931",0,1,1,0,0,0,0,0,1,0,0
"1608628",1520,754,387,244,178,267,420,312,279,354,54
"1219035",1355,551,557,300,263,312,478,400,289,304,44
"1335043",3037,522,701,254,363,386,540,451,403,250,59
"454601",382,178,137,89,73,93,125,85,66,86,16
"331696",12484,7823,6320,3263,4927,3650,6267,5400,1852,2886,395
"2562284",27059,5897,5359,3284,4933,3381,3970,3695,1445,2216,318
"2709380",5473,3731,2244,1399,1096,1421,2505,1914,1165,2343,391
"639283",22514,3675,2023,1286,913,1277,2263,1631,1321,1814,261
"1850374",4333,2384,1651,1005,725,1022,1731,1322,878,1305,203
"1745854",3362,1825,1269,762,610,839,1415,1085,670,956,151
"2528964",6960,3436,2109,1361,948,1573,2564,1859,1244,1727,267
"438753",3878,2443,1631,1018,753,1014,1839,1375,987,1207,180
"2789216",4417,2386,1704,1043,806,1191,1983,1381,964,1232,196
"2712222",49218,7105,2633,1982,1410,1691,2916,1918,1187,2145,389
"1235591",14226,6772,3185,1519,1683,1950,2952,2455,1554,2746,332
"1482074",4113,2216,1699,924,771,985,1573,1338,965,1156,160
"573658",57,19,19,11,7,13,33,12,18,9,4
"134",2167,1471,1048,720,547,642,1139,929,542,754,101
"173366",2010,1463,1058,706,512,679,1100,867,583,752,154
"655015",1834,1432,1024,679,460,656,1135,950,519,772,78
"391905",1647,1304,923,614,450,650,1093,771,420,852,100
"187303",1208,820,654,406,285,368,716,623,329,432,59
"595536",2344,1946,1325,894,614,855,1504,1189,666,989,153
"2699395",1985,1555,1127,757,518,690,1290,1095,640,793,108
"1349819",3748,1831,1617,839,658,941,1546,1275,794,1045,171
"2758041",3007,1467,1341,647,521,773,1231,1026,720,877,143
"2816454",2782,1351,1099,551,444,690,1052,783,588,773,115
"1638161",3,4,5,4,5,1,7,9,1,1,0
"1701758",3093,1627,1447,814,533,843,1275,1052,788,848,150
"686597",1644,499,501,215,198,227,412,335,284,284,59
"1122214",2325,951,827,434,341,494,779,637,487,511,79
"1486262",2437,915,777,375,330,409,708,605,429,442,70
"2583532",1721,503,450,207,198,283,481,364,280,252,49
"538381",4688,2623,2129,1125,818,1289,2027,1658,1140,1458,229
"1881061",2515,1541,1223,558,463,678,1037,908,589,752,96
"2021862",1509,900,586,342,247,393,625,456,354,433,70
"2590016",724,380,300,176,123,182,279,254,134,197,30
"2587861",655,370,275,138,103,163,304,224,165,203,32
"2587854",171,94,84,46,28,65,83,78,44,60,16
"1674922",207,66,57,44,29,33,45,30,33,42,9
"244592",883,454,342,167,142,182,292,271,168,182,32
"187304",227,112,77,58,39,54,86,51,37,58,14
"1402210",1340,284,299,134,138,227,214,173,150,139,51
"911045",448,257,169,115,78,100,166,127,115,99,14
"1702325",4809,2763,3065,1335,895,1435,2337,1873,1241,1531,238
"444444",2725,1598,1444,669,456,743,1204,910,720,880,139
"395965",2083,1382,955,688,465,629,1028,882,489,674,100
"227605",1858,1235,881,550,439,516,940,770,486,581,94
"569860",1931,1378,962,532,462,594,938,855,436,611,79
"31994",1101,662,518,311,235,356,598,405,272,385,45
"402881",2813,1539,1182,695,610,820,1382,989,595,895,112
"1712261",1625,1060,802,482,382,528,866,655,395,577,84
"1458461",799,494,379,232,162,262,326,298,183,244,25
"94625",9555,505,835,326,529,795,448,1234,246,292,57
"2632610",1480,303,268,121,132,186,276,260,144,164,35
"271865",882,224,215,89,90,135,188,140,115,113,44
"529",1585,165,159,80,68,119,109,108,140,88,18
"419475",384,95,123,50,28,54,80,63,46,74,419
"571256",321,90,105,33,44,56,74,44,56,81,515
"1218315",133,31,8,18,2,8,12,12,8,7,6
"29459",53,22,12,12,8,9,18,11,5,10,2
"235",6,10,3,6,0,3,7,2,2,2,0
"236",8,6,4,0,3,6,6,2,6,0,2
"29461",35,4,7,5,2,1,6,9,2,8,0
"120577",2,4,2,0,1,1,1,3,0,1,0
"36855",3,1,0,0,1,2,0,1,1,0,1
"120576",13,1,0,2,2,1,1,1,2,2,0
"444163",2,1,0,0,0,0,0,0,0,0,0
"239106",403,90,63,39,47,45,56,57,38,42,9
"2304600",3496,2218,1558,831,615,954,1548,1191,798,1103,171
"1798205",773,416,321,173,158,205,330,255,189,237,27
"2528642",1923,1355,967,613,404,649,1032,829,527,688,85
"1686310",383,118,95,57,47,54,108,76,48,59,12
"2759660",100,25,29,11,7,12,24,21,9,14,1
"515256",3,6,0,2,0,1,4,2,0,0,0
"1933904",6,6,1,4,3,4,2,2,4,2,2
"1933910",0,1,0,0,0,4,0,0,0,0,0
"40933",12,3,2,0,0,2,3,0,0,0,0
"2267275",16,15,5,3,0,6,6,5,4,2,0
"1094489",28,15,10,10,4,7,14,6,7,7,1
"52764",8,12,5,3,3,6,3,0,4,1,2
"634504",26,11,4,3,2,1,6,8,4,4,1
"1225179",0,1,0,1,0,1,0,0,0,1,0
"687861",34,10,10,4,3,5,8,4,0,2,0
"774",28,10,5,2,3,1,6,5,4,2,2
"1095900",16,7,1,4,3,4,7,2,2,2,0
"1318743",25,7,14,5,1,4,10,9,5,4,1
"1094491",12,6,4,5,2,4,4,5,1,5,2
"38323",16,6,7,4,0,3,12,1,0,0,0
"85701",21,4,3,3,2,5,11,2,0,4,0
"696125",31,3,5,2,3,3,7,2,0,2,0
"2133959",16,3,0,1,1,2,2,2,0,2,0
"807",13,1,3,1,0,1,7,1,1,2,0
"2764186",3965,2401,9389,3816,4609,5264,8933,11344,2920,6006,587
"2714944",3852,2318,8077,4184,4246,5102,9171,9041,2799,5669,606
"2681549",4610,2161,3049,1672,1532,2237,3293,2566,1727,2392,292
"2714942",2549,2093,3785,2146,2480,3181,5446,3820,1823,4174,559
"2714943",3193,1941,5170,3167,2964,3852,6482,5427,2207,4172,520
"2653203",4572,1859,2586,1483,1520,2152,2870,2137,1265,1834,241
"745310",4278,1660,2311,1421,1354,1776,2696,2039,1434,1803,220
"1327635",3772,1543,2398,1541,1535,1703,2635,1865,1184,1542,221
"2735134",3120,1494,2117,1162,1141,1538,2368,1780,1088,1413,189
"2698679",3352,1494,2276,1441,1358,1745,2656,2177,1101,1791,205
"1938607",3185,1436,2327,1365,1321,1517,2466,1693,1163,1272,211
"2492837",3228,1412,1701,1089,1017,1231,2028,1598,1107,1394,161
"2596913",2887,1409,1995,1175,1139,1684,2246,1694,937,1402,199
"2711156",2956,1330,1685,957,926,1279,1782,1489,952,1318,178
"1523415",2775,1330,1884,1091,1061,1362,2096,1607,842,1226,173
"2219696",3453,1236,1738,1057,1012,1429,2002,1516,881,1230,165
"2599297",3130,1227,2270,900,1068,1283,1887,1322,898,1172,149
"2565555",2032,984,1321,817,682,1071,1430,1191,692,988,116
"1030157",2808,941,1114,690,709,950,1259,1019,668,910,138
"2759526",1989,935,1374,716,736,1013,1445,1090,622,934,130
"1517554",2043,900,1221,765,712,1004,1392,1105,626,854,125
"1390395",1940,821,1035,573,590,884,1270,872,595,807,109
"1517551",1865,808,1093,612,667,866,1263,980,559,747,108
"1961362",1342,510,704,411,337,554,776,602,339,485,57
"2319844",1046,439,583,324,315,401,650,492,292,395,46
"304378",659,349,260,167,128,157,237,190,239,168,41
"1628059",139,25,50,32,9,18,28,37,21,17,5
"849864",11,14,4,3,1,2,0,4,0,1,0
"1381597",125,13,6,11,129,15,5,5,46,3,1
"28214",22,2,0,1,1,2,0,2,2,2,1
"90322",1,2,0,0,0,0,0,1,0,0,0
"386874",7318,6649,10466,5825,8590,8719,20113,10382,3793,8252,1139
"1176646",6884,3351,9069,5114,6340,7146,17223,9459,3564,7414,1023
"1045317",4474,3152,9597,7107,5747,6359,13255,11367,3528,8108,873
"363835",4444,2893,6829,4093,4116,5090,8837,7176,3016,6125,677
"2071607",3533,2710,4599,2826,3102,4144,6633,4674,2452,5180,576
"2594473",2500,2539,3337,2016,2694,3513,5351,3276,1861,4998,494
"392499",1471,380,440,301,262,329,563,408,263,317,59
"653931",5216,2216,2898,1797,1599,2330,3269,2558,1477,1997,293
"1123269",5205,2110,2570,1600,1380,1994,2960,2207,1517,2089,328
"93064",4402,1586,3185,1179,1666,1666,2391,1780,1166,1522,254
"1609977",3376,1453,2087,1288,1218,1535,2279,1641,1000,1297,166
"1549858",2904,1423,1830,1209,1047,1692,2105,1707,956,1368,198
"1560345",3224,1385,1838,1073,1024,1499,1979,1616,961,1213,171
"1813879",2721,1197,1739,1093,989,1570,1935,1596,779,1206,132
"424800",1897,1037,1317,740,773,1108,1516,1134,679,925,137
"13689",2844,1035,1266,827,710,987,1349,1036,664,882,114
"621456",236,57,41,26,12,29,59,45,35,31,1
"2698828",1241,575,710,371,370,534,827,577,379,527,62
"2789327",84773,2856,4784,1816,825,745,1935,1547,3464,1134,606
"627192",3521,1355,1552,869,806,1057,1743,1309,873,1138,189
"1315974",11714,759,1081,607,554,716,954,722,757,643,242
"2676077",4671,740,914,488,584,607,934,698,452,565,164
"2082188",4440,738,875,533,529,541,888,592,536,570,170
"1843368",3484,695,789,428,386,544,717,614,388,488,149
"1855519",10108,695,1382,727,987,871,962,859,584,603,683
"2072936",2347,666,810,529,472,611,1027,754,503,622,121
"2733867",3564,646,704,402,323,430,677,539,359,448,117
"407020",6075,501,782,491,454,449,668,510,316,388,276
"2565554",606,194,214,122,85,107,229,170,95,119,31
"484429",890,101,163,337,66,109,133,106,81,70,14
"520734",1504,91,203,90,107,80,100,104,94,69,15
"2185111",107,16,13,12,12,12,15,7,14,4,1
"13690",8935,1688,1655,918,792,1133,1535,1128,1101,1106,287
"135719",4434,808,1031,541,517,655,946,787,528,612,123
"120107",5109,756,1005,580,549,698,932,796,532,604,164
"690566",7104,682,842,491,486,612,836,587,410,615,190
"1673076",4476,628,765,462,338,463,744,553,429,492,106
"452662",5234,614,823,430,469,979,847,594,420,515,127
"1332080",4637,580,889,500,411,471,836,598,390,479,146
"76947",7310,522,988,566,502,443,645,547,405,435,364
"1208342",1045,120,159,175,68,106,140,104,92,128,19
"1054037",1229,97,146,265,172,94,171,135,95,78,49
"861109",32,9,22,11,3,23,9,14,9,18,4
"56193",32,4,5,8,2,7,3,1,6,3,1
"595605",194,1,0,1,0,0,1,0,0,0,0
"1357916",21483,1708,1453,759,1030,947,1614,1155,815,1088,320
"1874061",10139,1490,970,487,759,662,919,731,459,682,131
"2486273",15000,1261,1172,719,877,790,1368,973,636,956,335
"2565556",53041,1027,1775,627,1726,1008,1238,983,607,1178,303
"292913",21442,965,1181,703,879,915,1363,1029,614,866,130
"1914525",11815,914,1115,616,829,736,1058,845,594,664,146
"1866325",1604,94,159,51,60,72,105,79,69,41,18
"1913578",151,49,59,37,24,36,56,50,14,40,6
"33050",33838,2064,2230,1237,1710,1554,2344,1853,1450,1592,353
"2448440",14299,1206,1216,639,783,757,1162,903,1506,759,121
"2054227",18732,1006,1215,625,934,814,1281,1039,602,823,165
"1515612",14440,876,1112,593,1041,859,1072,838,536,721,208
"317655",9778,766,949,512,707,716,1002,760,506,735,117
"267128",6150,505,677,416,384,403,734,607,342,417,76
"2675225",3404,2337,1978,1060,1254,1306,1941,1615,1082,1439,249
"2571749",3114,1841,1551,833,739,935,1416,1239,986,1014,136
"1609758",2451,1538,1283,765,600,855,1308,1025,681,773,166
"1016987",5433,1067,911,527,479,523,892,720,1702,530,213
"2780074",7220,1015,934,489,473,610,874,784,3724,579,170
"702113",1465,607,503,471,250,330,540,375,710,351,76
"164608",695,438,312,203,142,169,346,212,278,210,36
"158500",3277,2304,1674,1102,779,1011,1569,1262,1003,1036,468
"279238",2642,1438,1409,822,729,852,1477,1180,894,900,153
"1176536",1818,1298,992,527,511,652,1076,808,617,699,107
"1088721",1227,681,524,358,277,307,457,352,391,278,53
"2762748",13004,1467,2374,1257,1216,1655,2350,1786,1091,1469,191
"2711215",2375,1122,1634,795,756,1174,1567,1252,731,1049,133
"941907",6372,2353,4398,2177,2286,3535,4329,3459,3004,3928,490
"2584094",960,484,532,315,279,401,605,444,276,372,54
"2077182",1020,425,585,276,298,372,566,478,315,364,53
"1806885",752,381,441,235,164,287,437,371,209,343,41
"2725558",390,177,184,95,92,130,179,154,78,128,33
"392610",870,307,345,179,176,253,396,277,307,259,41
"2026624",2620,1317,1757,894,891,1188,1965,1369,986,1274,173
"2724527",742,419,488,304,263,350,582,399,263,382,51
"1850238",4089,1680,1875,1072,1048,1553,2269,1677,1100,1576,194
"1842535",1132,362,366,201,202,259,399,346,283,277,53
"1550728",1147,239,329,161,168,202,360,304,407,250,19
"1921510",2643,1040,1377,817,751,946,1567,1209,722,969,124
"1634516",2125,1026,1244,555,566,765,1095,898,535,605,97
"2762729",1677,767,961,540,541,688,1059,859,530,787,84
"2806553",390,199,205,96,101,140,216,160,99,140,17
"120045",127,37,34,18,15,19,27,24,27,24,0
"120044",70,22,38,14,13,14,23,38,20,15,2
"2633097",9116,5070,5843,2663,2667,3195,5097,4247,2714,3484,420
"39960",3298,1812,2000,979,905,1085,1701,1497,904,1139,149
"2739433",1636,809,863,459,434,479,741,579,432,510,82
