"","cuu6M2TOMPOOB051315.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"312153",0,0,0,1,2,1,0,4,2,1,0
"1449778",0,0,0,1,16,0,0,0,0,0,0
"935588",0,0,2,6,2,2,1,2,8,2,0
"2661583",4,5,2,12,6,3,3,11,6,3,0
"669502",0,0,0,1,9,0,2,3,2,0,1
"545908",1,1,1,0,0,0,0,0,0,3,0
"1329969",0,0,1,0,0,0,0,0,2,0,0
"2730846",0,0,0,0,0,0,0,0,0,0,0
"1848517",1,2,1,3,0,6,1,2,0,1,0
"2742646",0,0,0,0,0,0,1,0,0,1,0
"1905288",0,1,2,2,0,0,0,0,0,1,0
"640131",0,0,0,3,0,4,0,0,3,0,0
"2807631",0,1,1,1,2,0,1,0,2,1,0
"2742662",1,0,0,1,1,0,0,0,0,0,0
"2742653",1,3,0,0,9,0,1,2,0,0,0
"184912",0,1,1,2,4,1,1,1,1,1,0
"2683822",0,0,1,0,14,1,1,3,0,1,0
"2742659",0,0,0,0,0,0,0,0,0,0,0
"290339",0,1,0,0,0,1,0,0,0,0,0
"1286170",1,0,2,2,2,0,2,0,0,0,0
"2577118",0,0,0,0,0,0,2,0,0,0,0
"2603836",0,0,0,0,3,0,1,0,0,0,0
"1358422",0,0,1,1,1,0,0,0,0,0,0
"1446701",0,0,0,0,0,0,0,0,0,1,0
"2778655",0,1,2,0,0,0,2,2,0,1,0
"2778657",0,0,0,0,0,0,0,0,0,0,1
"2027293",1,0,0,0,0,0,0,0,0,0,0
"1050617",0,0,0,0,0,0,0,0,1,0,0
"1302410",2,0,1,1,4,0,0,0,1,0,0
"2675774",0,1,0,0,0,0,1,0,0,0,0
"2675773",3,5,9,4,91,42,2,13,13,14,0
"1401254",0,1,0,0,0,0,0,0,0,0,0
"631",5,4,1,4,13,3,2,3,5,4,2
"706191",3,1,1,1,1,5,1,0,2,2,2
"1095774",2,0,0,2,1,2,2,3,0,1,0
"98795",1,1,1,1,3,1,3,4,0,1,0
"2315801",0,2,1,0,7,0,0,1,1,0,0
"1241835",0,0,1,1,1,0,0,1,2,0,0
"118109",2,0,1,1,5,3,3,1,0,1,0
"2518974",1,0,1,1,3,0,0,2,0,0,0
"668607",0,2,1,1,8,0,0,1,0,0,0
"1224152",0,0,0,0,0,0,0,0,0,0,0
"561231",0,0,3,0,4,2,0,1,0,0,0
"598467",0,0,0,0,0,0,0,0,0,0,0
"2027290",2,0,0,0,0,0,4,1,1,1,0
"2633465",0,0,1,0,1,0,29,0,0,0,0
"63612",0,0,0,1,1,0,0,0,1,0,0
"2661587",4,0,1,1,8,5,2,0,0,1,0
"1416915",0,0,0,1,1,0,0,0,0,0,0
"693970",0,0,0,2,1,1,0,0,0,0,1
"399599",0,0,0,3,1,1,0,0,0,0,0
"693973",0,1,0,0,0,0,0,0,0,0,0
"316275",0,0,0,0,0,2,1,0,0,0,0
"80852",0,0,0,0,0,0,0,0,0,0,0
"434270",0,0,0,1,0,1,0,0,1,0,0
"716",3,2,0,3,22,11,2,1,6,2,1
"1433287",0,0,0,1,2,2,0,2,0,0,0
"1222034",0,0,0,0,5,0,1,0,0,1,0
"1275971",0,0,0,0,1,0,0,0,0,0,0
"1263829",0,1,0,0,3,0,0,0,0,0,0
"97084",0,10,0,0,0,0,0,0,0,0,7
"999434",0,2,0,0,2,2,2,1,2,1,0
"545776",4,5,0,1,0,1,1,1,3,2,0
"142",2,2,2,0,0,1,0,2,0,0,0
"1155096",0,0,0,1,1,0,0,2,3,0,0
"412418",1,0,0,1,0,1,0,0,0,0,0
"498738",2,0,0,0,0,0,1,0,1,1,0
"445984",0,0,0,0,0,0,0,1,0,0,0
"445985",0,0,0,0,1,0,0,0,0,0,0
"176",0,0,0,0,5,0,0,0,0,0,0
"44275",0,0,0,0,0,0,0,0,0,0,0
"338215",0,0,0,0,4,0,0,0,0,0,0
"126738",1,1,1,2,0,0,0,1,0,0,0
"590168",0,2,2,0,11,2,2,0,3,0,0
"1307443",0,0,0,1,1,0,0,0,0,0,0
"157688",3,2,2,4,19,2,3,4,1,1,0
"2703941",1,0,0,1,0,2,1,0,0,0,0
"58024",0,0,0,0,0,0,0,0,0,0,0
"2510508",1,0,0,0,2,1,1,0,0,1,0
"2794946",3,1,0,2,1,1,1,1,0,0,0
"10704",0,0,1,2,4,2,1,1,1,0,1
"2301621",2,1,0,0,3,0,6,1,0,0,1
"1873985",0,0,0,0,0,0,0,0,0,0,0
"2713262",2,1,0,0,0,0,0,0,0,1,0
"2662138",1,0,1,1,1,2,0,0,0,3,0
"754070",1,0,0,1,0,1,0,0,3,0,0
"994601",1,0,0,1,0,0,0,0,0,0,0
"2283267",0,0,1,0,0,1,1,0,0,0,0
"2041344",0,1,1,1,2,2,1,0,0,0,0
"2026102",2,3,0,1,0,1,1,0,0,2,0
"641487",0,0,0,0,0,0,0,0,0,0,0
"2656529",0,0,0,0,0,0,0,0,1,0,0
"1414739",0,0,0,0,0,0,1,0,0,0,0
"1131316",2,0,2,0,2,3,1,3,0,1,0
"1587907",0,0,0,0,0,0,0,0,0,0,0
"573591",1,0,1,0,1,0,0,0,0,0,0
"1582151",0,0,0,0,0,0,0,0,0,0,0
"1126885",0,0,0,0,0,0,0,0,0,0,0
"1105171",0,0,0,0,0,0,0,0,0,0,0
"2662295",2,0,1,0,0,0,0,2,0,0,0
"294382",0,0,0,0,0,1,0,0,0,0,0
"741942",0,0,0,0,1,1,0,0,0,0,0
"2599849",0,1,0,0,0,0,0,0,0,0,0
"2059855",1,0,0,0,0,0,0,0,0,0,0
"2079417",0,0,0,0,3,0,0,0,0,0,0
"1500757",1,1,0,0,2,3,0,0,0,0,0
"1161901",0,0,0,0,0,0,0,0,0,0,0
"2725616",0,3,0,0,0,1,1,0,0,0,0
"1718278",1,0,0,0,0,0,0,0,0,0,1
"437329",0,1,0,0,1,0,0,0,0,0,0
"1051143",0,0,0,1,0,1,0,0,0,0,0
"1225862",0,1,1,0,0,0,0,1,1,0,0
"540068",0,4,0,2,1,1,0,0,1,1,0
"540065",0,0,0,0,0,0,0,0,0,0,0
"1993876",0,0,0,0,0,0,0,0,0,0,0
"1993867",0,0,0,2,0,2,0,1,0,0,0
"2560512",0,2,1,0,2,1,0,0,0,0,0
"205876",0,0,1,0,0,1,0,0,1,0,0
"2306284",3,4,1,4,0,0,3,2,0,1,2
"2560783",0,0,0,1,12,0,3,2,61,1,7
"2049886",3,1,1,0,1,0,0,1,1,0,0
"2560594",0,0,0,1,1,0,1,0,0,0,1
"861047",0,0,0,0,0,0,1,0,0,0,0
"466051",1,0,0,0,0,1,0,0,0,1,0
"1954378",0,0,0,0,0,0,0,0,0,0,0
"1954380",0,0,0,0,0,0,0,0,0,0,0
"2734223",0,1,1,0,0,1,0,0,0,0,0
"2733202",0,0,1,0,0,0,0,0,0,0,0
"1982251",0,0,0,0,0,0,0,0,0,0,0
"1982093",0,0,0,0,2,0,0,0,0,0,0
"2560496",1,0,0,3,0,0,0,1,2,0,2
"2169812",4,1,1,3,3,4,6,1,1,1,2
"1982751",0,2,0,1,0,1,1,1,1,0,1
"1982562",0,0,5,1,2,1,0,0,0,0,0
"1920751",0,1,0,1,0,2,1,0,0,0,0
"2560589",0,0,1,0,0,0,0,1,0,0,4
"1636203",0,0,0,0,0,0,0,0,0,0,0
"2734283",0,0,0,0,0,4,0,0,2,0,0
"2560683",0,0,1,0,0,0,0,0,0,0,0
"2560787",6,0,1,0,4,0,28,6,0,1,0
"2560788",0,0,1,0,3,0,1,0,0,0,0
"2560842",0,1,0,0,0,3,0,0,1,0,0
"2560720",1,0,0,0,0,0,0,0,0,0,0
"1982229",0,0,0,0,0,0,1,1,0,2,0
"2734274",0,1,0,6,3,6,3,4,1,5,0
"1982368",0,0,0,0,1,0,1,0,0,0,3
"2560499",1,0,0,0,1,0,0,0,0,2,0
"1982378",0,0,0,0,0,0,0,0,0,0,0
"1982078",0,1,0,0,0,0,0,0,0,0,0
"2734290",0,0,0,0,0,1,0,0,1,0,0
"1406788",1,0,0,0,0,0,0,0,1,0,0
"329254",0,1,0,1,1,0,0,1,0,0,0
"2733205",1,0,0,0,0,0,0,0,0,0,0
"1982106",0,0,0,0,0,0,0,0,0,0,0
"1982239",1,0,0,0,0,0,0,0,0,0,0
"2560486",0,39,2,1,3,0,0,0,0,0,1
"2734261",0,0,0,1,2,0,0,0,0,1,4
"1982554",0,0,0,0,0,0,0,0,0,0,0
"1982557",0,0,0,0,4,0,0,0,0,0,0
"2734246",1,2,0,0,1,2,0,0,3,1,0
"2448213",1,1,0,1,0,0,0,0,0,0,0
"2169655",2,0,0,0,0,0,0,0,3,0,0
"2560703",0,0,1,1,0,0,0,1,0,0,0
"1910992",0,0,1,0,0,1,2,1,1,0,0
"2560656",0,0,0,1,0,0,0,0,0,1,0
"2115965",0,0,0,0,0,0,0,0,0,0,0
"1498228",0,0,0,2,3,1,0,0,0,0,0
"1173297",4,1,0,1,0,1,0,0,0,1,0
"1129194",0,0,0,0,1,0,0,0,0,0,0
"2023998",0,0,0,1,1,0,0,1,0,0,0
"1150991",0,1,0,6,0,0,0,0,0,0,0
"754074",0,0,0,0,0,0,0,0,0,0,0
"754058",0,0,0,0,1,0,0,0,0,0,0
"699370",0,0,1,0,0,0,1,0,0,0,0
"1278479",0,0,0,1,0,1,1,0,0,0,0
"1279082",1,1,0,1,13,0,1,2,0,2,0
"1567014",0,0,0,0,0,0,0,0,0,0,0
"1880590",0,1,0,0,1,1,0,0,0,0,0
"536453",0,0,0,0,0,0,0,0,0,0,0
"536444",0,0,0,0,0,0,0,0,1,0,0
"2588094",0,0,0,0,0,0,0,0,0,0,0
"33771",0,0,0,0,0,0,0,0,0,0,0
"55884",0,0,0,0,0,0,0,0,0,0,0
"2767579",3,1,0,1,0,1,0,1,0,1,1
"137511",0,0,0,0,0,0,0,0,0,0,0
"1560342",0,0,0,0,0,0,0,1,0,0,0
"1458861",0,0,0,0,0,0,0,0,0,0,0
"1913650",0,0,1,0,1,1,1,0,0,0,0
"279006",0,0,0,0,0,0,0,0,0,1,0
"2006136",0,0,0,0,0,0,0,0,0,0,0
"1914851",0,3,1,0,1,5,0,1,0,3,1
"2201163",0,0,0,0,1,0,0,0,0,0,0
"1980950",0,1,1,2,3,0,0,0,2,0,0
"2560301",2,0,0,1,0,0,0,0,0,0,0
"2733083",0,0,0,0,0,2,0,0,1,0,0
"2733081",0,0,0,0,0,0,0,0,0,0,0
"2732975",0,0,0,0,0,0,0,0,0,0,0
"2732985",1,0,0,1,0,0,0,1,0,0,0
"2169990",0,0,0,0,0,0,1,0,0,0,0
"1985292",0,0,0,2,0,1,2,0,1,0,0
"417280",1,1,0,1,2,1,1,0,0,2,0
"2006171",0,0,0,0,0,0,0,0,0,0,0
"1636618",0,0,1,0,0,0,0,1,1,0,0
"2560802",0,0,9,0,1,2,3,0,0,0,0
"2734078",0,0,0,1,1,0,0,0,0,0,0
"1984787",0,0,0,0,1,0,0,0,2,1,0
"2560849",0,0,0,2,3,2,1,0,1,0,0
"1984779",0,0,0,0,0,0,0,0,0,0,0
"2560269",0,0,0,0,0,0,1,0,0,0,0
"1921525",1,0,0,1,1,0,0,0,1,0,0
"2734116",1,0,0,2,0,0,0,4,0,0,0
"115987",0,0,0,0,0,0,0,0,0,1,0
"1231361",1,0,1,0,2,1,2,1,0,0,1
"2734128",0,0,1,0,1,0,2,0,0,0,1
"2752521",0,1,1,0,0,1,1,0,0,0,0
"2734101",0,0,0,0,0,0,0,0,0,0,0
"2734083",2,0,0,1,0,1,0,0,0,0,0
"2734088",0,0,0,1,1,1,2,1,0,1,0
"2734106",0,0,0,0,2,0,0,1,0,0,0
"2560406",1,5,0,1,1,1,0,1,0,0,0
"1921407",0,0,0,4,0,0,0,0,0,0,0
"2560677",0,0,0,0,0,0,0,0,0,0,0
"1918727",0,0,1,0,0,0,0,0,0,0,0
"2560094",1,0,0,1,0,1,0,0,0,0,0
"2560495",1,0,0,0,4,1,0,1,0,0,0
"1987158",0,0,0,0,0,0,0,0,0,0,0
"1983541",0,0,0,0,0,0,0,0,0,0,0
"1636270",0,0,0,0,0,0,0,1,0,1,0
"2725606",0,0,0,0,2,1,3,0,0,0,1
"948071",0,0,0,0,0,0,0,0,0,0,0
"2591033",0,0,0,0,0,0,0,0,0,0,0
"2596674",1,0,0,0,1,2,0,1,0,0,1
"2734259",1,0,0,0,1,0,0,0,0,1,0
"1982591",1,1,1,1,5,1,1,0,0,1,1
"1982592",0,2,1,1,1,0,0,2,0,2,0
"2169962",0,1,0,0,1,1,0,1,0,0,0
"2734190",0,0,0,1,1,0,0,0,2,0,0
"2734189",1,1,0,0,1,1,1,0,1,0,0
"2170216",0,0,0,0,0,0,0,0,0,0,0
"1982596",0,0,0,1,0,0,3,0,0,0,0
"2734160",0,0,0,1,2,1,0,1,0,0,0
"2734159",0,0,0,0,41,10,1,1,0,0,0
"545932",0,0,0,0,0,0,0,0,0,0,0
"1917990",0,0,2,1,2,0,0,1,0,1,0
"1918010",0,1,0,0,2,0,1,0,1,0,0
"1857843",1,0,1,1,3,2,1,0,0,0,3
"298338",0,0,0,0,0,0,0,0,0,0,0
"2732968",0,0,3,1,0,1,1,0,0,0,0
"857312",1,0,0,1,1,0,0,0,0,0,0
"2732932",0,1,0,0,0,0,0,0,0,1,0
"2732931",1,0,0,0,1,2,1,3,2,0,0
"2732694",0,2,0,0,1,1,0,0,0,0,0
"2732693",1,1,0,0,0,1,0,0,0,0,1
"2732690",0,0,0,0,3,0,1,0,0,0,0
"2732684",1,0,0,0,0,0,1,0,0,0,0
"2732937",0,1,1,0,0,0,2,0,0,0,0
"2732939",0,0,0,0,1,0,0,0,0,0,0
"2732918",0,0,0,0,0,0,0,0,0,0,0
"2732925",0,0,0,0,0,0,0,0,0,0,0
"2732913",2,0,2,0,0,1,2,0,0,0,0
"2732912",0,0,1,0,0,0,1,0,1,0,0
"1316739",0,0,0,0,0,0,0,0,0,0,0
"2733951",0,0,0,0,0,0,0,0,0,0,0
"2733942",0,1,0,1,0,0,0,0,0,0,0
"2733928",0,0,0,0,1,0,0,1,0,0,0
"2733926",0,0,0,1,1,0,0,0,0,0,0
"2733919",0,0,0,0,0,1,1,0,0,0,0
"2733904",0,0,0,0,0,0,1,0,0,0,0
"2733896",0,0,0,0,0,0,1,0,0,0,0
"2733894",0,0,0,0,0,0,0,0,0,0,0
"2560297",0,0,0,0,0,1,1,0,0,0,0
"2732017",2,0,1,2,0,2,0,0,0,0,0
"2560651",0,0,0,1,0,0,0,0,0,0,0
"2560546",0,0,0,0,0,0,0,0,0,0,0
"1527770",0,0,0,1,3,0,0,0,1,0,0
"1785960",0,0,0,0,1,0,0,1,0,0,0
"2584487",0,0,0,1,2,0,0,0,2,0,0
"1262513",0,0,0,1,0,0,0,0,1,0,0
"2731621",0,0,0,0,0,0,0,0,2,0,0
"187217",0,0,0,0,6,2,0,0,1,0,0
"2732086",0,0,0,1,4,0,1,0,0,0,0
"1920860",0,0,0,0,0,0,0,0,0,0,0
"2733975",0,0,0,0,0,0,0,1,0,0,0
"150286",1,0,0,0,0,0,1,1,0,0,0
"317878",0,0,0,2,0,2,0,4,0,0,1
"85655",3,1,1,0,1,0,1,0,0,2,0
"2282206",0,0,0,0,0,0,0,0,0,0,0
"261939",1,0,0,0,1,0,0,0,0,0,0
"1273746",2,1,2,0,1,1,4,0,1,0,0
"1454029",0,0,0,0,0,0,0,0,0,0,0
"1592094",0,0,0,0,0,0,0,0,0,0,0
"1859492",0,0,0,0,1,0,2,3,0,0,1
"2010275",0,0,0,0,0,0,0,0,0,0,0
"2005509",1,0,0,1,3,2,1,1,1,0,0
"10275",0,0,1,0,0,0,0,0,0,0,0
"40070",1,1,0,2,0,0,0,0,0,0,0
"10265",0,0,0,0,0,0,0,0,1,1,0
"10282",0,0,0,0,1,0,0,0,0,0,0
"2733296",1,0,0,0,0,0,1,0,0,0,0
"2733297",0,0,0,0,1,0,0,0,0,0,0
"10506",0,0,0,0,1,0,1,0,0,0,0
"113370",1,1,0,0,0,0,2,3,1,0,1
"1146874",0,0,0,0,0,0,0,0,0,0,0
"536079",0,1,0,0,0,0,0,0,0,0,0
"129953",1,0,0,0,0,0,0,0,0,0,0
"1146875",3,3,4,0,5,1,2,0,1,0,1
"190062",0,1,1,0,0,1,1,0,0,0,0
"32613",0,0,0,0,0,0,0,0,0,0,0
"35303",0,0,1,1,0,1,3,0,0,0,0
"1513300",0,0,0,0,0,0,0,0,0,0,0
"11271",0,1,1,1,0,0,1,0,0,0,0
"2560076",0,1,2,0,0,2,1,2,0,0,0
"186458",0,1,0,1,3,0,0,0,0,0,0
"2501972",0,0,0,0,0,0,0,0,0,1,0
"1883068",0,0,0,0,1,0,0,0,0,0,0
"1921703",0,0,0,0,0,0,0,0,0,0,0
"1435457",0,0,0,0,0,0,0,0,0,0,0
"1884456",0,0,0,0,0,0,0,0,0,0,0
"1980533",0,0,0,0,0,0,0,0,0,0,0
"1980517",1,0,0,1,0,2,0,1,0,0,0
"1299308",0,0,0,1,0,0,0,0,0,0,0
"229030",0,0,0,0,0,1,1,0,0,0,0
"1416026",0,0,0,0,0,0,0,0,0,0,0
"2030954",0,1,0,0,0,0,0,0,0,1,0
"349945",0,0,0,0,0,0,0,0,0,0,1
"1206566",0,0,0,0,0,0,0,0,0,0,0
"339419",0,0,0,0,0,0,0,0,0,0,0
"12151",0,0,0,0,0,0,0,0,0,0,0
"312273",0,0,0,0,0,0,0,0,0,0,0
"71030",0,0,0,0,0,0,0,0,0,0,0
"312008",0,0,0,0,1,0,0,0,0,0,0
"445435",0,0,0,0,0,0,0,0,0,0,0
"1324959",0,0,0,0,0,0,0,0,0,0,0
"2364281",0,0,0,0,0,0,0,0,0,0,0
"11041",0,0,1,0,1,0,0,0,1,0,0
"35279",0,0,1,0,0,0,0,0,0,0,0
"2008769",0,0,0,0,0,0,0,0,0,0,0
"39734",0,0,0,0,0,0,0,0,0,0,0
"693995",0,0,0,0,0,0,0,0,0,0,0
"325675",0,0,0,0,0,0,0,0,0,0,0
"2508223",0,0,0,0,1,0,0,0,0,0,0
"12270",0,1,1,2,0,0,0,0,0,0,0
"12258",0,0,0,0,0,0,0,0,0,0,0
"51354",0,0,0,0,0,0,0,0,0,0,0
"1821751",0,0,0,0,0,0,0,0,0,0,0
"138950",0,0,0,0,0,0,0,0,0,0,0
"2003649",0,0,0,0,0,0,0,0,0,0,0
"115232",0,0,0,0,0,0,0,0,0,0,0
"12211",0,0,0,0,0,0,0,0,0,0,0
"526119",1,1,0,0,0,1,0,0,1,0,0
"2065797",0,0,0,1,0,0,0,0,0,0,0
"282786",0,0,0,0,0,0,0,0,0,0,0
"1714367",0,1,0,0,0,0,0,0,0,0,0
"1148491",0,0,0,0,0,0,0,0,0,0,0
"10912",0,0,0,0,1,0,0,0,0,0,0
"10892",0,2,0,1,5,1,0,2,0,1,0
"10981",0,0,0,0,2,0,0,1,0,0,0
"10879",0,0,0,0,0,0,0,0,0,0,0
"2169862",0,0,0,0,0,0,0,0,0,0,0
"1923244",0,0,0,0,0,0,0,0,0,0,0
"1922770",0,0,0,0,0,2,1,0,0,0,0
"1923634",0,0,0,0,0,0,0,0,0,0,0
"1922692",0,0,0,0,0,0,0,0,0,0,0
"1923335",0,0,0,0,0,0,0,0,0,0,0
"1922696",0,0,0,0,0,0,0,0,0,0,0
"1922769",0,0,0,0,0,0,0,0,0,0,0
"1922551",0,0,0,0,0,0,0,0,1,1,0
"1922860",0,0,0,0,0,0,0,0,0,0,0
"1922547",0,0,0,0,1,0,0,0,0,0,0
"1922634",0,0,0,0,1,0,0,0,0,0,0
"1922789",0,0,0,0,0,1,0,0,0,0,0
"1923282",0,0,0,0,0,0,0,0,0,0,0
"1923687",0,0,0,0,0,0,0,0,0,0,0
"1922529",0,0,0,0,0,0,0,0,0,0,0
"1922922",0,0,0,0,0,0,0,0,0,0,0
