"","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"1547283",21,82,538,57,18,40,39,37,34,46,57
"1476025",19,49,491,49,20,23,28,57,34,52,41
"1792192",30,18,822,24,35,155,96,240,53,84,247
"1479",33,19,244,37,21,34,23,40,28,33,29
"1925021",16,20,65,34,10,20,16,27,8,16,19
"1404",4976,5144,93254,10992,2101,3214,2505,38262,5152,12851,36661
"1402861",208,5206,52471,599,156,4486,3351,4053,3382,3595,7771
"412384",103,17,353,114,35,40,58,405,68,185,400
"86664",33,75,836,83,24,43,114,129,55,80,148
"2675274",1264,1556,5815,225,176,589,468,233,792,440,737
"152268",39,189,1494,93,40,108,121,83,94,43,97
"79885",305,33,282,27,14,30,61,34,20,33,31
"199441",33,31,352,46,12,26,25,33,22,27,38
"79880",313,287,1643,1418,140,816,461,2926,733,1165,3088
"86665",36,57,291,77,36,55,48,43,52,74,41
"300825",12,20,113,32,19,26,14,60,27,122,126
"2598861",10,10,98,42,6,31,16,33,29,26,51
"129338",176,109,230,187,184,148,136,167,110,211,121
"2642459",137,93,366,186,141,134,100,115,105,188,148
"1422",77,64,154,96,76,82,57,78,45,105,72
"1505648",73,47,99,61,53,71,50,46,34,64,73
"1921421",76,116,249,134,100,99,87,94,62,119,93
"33940",6,8,27,12,16,6,14,4,9,16,6
"213419",6,5,9,4,6,9,9,4,7,5,2
"1478",530,101,433,91,65,104,85,90,123,129,111
"228899",44,132,1900,688,114,269,226,505,237,482,512
"421767",62,43,452,65,53,68,50,65,38,77,79
"264697",42,28,191,47,28,43,32,58,41,78,60
"1407",14,48,430,34,32,27,22,54,26,62,52
"2502791",113,38,127,51,55,58,49,38,43,61,38
"2698411",67,64,384,71,46,55,46,101,45,85,118
"2099786",33,22,113,22,27,17,17,21,18,32,16
"129985",126,381,15819,171,50,117,131,118,145,97,83
"279826",92,161,1544,198,363,493,451,162,418,364,196
"1740721",118,168,831,2954,89,108,143,5720,569,758,2222
"1193713",87,116,772,233,53,91,79,290,143,164,175
"1215031",4,8,61,13,8,10,8,5,10,10,13
"2636778",86,168,1908,190,54,123,116,176,89,116,254
"28031",29,51,396,34,18,38,15,45,26,33,43
"1421",12,29,208,20,20,29,26,35,19,31,31
"2086577",15,101,3586,109,14,64,63,73,46,39,81
"1145276",5,1,20,1,0,2,1,1,5,2,2
"746691",101,175,946,117,15,497,154,201,176,34,582
"182710",26,249,5022,187,40,120,61,111,53,57,219
"2052660",26,39,626,45,28,41,34,46,33,56,69
"2620237",41,117,1526,79,50,69,59,111,59,78,106
"163877",18,73,679,27,18,14,18,31,20,24,52
"1482",16,47,1212,32,11,24,21,30,12,21,26
"2017483",20,98,789,27,9,23,11,43,17,35,50
"302167",6,23,132,13,5,6,8,7,5,7,10
"1473",0,10,263,9,1,2,4,0,2,0,6
"1398",153,102,537,147,174,158,108,122,102,188,152
"665099",91,4062,33705,492,560,2068,1589,1150,1138,901,1583
"859143",20,85,712,69,17,31,29,75,39,26,49
"2639704",38,40,244,59,32,37,37,53,33,44,34
"247480",31,39,230,46,43,29,23,39,18,41,56
"294699",23,27,194,33,32,45,29,35,26,31,41
"33934",24,16,136,31,12,13,10,26,13,24,35
"198467",0,5,22,3,2,2,2,4,2,7,1
"196180",2,5,16,5,3,1,3,3,3,11,1
"255247",45,97,286,46,49,61,92,42,56,38,177
"1221500",28,35,208,25,39,24,26,26,26,29,67
"386490",115,136,3944,798,957,732,740,581,346,583,784
"402384",22,103,564,32,13,19,18,19,18,28,32
"45668",22,100,586,32,12,20,24,26,17,15,30
"1570",30,77,622,30,11,21,24,27,12,26,34
"2614679",46,72,512,46,35,51,48,27,37,62,35
"1472767",17,127,713,32,24,36,14,26,15,40,43
"35841",49,37,355,49,23,25,31,52,59,52,37
"1230341",35,65,291,41,41,63,56,70,27,49,60
"1295642",26,21,118,45,32,38,31,27,26,33,28
"1426",15,10,43,11,8,14,20,4,15,26,9
"153151",2,6,24,4,4,2,2,5,1,3,6
"2625209",33,258,1100,35,23,55,28,71,32,41,143
"2628296",26,75,619,45,39,42,49,57,30,51,52
"2651280",20,27,321,33,12,27,13,26,15,33,27
"2283160",18,63,366,35,26,55,28,36,26,42,47
"2636677",3,8,98,8,3,7,4,5,2,4,7
"2636913",15,55,504,37,40,35,28,35,20,51,74
"33936",32,35,276,52,18,27,21,33,33,58,41
"1532552",18,48,329,39,17,24,28,38,46,42,47
"1449",10,81,705,19,5,19,6,22,13,20,24
"2594883",16,58,387,22,10,21,14,28,18,21,40
"1467",14,53,520,25,26,33,19,47,30,44,42
"2213194",12,43,390,26,14,31,15,19,11,19,37
"1028381",0,1,1,2,0,0,0,0,0,0,0
"185978",3879,3853,15576,5443,4362,4776,3579,6090,3705,6168,5629
"61624",818,529,1305,777,876,883,732,1089,739,1186,771
"2704462",399,280,762,555,439,438,310,458,283,586,435
"44251",310,161,418,249,187,234,168,180,166,293,185
"2704463",251,185,452,252,225,230,185,243,171,303,252
"49283",202,185,491,294,259,287,248,302,183,361,238
"562959",240,204,629,369,253,254,212,989,1159,349,521
"1126833",213,167,432,263,214,185,166,235,148,250,228
"79263",179,136,436,239,175,159,174,205,136,248,212
"375489",156,140,408,189,142,166,137,186,116,174,204
"1870820",135,134,1300,264,134,175,114,458,134,317,348
"169760",141,131,390,212,129,184,164,222,120,267,211
"1406",114,190,632,147,132,101,80,117,113,157,105
"248903",157,105,867,187,218,112,98,204,171,181,280
"2495582",117,102,344,138,122,156,126,128,91,175,141
"365617",114,85,235,179,138,137,124,145,90,168,127
"682956",98,50,155,49,45,47,32,52,51,78,49
"414771",90,82,254,114,107,114,80,102,85,147,107
"162209",106,73,448,146,107,142,110,114,92,169,98
"2509456",72,57,344,115,77,98,70,78,80,127,108
"2044880",109,159,276,103,97,97,77,87,66,130,86
"2707005",70,55,226,67,74,97,96,51,65,103,47
"1619311",68,47,171,103,90,88,87,109,59,132,83
"1462996",72,69,255,75,67,68,61,91,70,120,86
"160799",70,60,173,77,90,69,42,48,65,98,58
"1178515",70,77,247,98,97,67,54,80,64,72,69
"1473112",67,54,206,75,56,83,49,65,50,100,56
"44250",46,51,242,87,52,57,54,73,35,62,60
"189425",62,37,126,60,47,44,30,57,52,95,53
"1616788",48,42,198,95,54,78,62,54,58,76,65
"1338368",42,48,247,71,30,44,34,52,29,45,45
"1401",52,80,1745,193,136,233,174,380,218,350,270
"683737",39,50,195,65,43,46,47,85,45,122,82
"1778678",50,24,208,48,54,57,34,44,38,68,36
"1464",41,51,214,49,40,37,25,52,31,49,32
"189426",19,23,130,35,34,24,23,34,17,39,34
"172713",34,48,116,45,52,47,34,69,37,73,72
"198119",33,38,132,57,41,36,31,44,33,42,49
"1712516",40,47,246,42,39,46,36,57,35,61,61
"528191",44,60,85,28,26,30,37,40,31,55,36
"159743",36,42,99,24,21,17,17,25,22,46,27
"253703",23,10,131,17,22,14,11,20,15,20,30
"128574",30,24,85,35,37,39,27,33,30,76,35
"1763538",21,26,137,17,27,24,25,27,34,53,27
"59893",12,25,28,10,4,8,9,8,5,16,14
"59843",8,10,94,12,3,5,3,9,7,14,8
"2684853",693,404,1103,582,592,601,482,525,518,740,524
"51101",193,176,703,236,222,253,195,267,162,312,230
"1393",119,104,1268,181,151,195,127,127,120,185,109
"54911",110,152,4706,408,143,144,126,184,362,190,143
"1465",35,45,263,35,26,34,31,58,24,40,48
"54913",22,20,188,35,24,23,18,23,12,25,27
"2636738",526,482,1748,684,572,553,455,576,398,739,539
"2674991",370,256,768,523,387,381,337,432,324,584,384
"2507935",33,44,169,40,39,29,25,34,24,48,23
"377615",595,460,1101,742,621,603,466,683,457,788,620
"2583377",451,289,721,493,485,462,378,477,361,597,429
"55079",71,152,579,176,123,156,110,156,131,182,127
"1471761",5132,257,300,5798,120,134,122,372,328,340,236
"714067",133,90,222,577,163,129,104,127,147,204,110
"1380685",25,21,135,70,29,24,16,26,17,36,31
"2490858",191,150,210,233,211,210,171,239,171,262,162
"2026",141,49,1127,140,42,49,60,64,107,73,70
"37482",108,117,234,149,116,108,74,108,151,105,98
"405212",715,599,876,884,924,907,700,829,624,1166,837
"471514",174,102,301,200,214,211,137,174,175,209,160
"2622400",76,71,166,92,90,92,70,91,80,78,95
"1903704",422,342,1149,569,580,539,401,523,353,664,451
"1214604",132,162,465,227,207,161,144,183,131,254,202
"2055160",109,88,151,163,153,132,118,141,101,164,121
"33943",73,58,120,109,86,101,78,64,66,93,71
"2677223",59,51,119,82,54,76,60,53,50,83,75
"2662419",112,78,444,118,100,134,112,106,87,142,94
"1038856",68,60,214,89,55,92,54,91,59,93,96
"1499687",49,29,169,54,38,50,41,47,31,63,151
"200991",36,30,90,37,32,67,38,28,31,50,30
"1176255",33,28,85,36,29,38,28,36,21,41,52
"192421",28,21,99,32,25,18,19,16,18,31,18
"161360",15,12,135,16,21,13,13,14,13,26,19
"414778",10,16,123,7,9,18,12,13,13,20,16
"1302659",12,16,94,13,9,15,9,10,11,17,10
"1215089",13,12,79,11,15,16,13,18,8,12,13
"1374",5,4,16,8,5,5,0,4,6,11,1
"1598147",3,4,28,5,3,1,3,7,2,4,4
"2647733",100,89,823,92,68,63,63,114,61,91,84
"1571",65,59,438,77,64,87,53,48,56,95,62
"298596",11,26,170,22,10,19,9,24,20,14,16
"1474",5,26,130,16,7,9,10,18,6,17,24
"1476",5,10,42,2,4,1,1,7,16,3,4
"76853",51,136,607,61,18,28,49,59,29,16,57
"2637870",13,25,251,41,10,16,8,26,15,29,34
"51173",50,31,305,42,9,22,11,16,22,14,19
"367743",39,22,225,26,10,15,24,22,23,20,16
"459472",55,39,207,63,51,45,44,54,34,68,46
"417367",41,30,252,40,23,44,37,31,30,39,21
"2642018",9,17,196,21,13,17,11,19,16,16,22
"2644826",5,281,142,13,20,41,21,13,11,17,15
"1650",6,12,139,19,7,11,1,15,16,11,12
"1508404",20,31,208,34,29,28,24,26,27,34,28
"241244",12,19,201,23,15,18,8,25,20,23,21
"2617942",14,25,258,19,16,23,12,23,19,18,20
"1282",39,28,143,26,32,36,36,21,37,37,29
"1280",25,68,378,40,31,36,35,43,36,64,65
"1283",6,22,93,21,15,20,9,17,13,34,19
"214473",4,31,1068,8,6,14,7,4,8,8,10
"1288",7,204,72,8,4,217,110,8,6,10,20
"91994",10,18,129,17,13,14,13,16,9,25,8
"2815305",20,12,106,19,34,25,24,7,19,28,22
"170573",9,6,73,12,4,9,11,14,8,6,6
"155085",9,10,43,8,8,8,11,8,5,10,10
"45972",8,7,45,3,8,7,8,9,11,9,15
"2044912",7,5,49,7,6,7,5,14,8,17,12
"29388",5,11,64,11,8,8,5,4,8,8,10
"1290",9,9,91,6,6,12,4,6,7,7,13
"29378",6,198,132,4,5,7,3,6,7,8,90
"28035",7,8,53,8,9,8,7,9,4,5,20
"70255",0,1,22,5,4,1,3,2,4,10,6
"1294",2,7,38,12,4,4,7,4,7,2,7
"33028",7,6,58,8,5,9,3,5,1,7,2
"46126",5,6,65,7,8,9,7,5,3,10,11
"2282419",3,40,40,7,6,16,12,7,4,6,9
"1292",7,2,22,3,5,0,4,2,4,6,8
"985762",5,5,37,8,1,4,1,3,5,8,5
"29385",5,70,153,7,13,11,6,11,10,10,5
"1295",6,5,22,5,8,7,2,7,6,8,5
"1286",8,13,73,19,3,6,7,9,2,4,7
"308354",11,8,92,14,8,8,1,8,9,9,14
"29379",4,3,49,3,1,10,5,8,0,9,12
"1284",7,5,245,10,6,4,3,5,1,3,7
"46127",1,15,64,5,3,0,4,10,6,3,13
"29382",2,9,110,5,3,6,5,7,1,6,5
"29384",3,7,31,4,3,4,5,3,4,5,4
"985002",3,1,7,2,1,1,1,1,1,1,2
"29380",3,8,37,8,3,4,2,2,2,4,7
"2781774",5,2,31,4,2,3,0,1,1,4,5
"1654388",2,0,19,1,1,1,2,5,1,4,6
"1281",2,10,42,4,6,3,4,6,1,8,4
"61015",3,6,26,7,3,3,2,10,3,11,6
"246432",3,3,47,8,4,7,3,2,2,3,6
"1461582",38,64,199,38,33,42,26,29,18,28,19
"946432",2,29,101,3,5,8,11,6,5,9,8
"69966",5,11,71,5,9,12,4,13,6,10,5
"1855823",24,14,105,18,12,19,20,14,18,27,17
"2619255",0,1,8,1,0,0,1,0,0,1,1
"1903056",0,2,38,0,1,0,1,1,1,1,0
"1296",15,855,368,18,6,520,192,34,30,22,39
"71237",2,13,74,5,5,5,4,9,4,12,3
"42858",3,228,297,4,3,8,3,9,5,8,6
"150056",4,3,25,6,4,3,0,6,8,3,1
"643214",6,5,54,6,5,4,6,6,6,5,8
"407035",19,44,377,19,33,37,17,26,27,26,36
"1817405",3,12,110,6,3,6,5,10,3,6,12
"33986",274,254,851,375,299,307,276,371,235,411,384
"1378",22,29,167,21,29,19,27,35,29,24,30
"1639",27,101,1671,67,39,35,36,63,24,54,61
"1638",10,8,117,13,11,12,10,13,2,13,11
"1006155",15,6,69,12,10,9,7,10,12,12,13
"1640",3,11,39,13,7,9,4,10,6,10,7
"1641",9,12,95,11,9,12,10,10,14,16,5
"1642",3,9,277,7,4,5,5,7,5,5,5
"2642072",9,9,114,5,6,14,9,18,7,17,26
"1643",12,7,107,22,11,7,3,9,2,12,8
"2756",5,10,84,5,5,5,5,5,6,9,12
"269673",46,41,158,49,45,43,51,44,31,59,59
"1584",75,54,110,67,103,75,75,67,69,123,60
"2620435",24,21,71,32,18,20,13,17,13,22,15
"47770",9,184,251,10,7,9,5,10,6,10,6
"227945",4,5,21,3,2,5,1,2,2,6,3
"83683",3,6,9,8,1,0,3,3,3,4,1
"1579",3,11,12,4,1,7,2,1,4,7,6
"33959",3,158,115,10,7,11,9,6,7,12,11
"1600",7,9,31,0,7,7,6,5,8,9,6
"109790",2,8,30,10,8,5,3,1,6,10,7
"147802",8,5,27,12,5,6,4,13,11,10,7
"303541",10,1,14,3,2,1,3,1,8,1,5
"1587",0,121,35,4,6,10,4,8,2,13,5
"1604",6,78,27,8,7,12,6,12,5,8,8
"1218494",0,0,13,2,1,1,6,0,1,2,2
"267818",2,9,7,4,4,2,2,5,3,6,8
"1218493",3,2,12,6,1,2,2,3,2,1,5
"2269374",6,0,12,7,3,2,5,5,3,3,8
"1596",1,4,12,5,8,3,4,1,2,2,6
"508451",1,5,13,4,1,2,1,0,1,1,1
"2107999",5,1,1,2,2,1,3,1,0,1,1
"267363",60,50,79,85,66,92,51,76,51,79,80
"1580",52,43,70,49,42,66,46,39,45,100,45
"2292255",16,27,32,28,22,24,17,26,16,28,23
"637971",13,12,38,22,26,25,12,19,11,26,17
"1613",48,43,74,73,68,95,125,71,35,84,72
"35787",57,58,75,44,64,83,60,40,33,60,58
"97478",15,18,36,34,39,34,28,16,22,47,23
"1598",10,93,169,15,15,19,11,18,13,23,20
"227942",5,4,18,6,3,9,8,5,10,6,3
"1633",2,31,37,8,6,1,2,2,2,4,6
"104955",6,6,13,2,2,2,5,3,2,3,4
"1582",24,14,43,33,12,20,18,31,11,33,28
"47715",16,17,68,45,27,20,34,17,27,59,29
"88233",25,16,43,41,21,21,14,14,8,19,15
"1597",14,15,34,16,23,22,13,17,9,21,13
"57037",12,7,21,9,13,9,10,11,4,23,12
"1583",15,13,329,21,16,173,155,6,12,10,13
"137591",20,28,114,15,17,29,41,7,8,8,13
"2506420",12,10,30,16,13,16,8,12,9,18,14
"155866",9,7,22,12,13,12,8,11,6,12,11
"1631871",4,4,30,3,5,8,0,2,1,2,4
"46256",4,3,14,2,2,1,2,2,4,3,6
"1162633",3,1,16,5,1,4,0,5,1,7,8
"759620",4,2,21,3,5,6,8,5,4,4,9
"1629",4,4,22,6,7,5,0,3,6,5,12
"1249",5,5,61,10,4,9,13,5,5,12,4
"2683241",2,4,5,4,0,2,1,1,2,10,1
"304207",62,53,127,87,85,68,44,59,61,70,62
"1589",29,32,75,29,28,24,22,27,29,60,33
"1590",18,42,107,18,23,30,39,20,48,64,26
"60520",12,8,26,9,8,14,10,4,7,8,7
"1245",10,3,34,11,5,22,8,12,8,13,13
"1244",10,7,26,10,7,11,6,10,4,16,11
"1246",7,4,23,9,11,9,3,7,8,13,15
"1252",6,0,8,5,1,2,2,2,2,5,3
"33964",1,3,3,4,4,14,2,1,3,5,1
"1511761",4,3,6,6,0,2,4,1,3,13,1
"33968",0,4,24,2,1,41,5,3,4,10,2
"136609",0,0,1,1,0,1,0,0,0,0,0
"1622",3,7,20,5,8,6,7,6,12,8,8
"1623",13,10,37,24,10,16,8,14,12,22,22
"1624",9,125,105,18,8,7,13,8,12,12,19
"1605",4,6,12,5,8,14,16,11,6,10,7
"228229",4,7,25,3,10,4,3,6,8,9,5
"89059",13,5,22,17,17,12,5,5,5,10,5
"1601",11,19,20,6,13,5,8,11,2,3,10
"1581",22,8,26,14,23,13,12,11,5,24,11
"152331",3,10,18,15,3,10,11,6,3,10,9
"1588",10,10,42,11,11,8,2,12,6,15,10
"33962",2,6,16,8,3,11,6,9,7,5,5
"1138822",3,5,8,8,2,3,5,2,3,3,7
"1255",6,6,22,21,4,10,1,12,4,9,10
"1670797",18,12,40,16,25,13,14,12,8,34,24
"114090",4,5,23,7,2,1,3,6,3,8,10
"51663",2,3,19,5,7,8,2,4,4,20,9
"187452",7,4,14,8,6,4,1,5,3,6,4
"1599",11,7,72,20,17,15,12,9,3,18,20
"164393",1,5,19,6,11,10,5,5,1,4,3
"28038",8,8,24,12,13,11,6,15,15,7,14
"60519",2,2,22,5,4,3,5,5,3,10,7
"2203724",10,10,16,6,1,5,12,5,2,12,4
"1247",13,11,15,13,8,2,6,8,4,20,7
"336988",12,5,17,6,14,12,6,4,4,8,7
"2636988",2,4,22,0,5,5,0,6,6,14,6
"1847728",4,3,17,0,5,7,2,1,4,6,3
"938155",4,5,4,6,5,10,2,2,3,3,3
"1612",2,2,7,7,2,4,4,4,4,3,4
"2304606",8,1,14,2,3,5,2,9,3,9,6
"1602",3,1,11,3,7,2,4,3,3,4,4
"83526",2,4,10,9,4,5,2,1,6,4,2
"392416",5,4,20,3,6,4,1,1,1,9,4
"2714036",2,4,9,3,0,5,4,2,4,5,5
"1007676",3,4,37,5,5,5,2,6,1,7,5
"1074467",2,2,13,6,3,7,1,4,2,9,5
"1607",7,17,38,13,9,11,16,11,4,15,6
"1610",12,16,47,17,19,12,16,23,10,28,17
"375175",8,3,16,8,8,6,12,5,5,13,10
"240427",24,11,30,26,33,27,26,14,10,23,19
"176292",10,0,18,3,7,11,5,7,4,18,5
"231049",17,4,58,27,17,17,18,16,9,25,17
"468911",1,2,26,6,5,14,5,3,3,6,5
"82688",2,7,26,7,6,6,7,3,2,1,3
"1618",6,5,37,10,3,1,1,7,4,1,4
"1720083",4,8,30,8,8,7,5,13,4,5,11
"1296540",5,3,9,17,8,7,6,2,5,9,4
"293371",5,1,20,9,7,3,0,3,4,1,6
"1193095",3,3,15,10,3,8,2,8,1,7,3
"1614",4,1,16,9,1,2,0,3,4,1,6
"53444",1,2,12,7,1,0,1,3,3,3,3
"1625",4,3,11,7,1,3,0,0,1,1,1
"51664",2,12,48,11,4,2,0,7,1,5,3
"148814",2,2,14,5,1,1,1,4,1,3,2
"2419772",0,7,25,4,4,2,2,1,3,3,6
"1603",9,16,29,7,10,8,7,7,8,13,4
"1303590",3,1,21,8,2,3,5,6,2,2,8
"2608887",31,27,104,39,30,31,37,28,24,48,28
"1307",38,32,142,40,49,41,25,33,31,60,49
"119603",25,20,83,24,35,12,20,17,19,30,25
"2173853",18,8,32,8,7,14,15,22,14,18,9
"1305",17,18,73,32,29,42,27,20,22,35,25
"1303",9,7,71,14,13,14,12,17,10,18,19
"671232",7,6,35,10,13,12,5,11,15,21,19
"1302",13,7,40,19,6,13,8,7,8,12,16
"1308",6,3,17,8,7,10,2,12,6,15,6
"1310",7,6,20,10,6,6,1,6,7,26,5
"1313",7,5,44,11,9,20,9,7,9,18,12
"1309",8,7,30,4,2,7,7,10,6,14,8
"1811193",9,11,25,11,5,0,3,3,2,4,7
"28037",7,10,26,12,3,10,6,13,12,6,8
