"","X0n7bM2TOMPOOA100365.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report"
"1325107",2156,1595,3038,2680,782,766,1793,1029,1005,788,1451
"1549949",1958,1526,3383,2808,815,733,1531,925,1095,820,1424
"1404367",1958,1463,3257,3897,730,759,1448,780,971,656,1356
"1404864",1949,1409,2561,2430,650,698,1123,753,872,676,1252
"858423",1921,1439,2573,2519,718,647,1279,819,916,645,1310
"1325090",1828,1386,5234,2717,943,904,1395,1036,938,731,1486
"83627",1818,1316,2502,2018,725,692,1073,837,884,665,1356
"1325115",1664,1271,2517,5393,658,584,3269,790,833,628,1372
"1325095",1641,1234,2325,2056,601,608,1025,723,811,578,1229
"1404768",1262,940,1758,2858,467,469,914,516,541,436,840
"244734",1141,797,4139,1476,426,408,707,502,561,564,865
"931866",475,339,537,470,140,136,253,153,166,134,258
"1275962",30,19,100,17,19,15,17,7,31,23,29
"1867715",4149,2395,10143,2710,2784,1644,1281,1615,1915,1315,2341
"2020412",3371,1828,6887,1956,1477,936,1005,1139,1281,1000,1870
"2599640",3221,2047,5008,2328,1886,1292,1258,1524,1821,1292,2252
"1842539",2802,1786,4036,2300,1562,1240,1090,1438,1642,1112,1926
"2015316",2517,1656,5952,2210,1555,1093,1006,1160,1371,1201,1858
"1792307",2293,1483,3155,1520,1138,955,863,1041,1246,841,1543
"1526658",2546,1725,3969,2092,1358,1128,1008,1284,1425,1082,1879
"316058",2819,1811,4542,2354,1074,1086,1156,1152,1301,1211,1951
"316055",2576,1610,4173,2027,907,933,937,960,1113,1028,1605
"316056",2462,1630,4478,2046,884,924,1116,985,1099,1059,1762
"652103",499,313,1064,440,207,204,201,221,236,181,371
"395960",404,282,780,390,184,185,176,214,289,164,300
"2592814",75,44,120,39,27,32,25,42,35,27,50
"2592817",21,16,62,21,4,12,12,3,13,7,18
"2592815",15,19,30,37,18,21,18,22,19,16,30
"2592816",13,9,9,6,4,6,6,7,5,4,5
"943830",2191,1506,4461,1849,801,751,899,890,985,984,1454
"1882747",2603,2072,3199,1553,701,642,1060,866,946,697,1442
"504832",22,11,123,13,14,12,13,11,18,26,13
"1333996",3845,2621,4269,3240,1276,1390,1305,1348,1614,1298,2144
"323097",2009,1464,44838,1866,854,729,1127,1239,993,2888,1318
"323098",1429,1121,63896,1415,842,640,682,719,759,1190,1252
"675281",3747,2145,13529,2904,2232,1511,1322,1718,2118,1749,2348
"2584466",2782,1484,17587,2557,1425,980,937,957,1277,1743,1813
"2108445",2066,1370,11218,1337,1053,677,504,644,947,885,1029
"2082387",1909,1022,8908,1865,927,736,629,661,855,992,1123
"2493672",1613,924,4921,1185,766,628,707,702,754,1333,1003
"2493673",1607,1029,4942,1460,825,707,906,787,917,1472,1301
"2493676",1546,903,5479,1307,690,588,595,644,801,1165,973
"2493668",1542,829,4151,905,740,556,489,666,792,727,784
"2777475",1541,1012,6353,3683,865,689,1411,1005,820,6131,1808
"2493680",1513,1547,4601,1296,705,955,700,1152,726,1272,2039
"2493675",1454,852,4351,1057,627,562,503,583,701,797,835
"2744518",1453,853,5048,1189,740,578,537,670,810,902,932
"2744521",1438,946,4039,840,766,650,504,733,833,744,910
"2493669",1402,898,4857,1229,698,590,710,728,717,1246,1049
"2654248",1391,798,5794,977,704,497,491,613,750,695,863
"2493677",1076,696,3471,858,564,504,435,522,660,573,748
"2493679",899,578,3481,829,479,379,349,412,469,566,604
"2493678",836,513,3592,724,430,360,311,355,476,483,575
"2493671",831,491,2864,1027,425,350,669,379,410,1507,663
"2654249",804,435,3333,484,392,267,212,254,347,372,450
"2483404",783,526,3032,665,398,341,373,384,417,487,594
"2493681",773,475,2825,625,394,300,307,356,386,447,532
"2744523",771,422,2533,538,533,420,265,415,480,318,542
"2744516",718,410,2459,656,339,329,285,347,408,413,472
"1854057",701,476,1765,418,401,273,263,373,372,392,412
"2744522",670,405,2310,439,355,345,215,268,371,274,417
"2483403",568,321,2274,459,267,243,226,255,300,319,409
"2744517",538,324,1741,462,286,249,259,253,262,325,396
"2493674",438,250,1376,570,236,189,336,243,242,743,391
"2493670",397,269,1412,539,190,167,279,210,213,677,345
"2744515",193,115,635,149,75,77,64,83,86,105,117
"278153",147,118,519,91,113,78,63,87,113,92,122
"2744520",107,62,407,82,57,45,51,39,37,59,69
"2744519",100,69,224,38,64,56,37,77,54,47,60
"2483402",73,45,174,54,29,19,26,35,47,43,43
"1670800",2876,1629,9483,1960,1585,1164,865,1110,1564,1265,1659
"1082933",1432,842,5334,1062,693,567,477,608,757,718,949
"935548",789,506,2847,644,387,328,296,339,481,384,522
"935546",107,56,334,77,70,41,62,62,59,43,84
"682633",717,470,1440,350,350,320,236,353,412,311,466
"278148",186,100,657,188,113,98,93,97,113,94,172
"754035",1062,630,3559,792,512,428,399,503,575,558,713
"536019",1016,552,3513,920,515,402,397,441,530,575,696
"1777866",809,465,3031,687,431,334,333,376,423,461,563
"763057",78,56,315,57,32,39,34,45,43,67,96
"266835",209,125,628,144,94,71,124,76,82,102,121
"2725666",93,66,860,60,34,40,30,40,44,80,55
"2774562",2408,912,4500,275,222,163,120,191,194,158,271
"374606",2241,1249,21367,1351,1050,780,575,757,977,894,1216
"2666139",510,284,1926,144,123,72,64,98,91,117,142
"83263",723,374,2260,174,130,118,90,124,175,125,166
"266779",6197,2603,4396,1345,3756,959,804,4604,4962,16274,993
"2599600",2386,1395,7210,1842,1331,1105,795,1039,1313,1130,1690
"1756988",1180,705,4065,907,620,471,396,483,663,621,830
"1852022",1781,1156,3716,1598,974,973,828,936,1169,941,1509
"1620421",837,528,2102,681,446,409,308,404,521,405,610
"411684",765,495,2002,614,392,348,258,330,418,314,511
"2742145",1370,814,2968,1104,695,603,483,582,761,615,945
"1867719",839,585,2480,654,475,375,291,459,498,450,637
"2718938",496,333,1411,344,202,191,169,218,233,182,327
"2712698",538,404,1138,478,258,252,196,255,253,322,436
"2305987",43,44,79,31,14,19,22,19,23,17,30
"2613769",10462,6803,40086,11020,5384,4655,4400,4923,5795,6018,8082
"384",5446,3422,13769,4685,2686,2437,2356,2863,3079,2598,3993
"29449",2081,1392,3886,1421,774,695,669,813,895,935,1126
"348824",1151,703,2656,986,530,485,461,490,623,492,807
"396",1086,617,2401,732,442,384,412,404,441,507,646
"1312183",1004,636,2622,1006,482,449,495,519,561,507,789
"379684",921,614,4533,1245,639,471,371,538,621,486,812
"1138189",722,482,2065,680,385,361,297,391,426,388,600
"56730",717,512,1618,631,449,374,286,456,498,404,530
"1138194",676,467,1573,602,329,338,246,292,352,299,498
"293958",666,475,2110,668,314,321,281,330,385,348,479
"1138190",660,358,1406,468,296,251,243,265,297,284,400
"398",615,380,2131,856,330,237,290,288,373,370,465
"1368430",584,367,3850,566,301,261,209,272,327,329,442
"451876",548,326,0,591,428,226,187,247,274,445,372
"240521",494,318,2669,545,290,241,223,254,337,260,434
"2583231",401,241,800,313,186,184,161,186,207,190,268
"1335061",368,238,2041,518,338,255,157,234,355,221,330
"1538158",365,199,882,309,176,147,130,160,162,167,212
"2267833",333,238,1351,356,224,165,134,146,225,191,231
"648995",242,183,1458,245,378,127,109,134,128,144,209
"1538159",108,78,378,125,61,44,52,43,77,56,93
"2081791",101,58,195,77,31,40,39,43,48,41,56
"448181",3,3,221,8,15,0,4,4,5,11,5
"1183400",3249,2116,26597,3391,11036,1439,1341,1626,1863,1574,2648
"373",1138,848,4166,1140,573,603,443,577,648,558,916
"2632611",1010,590,7914,1062,990,532,463,506,721,530,873
"359",684,348,2214,553,317,272,238,282,318,238,426
"28099",416,284,1499,445,251,166,170,240,258,255,392
"160699",383,248,1636,399,241,188,175,202,241,202,338
"1183412",1,1,103,5,5,3,0,0,2,8,3
"399",2125,1395,37853,5342,1316,980,1017,1151,1229,994,2335
"2629175",1701,1010,6961,2892,1139,811,803,869,1160,925,1880
"1125847",160,84,1078,180,82,67,64,75,94,69,114
"663276",6087,3747,11563,4750,3565,3169,2065,3232,3567,2855,5142
"382",4028,2519,28478,6081,7869,4769,2964,4244,6561,7106,7539
"2613772",2787,1716,16763,2440,1592,1347,1001,1290,1580,1234,1998
"194963",2681,2355,3252,1211,836,839,558,798,1144,744,1232
"110321",1140,695,4102,1176,800,738,483,623,767,699,1215
"106592",4501,3392,8068,2354,1427,1425,999,1358,1538,1138,2051
"375549",1655,1104,4250,1787,1131,1025,795,1101,1234,870,1685
"2633371",1308,1253,3450,1042,566,626,416,531,655,517,846
"1752398",1141,812,3358,1239,796,745,518,883,827,703,1181
"716925",1031,659,2714,1066,680,734,472,832,764,651,1047
"879274",2375,1330,65723,2220,3680,1050,773,932,1145,907,1610
"2715959",1698,1098,17656,1678,1153,824,724,833,948,806,1438
"2795690",3237,2064,6538,2916,1547,1418,1315,1436,1760,1380,2322
"2341112",1366,834,3790,1094,703,602,450,631,745,693,1033
"1969821",1144,751,4186,1187,653,586,532,596,827,565,1013
"1273132",26,9,30,9,11,9,4,9,8,12,14
"1174529",1,3,0,0,0,0,0,3,1,4,3
"658172",10,2,9,7,2,4,3,2,5,1,6
"34020",7,5,67,11,3,16,4,2,3,22,39
"1261131",7,8,12,6,2,2,0,1,0,2,5
"426117",3668,2689,3637,3002,2001,1852,2192,2531,2740,1891,3214
"2202828",2180,1504,2413,1885,1170,1071,1215,1332,1525,1066,1997
"2603276",1551,1051,1847,1321,857,788,843,996,1052,780,1393
"2202826",1549,1055,1781,1308,911,789,921,1049,1183,809,1461
"925818",742,481,813,559,404,319,335,413,434,369,660
"2067957",463,364,497,428,254,247,238,345,351,250,475
"1479019",297,207,315,236,183,142,170,208,269,159,299
"739141",113,88,147,100,66,60,86,79,99,66,128
"2696060",1,0,0,1,0,0,0,1,0,0,0
"460265",3457,2544,3477,2801,1928,1639,8641,2243,2417,1719,3064
"270351",3235,2307,3574,2686,1693,1551,1734,2116,2192,1476,2802
"2202825",2511,1766,2657,2001,1381,1325,1341,1603,1842,1228,2192
"2051553",1707,1114,1763,1371,941,824,953,1109,1153,802,1492
"2202827",1626,1023,1697,1393,963,832,925,1065,1180,839,1536
"908290",1590,1153,2005,1416,986,867,966,1082,1202,827,1516
"269660",1443,1072,2066,1343,869,775,881,973,1092,768,1334
"1775910",1424,918,1547,1077,799,736,770,939,970,678,1206
"426355",331,254,422,321,196,203,214,258,245,169,315
"418223",256,162,311,203,138,134,130,140,147,93,200
"693986",77,60,89,78,37,49,51,43,58,43,68
"2807101",5813,6697,10233,5073,5961,3874,3957,7285,6901,4602,9068
"2082949",2311,1977,4867,2873,1807,1352,1855,1897,1977,1598,3147
"1882682",6226,6605,8961,4571,5320,3518,3948,5270,5545,3910,7565
"2651334",3209,2542,5143,2894,2368,1831,2129,2351,2532,1998,3508
"441620",433,293,800,368,307,234,290,271,302,218,386
"272630",685,518,1097,630,391,376,416,402,554,359,631
"440085",274,205,311,208,149,127,137,190,226,127,250
"419610",198,162,265,173,137,141,106,148,165,120,238
"29429",67,40,81,54,33,23,36,29,58,30,57
"674703",22740,14259,9916,29461,4355,5497,7544,4974,6648,5350,7909
"444923",6,5,3,5,4,5,3,7,7,5,5
"1736675",3923,2416,46960,4153,1980,1605,1289,1587,1895,2113,3013
"2801335",1192,844,12191,1104,805,554,415,554,739,729,960
"2657486",1156,787,9890,1095,767,548,510,619,743,638,1013
"2499144",978,588,5117,896,594,526,337,497,618,599,922
"2083786",963,523,13009,784,618,422,280,391,557,521,668
"2774137",928,548,7538,961,609,454,405,406,623,657,835
"2664417",506,318,2367,580,330,300,220,265,343,370,506
"2759954",426,264,2311,390,237,211,164,195,260,222,340
"400770",1409,826,32258,1336,1094,735,516,720,922,946,1162
"582899",1699,1140,4235,1168,567,652,572,615,703,799,977
"670307",1361,907,2656,1105,543,636,591,579,609,1730,1171
"1029756",3132,2277,8982,1803,927,1144,676,971,1158,799,1235
"717785",1662,1055,2725,1940,468,614,486,554,686,1109,871
"2233851",3009,1955,3713,2515,1254,1305,1165,1309,1574,1278,2064
"1079",2632,1743,3089,2076,1137,1204,1083,1155,1382,1074,1820
"1384459",1368,831,2191,1019,509,637,464,544,674,523,821
"2170729",1320,723,2318,1000,496,614,437,501,677,435,730
"2742204",2012,1256,2830,1462,829,976,698,886,1036,768,1170
"2820278",2002,1278,3422,1725,949,878,935,981,1165,870,1555
"648757",1523,1065,2289,1223,658,724,568,709,856,592,1018
"1447062",1386,931,7159,1667,827,789,692,803,885,1132,1464
"1082931",1,0,0,0,0,0,0,0,0,0,0
"1608628",754,502,1520,527,301,303,244,317,380,267,420
"1219035",551,383,1355,588,277,284,300,246,401,312,478
"1335043",522,337,3037,661,317,293,254,280,349,386,540
"454601",178,135,382,169,84,83,89,92,91,93,125
"331696",7823,4933,12484,11560,2385,2391,3263,2438,2960,3650,6267
"2562284",5897,3566,27059,19402,1985,1829,3284,1808,2300,3381,3970
"2709380",3731,2410,5473,3010,1603,1467,1399,1769,2012,1421,2505
"639283",3675,1954,22514,2722,1524,1448,1286,1434,2048,1277,2263
"1850374",2384,1512,4333,1896,1140,1049,1005,1192,1410,1022,1731
"1745854",1825,1196,3362,1504,902,837,762,936,1112,839,1415
"2528964",3436,2132,6960,2873,1581,1517,1361,1690,2049,1573,2564
"438753",2443,1630,3878,2076,1145,1086,1018,1258,1449,1014,1839
"2789216",2386,1638,4417,2299,1165,1120,1043,1190,1407,1191,1983
"2712222",7105,4473,49218,4135,1775,2828,1982,2104,2407,1691,2916
"1235591",6772,3627,14226,4616,2074,2350,1519,1785,2795,1950,2952
"1482074",2216,1417,4113,1846,1087,1052,924,1083,1366,985,1573
"573658",19,22,57,20,8,23,11,11,23,13,33
"134",1471,951,2167,1267,657,666,720,736,868,642,1139
"173366",1463,1084,2010,1228,668,732,706,719,921,679,1100
"655015",1432,1006,1834,1224,676,727,679,726,840,656,1135
"391905",1304,922,1647,1154,651,716,614,732,914,650,1093
"187303",820,562,1208,768,404,416,406,422,568,368,716
"595536",1946,1164,2344,1779,941,1003,894,927,1145,855,1504
"2699395",1555,1021,1985,1343,781,745,757,797,942,690,1290
"1349819",1831,1187,3748,1631,941,915,839,949,1200,941,1546
"2758041",1467,1018,3007,1396,824,826,647,770,975,773,1231
"2816454",1351,944,2782,1145,742,680,551,676,867,690,1052
"1638161",4,5,3,6,3,3,4,2,6,1,7
"1701758",1627,1008,3093,1419,900,830,814,874,1012,843,1275
"686597",499,315,1644,465,277,238,215,264,342,227,412
"1122214",951,590,2325,877,497,467,434,523,626,494,779
"1486262",915,629,2437,789,470,442,375,453,522,409,708
"2583532",503,300,1721,477,308,253,207,284,302,283,481
"538381",2623,1694,4688,2310,1418,1293,1125,1264,1716,1289,2027
"1881061",1541,1021,2515,1137,748,735,558,711,872,678,1037
"2021862",900,533,1509,703,422,420,342,354,479,393,625
"2590016",380,258,724,326,196,186,176,212,254,182,279
"2587861",370,289,655,283,166,184,138,150,207,163,304
"2587854",94,61,171,82,67,52,46,61,68,65,83
"1674922",66,57,207,70,40,27,44,46,51,33,45
"244592",454,297,883,326,196,203,167,194,268,182,292
"187304",112,79,227,76,68,66,58,58,70,54,86
"1402210",284,162,1340,256,164,139,134,143,201,227,214
"911045",257,162,448,188,95,110,115,105,136,100,166
"1702325",2763,1710,4809,2404,2316,1560,1335,1493,2386,1435,2337
"444444",1598,1064,2725,1323,1091,846,669,856,1211,743,1204
"395965",1382,934,2083,1201,645,669,688,666,795,629,1028
"227605",1235,826,1858,1090,560,562,550,618,698,516,940
"569860",1378,886,1931,1127,558,623,532,560,707,594,938
"31994",662,432,1101,534,316,316,311,336,404,356,598
"402881",1539,1080,2813,1471,809,859,695,712,963,820,1382
"1712261",1060,695,1625,993,541,606,482,522,691,528,866
"1458461",494,330,799,455,271,287,232,268,325,262,326
"94625",505,342,9555,505,426,383,326,318,390,795,448
"2632610",303,184,1480,268,150,136,121,177,158,186,276
"271865",224,165,882,219,110,107,89,100,147,135,188
"529",165,115,1585,173,89,76,80,87,121,119,109
"419475",95,71,384,92,44,52,50,39,66,54,80
"571256",90,54,321,79,48,61,33,68,65,56,74
"1218315",31,10,133,18,9,8,18,4,11,8,12
"29459",22,13,53,21,14,22,12,17,23,9,18
"235",10,2,6,4,4,2,6,3,0,3,7
"236",6,7,8,3,5,6,0,6,4,6,6
"29461",4,6,35,4,16,7,5,15,11,1,6
"120577",4,4,2,1,0,2,0,2,2,1,1
"36855",1,1,3,0,1,0,0,0,1,2,0
"120576",1,1,13,3,2,1,2,1,1,1,1
"444163",1,3,2,1,1,0,0,1,1,0,0
"239106",90,63,403,92,43,45,39,42,73,45,56
"2304600",2218,1374,3496,1781,993,1036,831,1045,1159,954,1548
"1798205",416,303,773,371,182,214,173,232,268,205,330
"2528642",1355,919,1923,1208,611,598,613,730,902,649,1032
"1686310",118,65,383,130,59,64,57,54,68,54,108
"2759660",25,15,100,26,17,9,11,13,16,12,24
"515256",6,6,3,1,0,1,2,0,1,1,4
"1933904",6,5,6,5,0,5,4,3,3,4,2
"1933910",1,0,0,0,0,0,0,0,0,4,0
"40933",3,5,12,7,3,6,0,1,2,2,3
"2267275",15,6,16,8,2,4,3,6,5,6,6
"1094489",15,15,28,25,6,8,10,12,10,7,14
"52764",12,6,8,11,1,1,3,4,3,6,3
"634504",11,5,26,3,5,4,3,13,4,1,6
"1225179",1,1,0,2,0,1,1,0,0,1,0
"687861",10,3,34,7,5,7,4,2,9,5,8
"774",10,10,28,15,8,4,2,5,7,1,6
"1095900",7,2,16,4,1,2,4,4,0,4,7
"1318743",7,7,25,8,6,2,5,10,5,4,10
"1094491",6,6,12,7,3,2,5,6,4,4,4
"38323",6,5,16,3,0,0,4,5,1,3,12
"85701",4,6,21,8,2,6,3,2,3,5,11
"696125",3,2,31,0,2,1,2,0,5,3,7
"2133959",3,1,16,3,1,0,1,1,1,2,2
"807",1,1,13,3,1,2,1,2,1,1,7
"2764186",2401,1938,3965,6315,2745,4154,3816,3045,7384,5264,8933
"2714944",2318,1816,3852,5628,2498,3909,4184,3066,7033,5102,9171
"2681549",2161,1524,4610,2986,1752,1855,1672,1824,3092,2237,3293
"2714942",2093,1504,2549,3195,2129,2808,2146,2212,5018,3181,5446
"2714943",1941,1446,3193,3996,1935,2975,3167,2321,5280,3852,6482
"2653203",1859,1214,4572,2592,1342,1483,1483,1327,2348,2152,2870
"745310",1660,1113,4278,2572,1464,1526,1421,1368,2303,1776,2696
"1327635",1543,1041,3772,3048,1140,1397,1541,1147,1963,1703,2635
"2735134",1494,1092,3120,2041,1126,1256,1162,1146,1888,1538,2368
"2698679",1494,1072,3352,2563,1292,1338,1441,1167,2212,1745,2656
"1938607",1436,1020,3185,2756,1118,1190,1365,1018,1706,1517,2466
"2492837",1412,992,3228,1846,1055,1149,1089,1051,1768,1231,2028
"2596913",1409,972,2887,1966,1115,1188,1175,1106,1849,1684,2246
"2711156",1330,895,2956,1746,995,1008,957,983,1584,1279,1782
"1523415",1330,912,2775,1987,887,942,1091,944,1493,1362,2096
"2219696",1236,872,3453,1758,919,1025,1057,919,1458,1429,2002
"2599297",1227,736,3130,1863,1027,965,900,888,1558,1283,1887
"2565555",984,654,2032,1383,744,784,817,823,1238,1071,1430
"1030157",941,610,2808,1206,729,735,690,646,1172,950,1259
"2759526",935,650,1989,1318,695,788,716,690,1182,1013,1445
"1517554",900,628,2043,1294,685,749,765,710,1091,1004,1392
"1390395",821,556,1940,1145,662,701,573,584,1013,884,1270
"1517551",808,578,1865,1165,597,704,612,579,960,866,1263
"1961362",510,352,1342,720,367,385,411,354,585,554,776
"2319844",439,338,1046,557,282,359,324,283,513,401,650
"304378",349,210,659,265,148,145,167,137,208,157,237
"1628059",25,12,139,33,20,15,32,23,26,18,28
"849864",14,4,11,1,0,1,3,0,0,2,0
"1381597",13,22,125,5,1,4,11,4,2,15,5
"28214",2,0,22,3,0,1,1,1,2,2,0
"90322",2,2,1,2,0,0,0,0,0,0,0
"386874",6649,3430,7318,8759,3863,5618,5825,7375,10366,8719,20113
"1176646",3351,2696,6884,7921,3539,5167,5114,5589,9494,7146,17223
"1045317",3152,2511,4474,8057,3314,5676,7107,4654,10617,6359,13255
"363835",2893,2135,4444,5630,3194,4221,4093,3386,8037,5090,8837
"2071607",2710,1930,3533,4155,3113,4038,2826,2927,6801,4144,6633
"2594473",2539,1562,2500,3179,3279,3744,2016,2750,6601,3513,5351
"392499",380,292,1471,527,297,347,301,304,449,329,563
"653931",2216,1592,5216,3251,1609,1697,1797,1598,2691,2330,3269
"1123269",2110,1476,5205,2907,1650,1578,1600,1578,2633,1994,2960
"93064",1586,966,4402,2333,1635,1380,1179,1114,2017,1666,2391
"1609977",1453,1015,3376,2659,1102,1066,1288,1009,1683,1535,2279
"1549858",1423,992,2904,2157,1075,1108,1209,1031,1814,1692,2105
"1560345",1385,898,3224,1908,976,1018,1073,971,1550,1499,1979
"1813879",1197,776,2721,1919,947,1006,1093,885,1470,1570,1935
"424800",1037,680,1897,1296,665,777,740,777,1142,1108,1516
"13689",1035,711,2844,1336,759,737,827,680,1079,987,1349
"621456",57,42,236,54,27,30,26,23,53,29,59
"2698828",575,388,1241,656,401,439,371,385,668,534,827
"2789327",2856,1404,84773,2336,2057,2683,1816,1402,1384,745,1935
"627192",1355,952,3521,1825,921,886,869,850,1422,1057,1743
"1315974",759,539,11714,905,573,672,607,583,833,716,954
"2676077",740,478,4671,856,512,527,488,508,745,607,934
"2082188",738,495,4440,829,478,448,533,417,747,541,888
"1843368",695,517,3484,746,419,436,428,405,626,544,717
"1855519",695,487,10108,986,537,703,727,569,723,871,962
"2072936",666,495,2347,880,458,521,529,448,764,611,1027
"2733867",646,416,3564,599,359,407,402,314,572,430,677
"407020",501,306,6075,593,327,424,491,369,515,449,668
"2565554",194,135,606,219,149,118,122,110,137,107,229
"484429",101,56,890,172,70,101,337,65,82,109,133
"520734",91,52,1504,125,66,85,90,67,87,80,100
"2185111",16,12,107,24,10,14,12,9,6,12,15
"13690",1688,1183,8935,1595,1027,1066,918,1039,1445,1133,1535
"135719",808,518,4434,960,555,533,541,514,885,655,946
"120107",756,511,5109,1005,548,582,580,480,807,698,932
"690566",682,456,7104,776,435,526,491,450,720,612,836
"1673076",628,421,4476,771,399,469,462,438,625,463,744
"452662",614,412,5234,732,445,485,430,404,663,979,847
"1332080",580,423,4637,749,431,445,500,399,618,471,836
"76947",522,337,7310,703,370,528,566,384,558,443,645
"1208342",120,79,1045,139,125,112,175,109,154,106,140
"1054037",97,79,1229,197,76,107,265,104,105,94,171
"861109",9,8,32,15,6,5,11,7,19,23,9
"56193",4,2,32,4,0,4,8,9,3,7,3
"595605",1,1,194,1,0,0,1,3,0,0,1
"1357916",1708,947,21483,1395,1090,871,759,782,1313,947,1614
"1874061",1490,580,10139,916,797,641,487,505,876,662,919
"2486273",1261,772,15000,1304,876,813,719,737,1159,790,1368
"2565556",1027,709,53041,1303,2810,999,627,683,1118,1008,1238
"292913",965,643,21442,1145,833,749,703,688,1076,915,1363
"1914525",914,551,11815,975,960,812,616,532,896,736,1058
"1866325",94,69,1604,83,85,60,51,55,53,72,105
"1913578",49,46,151,57,27,38,37,41,42,36,56
"33050",2064,1327,33838,2134,1648,1504,1237,1274,1991,1554,2344
"2448440",1206,591,14299,1059,736,721,639,580,970,757,1162
"2054227",1006,647,18732,1173,839,746,625,648,1083,814,1281
"1515612",876,550,14440,1008,941,710,593,556,908,859,1072
"317655",766,496,9778,888,835,628,512,486,877,716,1002
"267128",505,318,6150,639,451,347,416,311,539,403,734
"2675225",2337,1370,3404,2039,1211,1222,1060,1021,1839,1306,1941
"2571749",1841,1185,3114,1704,794,896,833,761,1176,935,1416
"1609758",1538,1051,2451,1319,746,788,765,694,932,855,1308
"1016987",1067,621,5433,991,457,466,527,471,696,523,892
"2780074",1015,655,7220,1150,491,477,489,451,772,610,874
"702113",607,396,1465,550,287,358,471,292,488,330,540
"164608",438,240,695,342,168,221,203,174,269,169,346
"158500",2304,1542,3277,1722,964,1007,1102,934,1359,1011,1569
"279238",1438,997,2642,2112,779,803,822,697,1143,852,1477
"1176536",1298,853,1818,1067,549,607,527,493,928,652,1076
"1088721",681,386,1227,550,298,342,358,292,389,307,457
"2762748",1467,971,13004,2286,1177,1212,1257,1104,1917,1655,2350
"2711215",1122,798,2375,1517,771,830,795,673,1236,1174,1567
"941907",2353,1868,6372,4125,2762,2801,2177,2321,5129,3535,4329
"2584094",484,299,960,528,329,338,315,330,508,401,605
"2077182",425,323,1020,601,319,394,276,285,507,372,566
"1806885",381,248,752,444,262,309,235,243,421,287,437
"2725558",177,115,390,173,105,109,95,88,159,130,179
"392610",307,206,870,362,163,244,179,187,313,253,396
