"","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"265883",7.75450160221688e-06,1.42869899098134e-05,9.78624738654768e-06,8.6029188691615e-06,1.49487792770432e-05,1.02151442622645e-05,7.90399283371316e-06,1.66236772382771e-05,7.32058747283847e-06,7.06189278230841e-06,4.77132244358508e-06,"v_2700",191,2.84875936529641e-05,183524.222376446
"29486",9.5790902145032e-06,9.8223055629967e-06,1.08347738922492e-05,9.99456750976115e-06,1.10000451283903e-05,9.77100755520952e-06,6.14754998177691e-06,1.30293686462171e-05,8.6124558503982e-06,9.41585704307788e-06,7.95220407264179e-06,"v_1983",103,2.84665091519827e-05,192585.212360104
"45656",5.92991298993055e-06,1.02687739976784e-05,1.01357562217815e-05,7.46429725412542e-06,1.29744122027167e-05,1.15475543834294e-05,7.02577140774503e-06,1.07829257761797e-05,4.3062279251991e-06,6.05305095626435e-06,5.56654285084926e-06,"v_2880",152,2.83905402719814e-05,166377.030795786
"1908198",1.18598259798611e-05,1.29475846057684e-05,1.15337915627169e-05,1.1892270201488e-05,1.83334085473171e-05,1.24358277975394e-05,1.14168785375857e-05,1.48265229422471e-05,9.04307864291811e-06,6.38933156494571e-06,4.77132244358508e-06,"v_2647",140,2.83736238792419e-05,139696.648846481
"2742639",7.0702808726095e-06,9.37583712831503e-06,9.43673855131384e-06,1.03741080481065e-05,1.41026219594747e-05,1.11034176763745e-05,8.34310354669723e-06,1.30293686462171e-05,9.04307864291811e-06,7.06189278230841e-06,3.9761020363209e-06,"v_1756",93,2.83454746449729e-05,116441.928515926
"446679",5.70183941339476e-06,8.48290025895169e-06,1.15337915627169e-05,5.44008104961683e-06,1.01538878108218e-05,7.55032401993463e-06,7.4648821207291e-06,2.0217985830337e-05,3.44498234015928e-06,6.38933156494571e-06,4.77132244358508e-06,"v_4627",205,2.82621597942515e-05,202447.010880843
"1161942",1.71055182401843e-05,1.69658005179034e-05,1.92229859378615e-05,8.72943238194328e-06,2.05898280608331e-05,1.73213315751442e-05,1.3612432102506e-05,1.9319408682322e-05,1.20574381905575e-05,1.37875049559355e-05,4.77132244358508e-06,"v_4342",262,2.82430027960573e-05,199417.100870487
"1291540",1.07194580971822e-05,1.02687739976784e-05,1.39803534093538e-05,6.7052161774347e-06,1.41026219594747e-05,1.42123746257593e-05,9.66043568564942e-06,1.30293686462171e-05,5.16747351023892e-06,8.74329582571518e-06,3.18088162905672e-06,"v_5517",190,2.82039711191336e-05,185200.692844006
"272131",5.47376583685897e-06,1.25011161710867e-05,1.18833003979508e-05,4.68099997292611e-06,1.57949365946117e-05,9.32687084815455e-06,6.58666069476097e-06,1.07829257761797e-05,4.3062279251991e-06,9.07957643439653e-06,2.38566122179254e-06,"v_4624",188,2.81944287808729e-05,116481.634797813
"148813",8.66679590836004e-06,9.8223055629967e-06,1.25823180684185e-05,8.98245940750686e-06,1.32564646419062e-05,8.43859743404459e-06,7.4648821207291e-06,1.25800800722097e-05,4.73685071771901e-06,8.74329582571518e-06,5.56654285084926e-06,"v_2980",99,2.8185687307985e-05,72844.7437156021
"1564",1.68774446636485e-05,1.74122689525851e-05,2.16695477844984e-05,1.70793242255412e-05,2.5666771966244e-05,1.73213315751442e-05,1.53688749544423e-05,2.60587372924343e-05,1.46411749456769e-05,1.31149437385728e-05,1.11330857016985e-05,"v_4400",216,2.81618744543637e-05,248548.827553461
"2766701",9.35101663796741e-06,1.69658005179034e-05,1.29318269036523e-05,9.74154048419758e-06,2.11539329392121e-05,1.55447847469242e-05,1.31733213895219e-05,1.9319408682322e-05,6.88996468031856e-06,1.04246988691219e-05,6.36176325811343e-06,"v_5091",208,2.81547384424799e-05,117408.759002202
"1184",1.55090032044338e-05,2.05375479953567e-05,1.25823180684185e-05,1.05006215608883e-05,2.03077756216436e-05,1.82096049892541e-05,1.80035392323467e-05,2.51601601444193e-05,7.75121026535838e-06,1.04246988691219e-05,6.36176325811343e-06,"v_4591",210,2.81499831100101e-05,126188.158902322
"1236046",1.07194580971822e-05,1.02687739976784e-05,1.53783887502892e-05,4.42797294736254e-06,1.26923597635272e-05,1.15475543834294e-05,1.22950999635538e-05,1.57251000902621e-05,5.59809630275883e-06,6.72561217362706e-06,2.38566122179254e-06,"v_5185",186,2.81491907107671e-05,129446.978610139
"191026",8.43872233182425e-06,1.25011161710867e-05,1.04852650570154e-05,5.44008104961683e-06,1.29744122027167e-05,9.32687084815455e-06,9.66043568564942e-06,1.34786572202246e-05,5.59809630275883e-06,8.07073460835247e-06,7.15698366537761e-06,"v_2868",190,2.814681378068e-05,112320.007869044
"92682",7.29835444914529e-06,9.8223055629967e-06,1.04852650570154e-05,7.84383779247078e-06,1.29744122027167e-05,1.11034176763745e-05,5.70843926879284e-06,1.21307914982022e-05,6.45934188779865e-06,8.40701521703382e-06,3.18088162905672e-06,"v_4614",169,2.81460215598525e-05,79561.0653513787
"2528037",9.35101663796741e-06,1.51799267791767e-05,1.46793710798215e-05,1.34104323548694e-05,2.03077756216436e-05,1.37682379187043e-05,1.09777678246016e-05,1.66236772382771e-05,5.16747351023892e-06,1.61414692167049e-05,4.77132244358508e-06,"v_1277",139,2.81420611245568e-05,112337.751524991
"366522",6.61413371953792e-06,1.87516742566301e-05,8.73772088084615e-06,6.57870266465291e-06,1.21282548851482e-05,1.02151442622645e-05,8.34310354669723e-06,2.06672744043444e-05,4.73685071771901e-06,1.04246988691219e-05,2.38566122179254e-06,"v_2942",180,2.81420611245568e-05,72412.799598229
"2026240",1.16317524033253e-05,1.29475846057684e-05,1.46793710798215e-05,1.17657566887062e-05,1.32564646419062e-05,1.15475543834294e-05,1.27342106765379e-05,1.52758115162546e-05,4.3062279251991e-06,8.40701521703382e-06,7.15698366537761e-06,"v_1792",123,2.81333520889014e-05,83469.9153070637
"714995",5.24569226032318e-06,8.03643182427002e-06,8.73772088084615e-06,7.21127022856184e-06,1.29744122027167e-05,8.88273414109957e-06,9.66043568564942e-06,1.21307914982022e-05,3.87560513267919e-06,6.72561217362706e-06,5.56654285084926e-06,"v_526",97,2.81159501785363e-05,89261.4506246925
"673",1.11756052502537e-05,1.29475846057684e-05,1.57278975855231e-05,1.66997836871958e-05,2.00257231824541e-05,1.46565113328143e-05,1.14168785375857e-05,1.7522254386292e-05,1.07655698129977e-05,1.21061019125287e-05,1.03378652944343e-05,"v_2650",103,2.80962013935716e-05,71654.4532073585
"1283313",7.98257517875266e-06,8.03643182427002e-06,7.68919437514461e-06,5.44008104961683e-06,8.74362561487432e-06,7.99446072698961e-06,5.70843926879284e-06,9.43506005415724e-06,5.16747351023892e-06,5.38048973890165e-06,3.9761020363209e-06,"v_5018",180,2.80962013935716e-05,153720.944671446
"166486",1.04913845206464e-05,9.37583712831503e-06,1.46793710798215e-05,9.488513458634e-06,1.35385170810957e-05,1.02151442622645e-05,7.4648821207291e-06,1.07829257761797e-05,5.16747351023892e-06,4.03536730417623e-06,3.9761020363209e-06,"v_4432",111,2.80954120192173e-05,49958.4779426743
"1188228",1.55090032044338e-05,1.65193320832217e-05,1.817445943216e-05,9.10897292028864e-06,1.77693036689381e-05,1.55447847469242e-05,1.44906535284741e-05,1.97686972563295e-05,9.90432422795793e-06,1.27786631298914e-05,4.77132244358508e-06,"v_4659",268,2.80883096455255e-05,109114.269246765
"674",9.5790902145032e-06,1.02687739976784e-05,1.15337915627169e-05,1.94830809683952e-05,1.41026219594747e-05,1.11034176763745e-05,1.05386571116176e-05,1.25800800722097e-05,8.18183305787829e-06,9.75213765175924e-06,5.56654285084926e-06,"v_2610",74,2.80780569984557e-05,70388.8251293617
